Orthogroup	DVIR.longest_only	DSUZ.longest_only
OG0000000	LOC6623450|XP_002047287.1|DVIR	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ
OG0000000	LOC6627198|XP_032293006.1|DVIR	LOC108019552|XP_036669814.1|DSUZ, LOC108013696|XP_016935107.1|DSUZ
OG0000000	LOC6625157|XP_032292502.1|DVIR	LOC108019563|XP_016942889.1|DSUZ
OG0000000	LOC6626786|XP_002048872.2|DVIR	LOC108008220|XP_016927499.2|DSUZ
OG0000000	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR	LOC118877061|XP_036669823.1|DSUZ, LOC108017737|XP_016940334.1|DSUZ, LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ, LOC108020157|XP_036673587.1|DSUZ
OG0000000	LOC6636429|XP_032291674.1|DVIR	LOC108007479|XP_036670397.1|DSUZ, LOC118877197|XP_036670391.1|DSUZ, LOC108007478|XP_016926649.1|DSUZ, LOC108007497|XP_016926669.2|DSUZ, LOC108007477|XP_016926648.2|DSUZ
OG0000001	LOC116650073|XP_032289315.1|DVIR, LOC116649967|XP_032289174.1|DVIR	LOC118876749|XP_016938664.1|DSUZ, LOC108020087|XP_016943677.1|DSUZ, LOC118878276|XP_036676059.1|DSUZ, LOC118878557|XP_036677467.1|DSUZ, LOC118879675|XP_036678469.1|DSUZ, LOC118879224|XP_036678009.1|DSUZ, LOC118879307|XP_036678060.1|DSUZ, LOC118878659|XP_036677594.1|DSUZ, LOC118878942|XP_036677819.1|DSUZ, LOC118879471|XP_036678240.1|DSUZ, LOC118878546|XP_036677455.1|DSUZ, LOC118878858|XP_036677778.1|DSUZ, LOC118877840|XP_036673943.1|DSUZ
OG0000001	LOC116649975|XP_032289192.1|DVIR, LOC116650014|XP_032289242.1|DVIR, LOC116650813|XP_032291445.1|DVIR, LOC116650693|XP_032291016.1|DVIR, LOC116650639|XP_032290738.1|DVIR, LOC116650317|XP_032289578.1|DVIR, LOC116650237|XP_032289383.1|DVIR, LOC116650018|XP_032289244.1|DVIR, LOC116651796|XP_032294718.1|DVIR, LOC116651620|XP_032294251.1|DVIR, LOC116652104|XP_032295893.1|DVIR, LOC116652102|XP_032295892.1|DVIR, LOC116651616|XP_032294247.1|DVIR, LOC116650104|XP_032289333.1|DVIR, LOC116649993|XP_032289204.1|DVIR, LOC116650569|XP_032290453.1|DVIR, LOC116652064|XP_032295773.1|DVIR	LOC118879529|XP_036678279.1|DSUZ, LOC118879060|XP_036677938.1|DSUZ
OG0000001	LOC116650307|XP_032289663.1|DVIR	LOC118878459|XP_036677349.1|DSUZ
OG0000002	LOC6625292|XP_002049777.1|DVIR	LOC108008721|XP_016928110.1|DSUZ
OG0000002	LOC6627081|XP_002049906.2|DVIR	LOC108009088|XP_016928634.1|DSUZ
OG0000002	LOC6627080|XP_002049905.2|DVIR	LOC108009087|XP_016928633.1|DSUZ
OG0000002	LOC6626597|XP_002049033.2|DVIR	LOC108009013|XP_016928477.1|DSUZ, LOC108009683|XP_016929720.1|DSUZ, LOC108009469|XP_016929341.1|DSUZ, LOC118876801|XP_036668620.1|DSUZ, LOC108021294|XP_016945474.2|DSUZ
OG0000003	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR	LOC108008945|XP_016928345.1|DSUZ, LOC108008944|XP_016928343.1|DSUZ
OG0000003	LOC6625082|XP_002050483.2|DVIR	LOC108008947|XP_016928347.2|DSUZ
OG0000003	LOC6625464|XP_002049668.1|DVIR	LOC108019593|XP_016942923.1|DSUZ
OG0000003	LOC6625463|XP_002049667.1|DVIR	LOC108019592|XP_016942921.1|DSUZ, LOC108019594|XP_016942924.1|DSUZ
OG0000003	LOC6627946|XP_002051419.1|DVIR	LOC108007096|XP_016926191.1|DSUZ
OG0000006	LOC6637025|XP_002060454.1|DVIR	LOC118879268|XP_036678045.1|DSUZ
OG0000006	LOC6637262|XP_032288828.1|DVIR	LOC118879646|XP_036678433.1|DSUZ
OG0000006	LOC6630084|XP_002053094.1|DVIR	LOC118879645|XP_036678432.1|DSUZ, LOC118877312|XP_036671383.1|DSUZ
OG0000007	LOC6623030|XP_002046517.1|DVIR	LOC118877416|XP_036672028.1|DSUZ
OG0000007	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR	LOC108013029|XP_016934109.1|DSUZ, LOC108012496|XP_016933394.1|DSUZ, LOC108012427|XP_016933279.1|DSUZ, LOC108012288|XP_016933078.2|DSUZ, LOC108013028|XP_016934108.1|DSUZ, LOC108013026|XP_016934106.1|DSUZ
OG0000007	LOC116650729|XP_032291101.1|DVIR	LOC108019834|XP_016943342.1|DSUZ
OG0000007	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR	LOC118876800|XP_036668611.1|DSUZ
OG0000007	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR	LOC108012353|XP_016933194.1|DSUZ, LOC108012354|XP_016933195.2|DSUZ, LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ
OG0000008	LOC6629514|XP_002054585.2|DVIR	LOC108014183|XP_016935707.1|DSUZ
OG0000008	LOC6623720|XP_002046325.3|DVIR	LOC108020044|XP_016943629.1|DSUZ
OG0000008	LOC6622211|XP_002046327.1|DVIR	LOC118877368|XP_036671791.1|DSUZ
OG0000008	LOC6627554|XP_002052288.1|DVIR	LOC108007042|XP_016926141.1|DSUZ
OG0000008	LOC26531283|XP_015031719.1|DVIR	LOC108020009|XP_016943583.1|DSUZ
OG0000008	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR	LOC108014243|XP_036675108.1|DSUZ, LOC108014242|XP_016935768.1|DSUZ
OG0000008	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR	LOC108014245|XP_016935771.2|DSUZ
OG0000008	LOC6631289|XP_002053528.2|DVIR	LOC108006378|XP_036675047.1|DSUZ
OG0000008	LOC6631285|XP_002053524.1|DVIR	LOC108014235|XP_016935760.2|DSUZ
OG0000008	LOC6631288|XP_002053527.1|DVIR	LOC108014237|XP_016935761.1|DSUZ
OG0000008	LOC6631290|XP_002053529.1|DVIR	LOC118878011|XP_036674950.1|DSUZ
OG0000009	LOC6632445|XP_002056511.1|DVIR	LOC108014185|XP_016935709.1|DSUZ
OG0000009	LOC6632323|XP_002056506.1|DVIR	LOC108014181|XP_016935705.2|DSUZ
OG0000009	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR	LOC108015574|XP_036672879.1|DSUZ, LOC108014176|XP_016935699.1|DSUZ
OG0000009	LOC6635767|XP_032294717.1|DVIR	LOC108011415|XP_036670407.1|DSUZ
OG0000009	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR	LOC108008708|XP_016928093.1|DSUZ
OG0000009	LOC6626542|XP_002050752.1|DVIR	LOC108008467|XP_016927811.1|DSUZ
OG0000009	LOC6628883|XP_002051663.1|DVIR	LOC108008503|XP_016927857.1|DSUZ
OG0000010	LOC116649822|XP_032288857.1|DVIR, LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR	LOC118879264|XP_036678040.1|DSUZ
OG0000010	LOC6630837|XP_002053113.1|DVIR	LOC118879650|XP_036678438.1|DSUZ
OG0000010	LOC6636962|XP_002060409.1|DVIR	LOC108014626|XP_016936278.1|DSUZ
OG0000010	LOC116649824|XP_032288860.1|DVIR	LOC118877317|XP_036671430.1|DSUZ
OG0000010	LOC6637029|XP_002060450.1|DVIR	LOC118879513|XP_036678270.1|DSUZ, LOC108006791|XP_016925829.1|DSUZ
