Orthogroup	DVIR.longest_only	DERE.longest_only
OG0000000	LOC6623450|XP_002047287.1|DVIR	LOC6545981|XP_001972189.2|DERE
OG0000000	LOC6627198|XP_032293006.1|DVIR	LOC6555364|XP_026831619.1|DERE, LOC6546799|XP_001975893.2|DERE, LOC6541982|XP_001968936.1|DERE
OG0000000	LOC6626786|XP_002048872.2|DVIR	LOC6548572|XP_026836220.1|DERE
OG0000000	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE, LOC26526070|XP_026831673.1|DERE
OG0000000	LOC6636429|XP_032291674.1|DVIR	LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE
OG0000002	LOC6625292|XP_002049777.1|DVIR	LOC6548491|XP_001975304.1|DERE
OG0000002	LOC6627081|XP_002049906.2|DVIR	LOC6548172|XP_001975155.3|DERE
OG0000002	LOC6627080|XP_002049905.2|DVIR	LOC6548171|XP_001975154.2|DERE
OG0000002	LOC6626597|XP_002049033.2|DVIR	LOC6542167|XP_001968638.1|DERE, LOC6541336|XP_001968621.3|DERE
OG0000002	LOC6628707|XP_002051325.3|DVIR	LOC6543212|XP_026834323.1|DERE
OG0000003	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR	LOC6549103|XP_001975568.1|DERE, LOC6548983|XP_001975566.1|DERE
OG0000003	LOC6625464|XP_002049668.1|DVIR	LOC6541262|XP_001970448.1|DERE
OG0000003	LOC6625463|XP_002049667.1|DVIR	LOC6543237|XP_001970449.1|DERE
OG0000003	LOC6627946|XP_002051419.1|DVIR	LOC6543184|XP_001968830.1|DERE
OG0000006	LOC6637262|XP_032288828.1|DVIR	LOC6548669|XP_001974020.1|DERE
OG0000006	LOC6637059|XP_002060475.1|DVIR	LOC113564784|XP_026839416.1|DERE
OG0000006	LOC6637128|XP_015023601.1|DVIR, LOC116649806|XP_032288830.1|DVIR, LOC6630844|XP_032294583.1|DVIR, LOC116649802|XP_032288824.1|DVIR, LOC6636961|XP_015023643.1|DVIR, LOC6636997|XP_032288831.1|DVIR, LOC6630084|XP_002053094.1|DVIR	LOC6548691|XP_001974010.1|DERE
OG0000007	LOC6623030|XP_002046517.1|DVIR	LOC6545298|XP_001972056.1|DERE
OG0000007	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR	LOC6545296|XP_001972054.1|DERE, LOC6545101|XP_001972052.1|DERE, LOC6545102|XP_001972053.1|DERE
OG0000007	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR	LOC6540876|XP_001968735.1|DERE
OG0000007	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR	LOC6545660|XP_001971664.1|DERE, LOC6540935|XP_001968733.1|DERE
OG0000008	LOC6629514|XP_002054585.2|DVIR	LOC6553905|XP_001979522.1|DERE
OG0000008	LOC6623720|XP_002046325.3|DVIR	LOC6543716|XP_001971859.1|DERE
OG0000008	LOC6622211|XP_002046327.1|DVIR	LOC6543719|XP_001971862.1|DERE
OG0000008	LOC6627554|XP_002052288.1|DVIR	LOC6541660|XP_001969797.3|DERE
OG0000008	LOC26531283|XP_015031719.1|DVIR	LOC6543717|XP_001971860.3|DERE
OG0000008	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE
OG0000008	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR	LOC6553018|XP_001979109.1|DERE
OG0000008	LOC6631289|XP_002053528.2|DVIR	LOC6553016|XP_001979107.1|DERE
OG0000008	LOC6631285|XP_002053524.1|DVIR	LOC6553019|XP_001979110.3|DERE
OG0000008	LOC6631288|XP_002053527.1|DVIR	LOC6553017|XP_001979108.1|DERE
OG0000008	LOC6631290|XP_002053529.1|DVIR	LOC6553015|XP_001979106.1|DERE
OG0000009	LOC6632445|XP_002056511.1|DVIR	LOC6554105|XP_001979501.1|DERE
OG0000009	LOC6632323|XP_002056506.1|DVIR	LOC6554107|XP_001979503.1|DERE
OG0000009	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR	LOC6554108|XP_001979504.1|DERE, LOC6554106|XP_001979502.1|DERE
OG0000009	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR	LOC6548094|XP_001976600.1|DERE
OG0000009	LOC6626542|XP_002050752.1|DVIR	LOC6546804|XP_001975914.1|DERE
OG0000009	LOC6628883|XP_002051663.1|DVIR	LOC6546805|XP_001975915.1|DERE
OG0000010	LOC116649822|XP_032288857.1|DVIR, LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR	LOC6556039|XP_015008608.2|DERE
OG0000010	LOC116649829|XP_032288866.1|DVIR, LOC6630837|XP_002053113.1|DVIR, LOC6637215|XP_002060533.1|DVIR, LOC116649823|XP_032288859.1|DVIR, LOC6636962|XP_002060409.1|DVIR	LOC113564802|XP_026839451.1|DERE
OG0000010	LOC116649826|XP_032288863.1|DVIR	LOC26526498|XP_026839417.1|DERE
OG0000010	LOC116649824|XP_032288860.1|DVIR	LOC6548710|XP_026839403.1|DERE, LOC6556033|XP_026839405.1|DERE, LOC6549045|XP_026839450.1|DERE
OG0000010	LOC6637029|XP_002060450.1|DVIR	LOC6556049|XP_001982909.3|DERE
OG0000011	LOC6623065|XP_002048503.2|DVIR	LOC6545633|XP_001972695.1|DERE
OG0000011	LOC6635697|XP_002059270.2|DVIR	LOC6552127|XP_001980788.1|DERE
OG0000011	LOC26531915|XP_015024752.1|DVIR	LOC6553432|XP_001979238.2|DERE
OG0000012	LOC6624922|XP_002050777.1|DVIR	LOC6547483|XP_015011854.1|DERE
OG0000012	LOC6625019|XP_002050778.1|DVIR	LOC6547482|XP_001974798.1|DERE
OG0000012	LOC6625021|XP_002050780.1|DVIR	LOC6547337|XP_015012184.1|DERE
OG0000012	LOC6624921|XP_015029085.1|DVIR	LOC6547484|XP_026836781.1|DERE
OG0000012	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR	LOC6547486|XP_001974802.1|DERE, LOC6547485|XP_015012185.1|DERE
OG0000012	LOC6627005|XP_002050771.1|DVIR	LOC6546830|XP_026836193.1|DERE, LOC6546691|XP_001975936.3|DERE, LOC6546690|XP_001975935.1|DERE, LOC26526953|XP_026835974.1|DERE
OG0000012	LOC6627004|XP_002050770.1|DVIR	LOC6546689|XP_001975934.2|DERE, LOC6546688|XP_001975933.1|DERE
OG0000013	LOC6626677|XP_002050872.1|DVIR	LOC6549620|XP_001975657.1|DERE
OG0000013	LOC6633411|XP_015025597.1|DVIR	LOC6551261|XP_026838843.1|DERE
OG0000013	LOC6630204|XP_002053707.1|DVIR	LOC6553110|XP_001980016.1|DERE
OG0000013	LOC6622085|XP_002048525.1|DVIR	LOC6545627|XP_026832753.1|DERE
OG0000013	LOC6632892|XP_002056192.1|DVIR	LOC6553734|XP_001980320.1|DERE
OG0000013	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR	LOC6554353|XP_001982051.1|DERE
OG0000013	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR	LOC6553767|XP_001980392.1|DERE, LOC6553763|XP_026839524.1|DERE, LOC113564842|XP_026839519.1|DERE, LOC6553724|XP_001980393.1|DERE, LOC6554050|XP_001980491.1|DERE, LOC6554051|XP_001980492.1|DERE
OG0000015	LOC6633997|XP_032293758.1|DVIR	LOC6549487|XP_001974261.3|DERE
OG0000015	LOC26531562|XP_032293636.1|DVIR	LOC6554572|XP_026839568.1|DERE
OG0000016	LOC6633127|XP_002056070.1|DVIR	LOC6553473|XP_001980267.1|DERE
OG0000016	LOC116650918|XP_032291957.1|DVIR	LOC6547825|XP_001974973.1|DERE
OG0000016	LOC6630423|XP_002053735.1|DVIR	LOC6553744|XP_001980362.1|DERE
OG0000016	LOC6625554|XP_002049004.2|DVIR	LOC6548497|XP_001975310.2|DERE
OG0000016	LOC6636049|XP_002059576.1|DVIR	LOC6551195|XP_001977029.1|DERE
OG0000016	LOC6635861|XP_002059335.1|DVIR	LOC6542573|XP_026835446.1|DERE
OG0000016	LOC6631018|XP_002054294.1|DVIR	LOC6553157|XP_026831618.1|DERE
OG0000016	LOC6623693|XP_002048319.1|DVIR	LOC6544283|XP_001973711.1|DERE
OG0000017	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR	LOC6542635|XP_001970806.1|DERE
OG0000017	LOC6628970|XP_032293497.1|DVIR, LOC6623565|XP_032291328.1|DVIR, LOC116651590|XP_032294188.1|DVIR	LOC6544876|XP_001973836.1|DERE, LOC6556262|XP_026839527.1|DERE
OG0000017	LOC6627049|XP_002050830.3|DVIR	LOC6547791|XP_001976408.1|DERE
OG0000017	LOC6635871|XP_002059345.1|DVIR	LOC6542668|XP_001970804.1|DERE
OG0000017	LOC6627836|XP_032294331.1|DVIR	LOC6543081|XP_001968299.1|DERE
OG0000018	LOC6623414|XP_002046136.1|DVIR	LOC6545112|XP_001972081.1|DERE
OG0000018	LOC6623369|XP_002046140.1|DVIR	LOC6545117|XP_001972086.1|DERE, LOC6545115|XP_001972084.1|DERE
OG0000018	LOC6623326|XP_002046138.1|DVIR	LOC6545114|XP_001972083.1|DERE
OG0000018	LOC6623443|XP_002046145.1|DVIR	LOC6545189|XP_001972077.1|DERE, LOC6545191|XP_001972079.1|DERE
OG0000019	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR	LOC113564308|XP_026836578.1|DERE
OG0000019	LOC6630458|XP_002053919.1|DVIR	LOC6555070|XP_001981612.1|DERE
OG0000019	LOC6630457|XP_002053918.1|DVIR	LOC6555069|XP_001981611.1|DERE
OG0000019	LOC6630452|XP_002053913.1|DVIR	LOC113564283|XP_026836268.1|DERE, LOC6555065|XP_001981607.1|DERE, LOC113563849|XP_026832170.1|DERE, LOC113563848|XP_026832169.1|DERE, LOC113563851|XP_026832173.1|DERE, LOC113563850|XP_026832172.1|DERE, LOC6555062|XP_001981604.2|DERE, LOC6555064|XP_026839386.1|DERE
OG0000020	LOC6634957|XP_002058591.1|DVIR	LOC6555052|XP_026839769.1|DERE
