Orthogroup	DVIR.longest_only	DSUB.longest_only
OG0000000	LOC6627198|XP_032293006.1|DVIR	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB
OG0000000	LOC6625157|XP_032292502.1|DVIR	LOC117890871|XP_034651851.1|DSUB, LOC117889909|XP_034650326.1|DSUB
OG0000000	LOC6626786|XP_002048872.2|DVIR	LOC117892287|XP_034654298.1|DSUB
OG0000000	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB, LOC117897324|XP_034661985.1|DSUB
OG0000001	LOC116649975|XP_032289192.1|DVIR, LOC116650014|XP_032289242.1|DVIR, LOC116650813|XP_032291445.1|DVIR, LOC116650693|XP_032291016.1|DVIR, LOC116650639|XP_032290738.1|DVIR, LOC116650317|XP_032289578.1|DVIR, LOC116650237|XP_032289383.1|DVIR, LOC116650018|XP_032289244.1|DVIR, LOC116651796|XP_032294718.1|DVIR, LOC116651620|XP_032294251.1|DVIR, LOC116652104|XP_032295893.1|DVIR, LOC116652102|XP_032295892.1|DVIR, LOC116651616|XP_032294247.1|DVIR, LOC116650104|XP_032289333.1|DVIR, LOC116649993|XP_032289204.1|DVIR, LOC116650569|XP_032290453.1|DVIR, LOC116652064|XP_032295773.1|DVIR, LOC116650307|XP_032289663.1|DVIR	LOC117902179|XP_034669231.1|DSUB
OG0000002	LOC6627081|XP_002049906.2|DVIR	LOC117891991|XP_034653760.1|DSUB
OG0000002	LOC6627080|XP_002049905.2|DVIR	LOC117891990|XP_034653758.1|DSUB
OG0000002	LOC6626597|XP_002049033.2|DVIR	LOC117900215|XP_034666390.1|DSUB
OG0000002	LOC6628707|XP_002051325.3|DVIR	LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB
OG0000003	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR	LOC117890983|XP_034652023.1|DSUB
OG0000003	LOC6625464|XP_002049668.1|DVIR	LOC117890991|XP_034652033.1|DSUB
OG0000003	LOC6625463|XP_002049667.1|DVIR	LOC117890982|XP_034652022.1|DSUB
OG0000003	LOC6627946|XP_002051419.1|DVIR	LOC117900241|XP_034666421.1|DSUB
OG0000005	LOC6636959|XP_032294591.1|DVIR, LOC6637271|XP_002060544.1|DVIR, LOC26530643|XP_032288849.1|DVIR, LOC6630839|XP_002053115.1|DVIR, LOC116649812|XP_032288841.1|DVIR, LOC6630083|XP_002053093.1|DVIR, LOC26530712|XP_032288873.1|DVIR, LOC116649821|XP_032288854.1|DVIR, LOC116649778|XP_032288855.1|DVIR, LOC6637055|XP_002060474.1|DVIR, LOC116649811|XP_032288840.1|DVIR, LOC6630110|XP_002053103.1|DVIR, LOC116649814|XP_032288843.1|DVIR, LOC6637086|XP_002060498.1|DVIR, LOC116649818|XP_032288848.1|DVIR, LOC116649815|XP_032288845.1|DVIR, LOC6636998|XP_002060428.1|DVIR, LOC26530621|XP_015023595.2|DVIR, LOC116649813|XP_032288842.1|DVIR, LOC116649820|XP_032288853.1|DVIR, LOC116649817|XP_032288847.1|DVIR, LOC6630835|XP_002053111.1|DVIR, LOC116649819|XP_032288852.1|DVIR, LOC116649816|XP_032288846.1|DVIR	LOC117901442|XP_034668076.1|DSUB
OG0000006	LOC6637262|XP_032288828.1|DVIR	LOC117901441|XP_034668075.1|DSUB
OG0000006	LOC6630106|XP_032288838.1|DVIR	LOC117902681|XP_034670104.1|DSUB
OG0000007	LOC116650729|XP_032291101.1|DVIR	LOC117890133|XP_034650711.1|DSUB
OG0000007	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR	LOC117900835|XP_034667237.1|DSUB
OG0000007	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR	LOC117894709|XP_034657781.1|DSUB, LOC117901609|XP_034668319.1|DSUB
OG0000008	LOC6629514|XP_002054585.2|DVIR	LOC117896362|XP_034660529.1|DSUB
OG0000008	LOC6623720|XP_002046325.3|DVIR	LOC117895169|XP_034658523.1|DSUB
OG0000008	LOC6622211|XP_002046327.1|DVIR	LOC117895168|XP_034658522.1|DSUB
OG0000008	LOC6627554|XP_002052288.1|DVIR	LOC117902083|XP_034669067.1|DSUB
OG0000008	LOC26531283|XP_015031719.1|DVIR	LOC117895171|XP_034658525.1|DSUB
OG0000008	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB
OG0000008	LOC6631289|XP_002053528.2|DVIR	LOC117898640|XP_034664094.1|DSUB
OG0000008	LOC6631285|XP_002053524.1|DVIR	LOC117898631|XP_034664083.1|DSUB
OG0000008	LOC6631288|XP_002053527.1|DVIR	LOC117898634|XP_034664087.1|DSUB
OG0000008	LOC6631290|XP_002053529.1|DVIR	LOC117898636|XP_034664090.1|DSUB
OG0000009	LOC6632445|XP_002056511.1|DVIR	LOC117896628|XP_034660961.1|DSUB
OG0000009	LOC6632323|XP_002056506.1|DVIR	LOC117898287|XP_034663434.1|DSUB
OG0000009	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB
OG0000009	LOC6635767|XP_032294717.1|DVIR	LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB
OG0000009	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR	LOC117890282|XP_034650935.1|DSUB
OG0000009	LOC6626542|XP_002050752.1|DVIR	LOC117892376|XP_034654476.1|DSUB
OG0000009	LOC6628883|XP_002051663.1|DVIR	LOC117892374|XP_034654475.1|DSUB
OG0000010	LOC116649824|XP_032288860.1|DVIR	LOC117899454|XP_034665355.1|DSUB
OG0000011	LOC6623065|XP_002048503.2|DVIR	LOC117894953|XP_034658172.1|DSUB
OG0000011	LOC6635697|XP_002059270.2|DVIR	LOC117897187|XP_034661778.1|DSUB
