Orthogroup	DVIR.longest_only	DPER.longest_only
OG0000000	LOC6627198|XP_032293006.1|DVIR	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER, LOC6603458|XP_002028438.2|DPER
OG0000000	LOC6625157|XP_032292502.1|DVIR	LOC6603462|XP_002028442.1|DPER
OG0000000	LOC6626786|XP_002048872.2|DVIR	LOC6592293|XP_002018412.1|DPER
OG0000000	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER, LOC6595014|XP_026839995.1|DPER, LOC6587480|XP_002013644.2|DPER
OG0000001	LOC116650073|XP_032289315.1|DVIR, LOC116649967|XP_032289174.1|DVIR	LOC113566438|XP_026847737.1|DPER
OG0000002	LOC6627081|XP_002049906.2|DVIR	LOC6601614|XP_002026650.2|DPER
OG0000002	LOC6627080|XP_002049905.2|DVIR	LOC6601615|XP_026841465.1|DPER
OG0000002	LOC6626597|XP_002049033.2|DVIR	LOC6596381|XP_002021534.2|DPER
OG0000002	LOC6628707|XP_002051325.3|DVIR	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER
OG0000003	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR	LOC6591231|XP_002016677.1|DPER
OG0000003	LOC6625464|XP_002049668.1|DVIR	LOC6591236|XP_002016682.2|DPER
OG0000003	LOC6625463|XP_002049667.1|DVIR	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER
OG0000003	LOC6627946|XP_002051419.1|DVIR	LOC6596552|XP_002021689.1|DPER
