Orthogroup	DVIR.longest_only	ASTE.longest_only
OG0000001	LOC116649975|XP_032289192.1|DVIR, LOC116650014|XP_032289242.1|DVIR, LOC116650813|XP_032291445.1|DVIR, LOC116650693|XP_032291016.1|DVIR, LOC116650639|XP_032290738.1|DVIR, LOC116650317|XP_032289578.1|DVIR, LOC116650237|XP_032289383.1|DVIR, LOC116650018|XP_032289244.1|DVIR, LOC116651796|XP_032294718.1|DVIR, LOC116651620|XP_032294251.1|DVIR, LOC116652104|XP_032295893.1|DVIR, LOC116652102|XP_032295892.1|DVIR, LOC116651616|XP_032294247.1|DVIR, LOC116650104|XP_032289333.1|DVIR, LOC116649993|XP_032289204.1|DVIR, LOC116650569|XP_032290453.1|DVIR, LOC116652064|XP_032295773.1|DVIR	LOC118508413|XP_035904112.1|ASTE
OG0000001	LOC116650307|XP_032289663.1|DVIR	LOC118510932|XP_035909246.1|ASTE
OG0000002	LOC6628707|XP_002051325.3|DVIR	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE, LOC118511460|XP_035910455.1|ASTE, LOC118509013|XP_035904926.1|ASTE, LOC118509867|XP_035906983.1|ASTE
OG0000006	LOC6637262|XP_032288828.1|DVIR	LOC118517636|XP_035919841.1|ASTE
OG0000006	LOC6630084|XP_002053094.1|DVIR	LOC118508036|XP_035903331.1|ASTE
OG0000008	LOC6629514|XP_002054585.2|DVIR	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE
OG0000008	LOC6623720|XP_002046325.3|DVIR	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE
OG0000008	LOC6627554|XP_002052288.1|DVIR	LOC118509007|XP_035904915.1|ASTE
OG0000008	LOC26531283|XP_015031719.1|DVIR	LOC118506772|XP_035900260.1|ASTE
OG0000009	LOC6632445|XP_002056511.1|DVIR, LOC6632323|XP_002056506.1|DVIR, LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR, LOC6635767|XP_032294717.1|DVIR, LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR, LOC6626544|XP_002050754.1|DVIR, LOC6626543|XP_032292517.1|DVIR, LOC6626542|XP_002050752.1|DVIR, LOC6628883|XP_002051663.1|DVIR	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE
