Orthogroup	DVIR.longest_only	DPSE.longest_only
OG0000000	LOC6627198|XP_032293006.1|DVIR	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE, LOC6898698|XP_015040315.2|DPSE
OG0000000	LOC6625157|XP_032292502.1|DVIR	LOC6898695|XP_002138700.2|DPSE
OG0000000	LOC6626786|XP_002048872.2|DVIR	LOC4804691|XP_001361210.2|DPSE
OG0000000	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE, LOC6896813|XP_033232366.1|DPSE, LOC4801605|XP_001358672.2|DPSE
OG0000001	LOC116650073|XP_032289315.1|DVIR, LOC116649967|XP_032289174.1|DVIR	LOC117183652|XP_033234147.1|DPSE, LOC117183653|XP_033234148.1|DPSE, LOC117184892|XP_033239892.1|DPSE, LOC117183651|XP_033234146.1|DPSE, LOC117183772|XP_033234922.1|DPSE, LOC117184855|XP_033239804.1|DPSE, LOC117183762|XP_033234766.1|DPSE, LOC117184464|XP_033238070.1|DPSE, LOC117184939|XP_033240070.1|DPSE, LOC117183710|XP_033234454.1|DPSE
OG0000001	LOC116650112|XP_032289334.1|DVIR	LOC117184646|XP_033239083.1|DPSE, LOC117183632|XP_033234091.1|DPSE, LOC117184885|XP_033239875.1|DPSE, LOC117185599|XP_033241627.1|DPSE, LOC117184570|XP_033238730.1|DPSE, LOC117184630|XP_033239023.1|DPSE, LOC117183489|XP_033233200.1|DPSE, LOC117183635|XP_033234095.1|DPSE, LOC117185173|XP_033241307.1|DPSE, LOC117184661|XP_033239137.1|DPSE, LOC117184561|XP_033238671.1|DPSE, LOC117184560|XP_033238670.1|DPSE
OG0000001	LOC116650083|XP_032289319.1|DVIR	LOC117184985|XP_033240229.1|DPSE
OG0000001	LOC116650307|XP_032289663.1|DVIR	LOC6899689|XP_015044449.2|DPSE, LOC117184831|XP_033239700.1|DPSE, LOC117185157|XP_033241160.1|DPSE, LOC117183639|XP_033234125.1|DPSE, LOC117184075|XP_033236063.1|DPSE, LOC6899580|XP_033235226.1|DPSE, LOC117184644|XP_033239077.1|DPSE, LOC117184038|XP_033235938.1|DPSE
OG0000002	LOC6627081|XP_002049906.2|DVIR	LOC6899110|XP_033234698.1|DPSE
OG0000002	LOC6627080|XP_002049905.2|DVIR	LOC6899111|XP_002139028.1|DPSE
OG0000002	LOC6626597|XP_002049033.2|DVIR	LOC6902531|XP_002133071.3|DPSE
OG0000003	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR	LOC4804983|XP_001361457.3|DPSE
OG0000003	LOC6625464|XP_002049668.1|DVIR	LOC4804978|XP_001361452.2|DPSE
OG0000003	LOC6625463|XP_002049667.1|DVIR	LOC26533075|XP_033237686.1|DPSE, LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE
OG0000003	LOC6627946|XP_002051419.1|DVIR	LOC6902590|XP_002133118.2|DPSE
OG0000004	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR, LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR, LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR	LOC117183568|XP_033233728.1|DPSE, LOC117185607|XP_033241635.1|DPSE, LOC117185606|XP_033241634.1|DPSE, LOC26532116|XP_015035138.1|DPSE, LOC117185600|XP_033241628.1|DPSE, LOC26534267|XP_015035134.1|DPSE, LOC117185633|XP_033241719.1|DPSE, LOC117185634|XP_033241720.1|DPSE, LOC26533245|XP_033241636.1|DPSE, LOC117185608|XP_033241637.1|DPSE, LOC117185631|XP_033241718.1|DPSE, LOC117185630|XP_033241717.1|DPSE, LOC26532398|XP_015035141.1|DPSE, LOC117183574|XP_033233756.1|DPSE, LOC117183621|XP_033234074.1|DPSE
OG0000005	LOC26530672|XP_032288850.1|DVIR	LOC6903935|XP_002136582.1|DPSE
OG0000005	LOC6636998|XP_002060428.1|DVIR	LOC117183560|XP_033233682.1|DPSE
OG0000005	LOC116649817|XP_032288847.1|DVIR	LOC6903934|XP_002136584.1|DPSE
OG0000005	LOC116649816|XP_032288846.1|DVIR	LOC117185613|XP_033241643.1|DPSE
OG0000006	LOC116649803|XP_032288825.1|DVIR	LOC117183556|XP_033233676.1|DPSE
OG0000006	LOC6637262|XP_032288828.1|DVIR	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE
OG0000006	LOC6637128|XP_015023601.1|DVIR, LOC116649806|XP_032288830.1|DVIR, LOC6630844|XP_032294583.1|DVIR, LOC116649802|XP_032288824.1|DVIR, LOC6636961|XP_015023643.1|DVIR, LOC6636997|XP_032288831.1|DVIR, LOC6630084|XP_002053094.1|DVIR, LOC6637312|XP_002060557.1|DVIR	LOC117183581|XP_033233838.1|DPSE
OG0000007	LOC6623030|XP_002046517.1|DVIR	LOC5495512|XP_001353851.2|DPSE
OG0000007	LOC116650729|XP_032291101.1|DVIR	LOC4805058|XP_001361522.1|DPSE
OG0000007	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR	LOC4816610|XP_001355938.2|DPSE
