Orthogroup	DVIR.longest_only	DSEC.longest_only
OG0000000	LOC6623450|XP_002047287.1|DVIR	LOC6605054|XP_032575159.1|DSEC
OG0000000	LOC6627198|XP_032293006.1|DVIR	LOC6612593|XP_002037098.2|DSEC, LOC116800509|XP_032571804.1|DSEC, LOC6611330|XP_002035877.1|DSEC
OG0000000	LOC6625157|XP_032292502.1|DVIR	LOC6608865|XP_002033579.1|DSEC
OG0000000	LOC6626786|XP_002048872.2|DVIR	LOC6618886|XP_002043134.2|DSEC
OG0000000	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR	LOC6609904|XP_032570140.1|DSEC, LOC6609905|XP_032572518.1|DSEC, LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC, LOC6612634|XP_002037138.2|DSEC
OG0000001	LOC116650307|XP_032289663.1|DVIR	LOC116801168|XP_032575066.1|DSEC
OG0000002	LOC6625292|XP_002049777.1|DVIR	LOC6609498|XP_002034183.1|DSEC
OG0000002	LOC6627081|XP_002049906.2|DVIR	LOC6615482|XP_002039862.2|DSEC
OG0000002	LOC6627080|XP_002049905.2|DVIR	LOC6615481|XP_002039861.2|DSEC
OG0000002	LOC6628707|XP_002051325.3|DVIR	LOC6613615|XP_032570344.1|DSEC
OG0000003	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR	LOC6609226|XP_032570279.1|DSEC, LOC6609227|XP_002033918.2|DSEC
OG0000003	LOC6625082|XP_002050483.2|DVIR	LOC6609223|XP_002033914.2|DSEC
OG0000003	LOC6625464|XP_002049668.1|DVIR	LOC6608196|XP_002032941.1|DSEC
OG0000003	LOC6625463|XP_002049667.1|DVIR	LOC6608194|XP_002032939.1|DSEC
OG0000003	LOC6627946|XP_002051419.1|DVIR	LOC6613508|XP_002037976.1|DSEC
OG0000007	LOC6623030|XP_002046517.1|DVIR	LOC116800972|XP_032573823.1|DSEC
OG0000007	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR	LOC6610952|XP_032575303.1|DSEC, LOC6610951|XP_002035508.1|DSEC
OG0000007	LOC116650729|XP_032291101.1|DVIR	LOC6608215|XP_032572281.1|DSEC
OG0000007	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR	LOC6613407|XP_032570241.1|DSEC
OG0000007	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR	LOC6604871|XP_002029716.1|DSEC, LOC6604870|XP_002029715.1|DSEC, LOC6613405|XP_032574637.1|DSEC
OG0000008	LOC6629514|XP_002054585.2|DVIR	LOC6619063|XP_002043304.1|DSEC
OG0000008	LOC6623720|XP_002046325.3|DVIR	LOC6610740|XP_002035306.1|DSEC
OG0000008	LOC6622211|XP_002046327.1|DVIR	LOC6610743|XP_002035309.1|DSEC
OG0000008	LOC6627554|XP_002052288.1|DVIR	LOC6617678|XP_002041991.1|DSEC
OG0000008	LOC26531283|XP_015031719.1|DVIR	LOC6610741|XP_002035307.2|DSEC
OG0000008	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR	LOC6614150|XP_002038603.2|DSEC, LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC
OG0000008	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR	LOC6614148|XP_002038601.1|DSEC, LOC116801716|XP_032578753.1|DSEC
OG0000008	LOC6631289|XP_002053528.2|DVIR	LOC116801478|XP_032577234.1|DSEC
OG0000008	LOC6631285|XP_002053524.1|DVIR	LOC6614149|XP_002038602.2|DSEC
OG0000008	LOC6631288|XP_002053527.1|DVIR	LOC116801482|XP_032577264.1|DSEC
OG0000008	LOC6631290|XP_002053529.1|DVIR	LOC116801721|XP_032578777.1|DSEC
OG0000009	LOC6632445|XP_002056511.1|DVIR	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC
OG0000009	LOC6632323|XP_002056506.1|DVIR	LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC
