Orthogroup	DVIR.longest_only	DFIC.longest_only
OG0000000	LOC6627198|XP_032293006.1|DVIR	LOC108096481|XP_017053581.1|DFIC, LOC108101733|XP_017061674.1|DFIC
OG0000000	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR	LOC108095110|XP_017051537.1|DFIC, LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC, LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC, LOC108097696|XP_017055657.1|DFIC
OG0000000	LOC6636429|XP_032291674.1|DVIR	LOC108089293|XP_017042959.1|DFIC, LOC108089294|XP_017042961.1|DFIC
OG0000001	LOC116649975|XP_032289192.1|DVIR, LOC116650014|XP_032289242.1|DVIR, LOC116650813|XP_032291445.1|DVIR, LOC116650693|XP_032291016.1|DVIR, LOC116650639|XP_032290738.1|DVIR, LOC116650317|XP_032289578.1|DVIR, LOC116650237|XP_032289383.1|DVIR, LOC116650018|XP_032289244.1|DVIR, LOC116651796|XP_032294718.1|DVIR, LOC116651620|XP_032294251.1|DVIR, LOC116652104|XP_032295893.1|DVIR, LOC116652102|XP_032295892.1|DVIR, LOC116651616|XP_032294247.1|DVIR, LOC116650104|XP_032289333.1|DVIR, LOC116649993|XP_032289204.1|DVIR, LOC116650569|XP_032290453.1|DVIR, LOC116652064|XP_032295773.1|DVIR	LOC108094352|XP_017050381.1|DFIC
OG0000001	LOC116650307|XP_032289663.1|DVIR	LOC108098394|XP_017056755.1|DFIC
OG0000002	LOC6625292|XP_002049777.1|DVIR	LOC108090526|XP_017044733.1|DFIC
OG0000002	LOC6627081|XP_002049906.2|DVIR	LOC108090768|XP_017045096.1|DFIC
OG0000002	LOC6627080|XP_002049905.2|DVIR	LOC108090769|XP_017045098.1|DFIC
OG0000002	LOC6626597|XP_002049033.2|DVIR	LOC108092580|XP_017047713.1|DFIC, LOC108092286|XP_017047310.1|DFIC
OG0000003	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR	LOC108087667|XP_017040650.1|DFIC, LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC
