Orthogroup	DVIR.longest_only	DYAK.longest_only
OG0000000	LOC6623450|XP_002047287.1|DVIR	LOC6532541|XP_002093287.2|DYAK
OG0000000	LOC6627198|XP_032293006.1|DVIR	LOC120321802|XP_039231662.1|DYAK, LOC26536205|XP_015052957.2|DYAK, LOC6529038|XP_002090069.2|DYAK
OG0000000	LOC6625157|XP_032292502.1|DVIR	LOC6530087|XP_002091033.1|DYAK
OG0000000	LOC6626786|XP_002048872.2|DVIR	LOC6532122|XP_002092898.3|DYAK
OG0000000	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR	LOC6532052|XP_039228287.1|DYAK, LOC6532051|XP_039228285.1|DYAK, LOC6532054|XP_039228543.1|DYAK, LOC6530976|XP_002091814.2|DYAK, LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK, LOC6538114|XP_002098649.1|DYAK
OG0000000	LOC6636429|XP_032291674.1|DVIR	LOC6539519|XP_002086405.1|DYAK, LOC6539518|XP_039230304.1|DYAK
OG0000001	LOC116650073|XP_032289315.1|DVIR, LOC116649967|XP_032289174.1|DVIR	LOC120320646|XP_039226853.1|DYAK, LOC120321532|XP_039230206.1|DYAK, LOC120321024|XP_039228172.1|DYAK
OG0000001	LOC116650307|XP_032289663.1|DVIR	LOC120320711|XP_039227061.1|DYAK, LOC120320699|XP_039227017.1|DYAK
OG0000002	LOC6625292|XP_002049777.1|DVIR	LOC6531354|XP_002092157.1|DYAK
OG0000002	LOC6627081|XP_002049906.2|DVIR	LOC6530517|XP_002091432.3|DYAK
OG0000002	LOC6627080|XP_002049905.2|DVIR	LOC6530518|XP_002091433.1|DYAK
OG0000002	LOC6626597|XP_002049033.2|DVIR	LOC6526775|XP_002087878.2|DYAK
OG0000002	LOC6628707|XP_002051325.3|DVIR	LOC6527104|XP_002088197.3|DYAK
OG0000003	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR	LOC6530460|XP_002091376.2|DYAK, LOC6530462|XP_002091378.1|DYAK
OG0000003	LOC6625464|XP_002049668.1|DVIR	LOC6528608|XP_002089651.1|DYAK
OG0000003	LOC6625463|XP_002049667.1|DVIR	LOC6528606|XP_002089649.1|DYAK, LOC120320435|XP_002089650.1|DYAK
OG0000003	LOC6627946|XP_002051419.1|DVIR	LOC6528128|XP_002089195.3|DYAK
OG0000005	LOC6630079|XP_002053089.1|DVIR	LOC6540448|XP_002087255.2|DYAK
OG0000006	LOC6637262|XP_032288828.1|DVIR	LOC120322195|XP_039233186.1|DYAK
OG0000006	LOC6630106|XP_032288838.1|DVIR	LOC120321238|XP_039229334.1|DYAK
OG0000006	LOC6630084|XP_002053094.1|DVIR	LOC26535831|XP_015045247.2|DYAK
OG0000006	LOC6637312|XP_002060557.1|DVIR	LOC6540554|XP_002087344.1|DYAK
OG0000007	LOC6623030|XP_002046517.1|DVIR	LOC6533142|XP_002093868.1|DYAK
OG0000007	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR	LOC6533140|XP_002093866.1|DYAK, LOC6533138|XP_002093864.1|DYAK, LOC6533139|XP_002093865.1|DYAK
OG0000007	LOC116650729|XP_032291101.1|DVIR	LOC6528628|XP_002089670.1|DYAK
OG0000007	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR	LOC6527618|XP_002088706.1|DYAK
OG0000007	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR	LOC6532723|XP_002093465.1|DYAK, LOC6532724|XP_002093466.1|DYAK, LOC6527620|XP_002088708.1|DYAK
OG0000008	LOC6629514|XP_002054585.2|DVIR	LOC26536044|XP_039231154.1|DYAK
OG0000008	LOC6623720|XP_002046325.3|DVIR	LOC6532927|XP_002093663.1|DYAK
OG0000008	LOC6622211|XP_002046327.1|DVIR	LOC6532930|XP_002093666.1|DYAK
OG0000008	LOC6627554|XP_002052288.1|DVIR	LOC6527319|XP_002088412.1|DYAK
OG0000008	LOC26531283|XP_015031719.1|DVIR	LOC6532928|XP_002093664.1|DYAK
OG0000008	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR	LOC6536139|XP_015047584.1|DYAK, LOC6536138|XP_039231652.1|DYAK
OG0000008	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR	LOC6536141|XP_039231654.1|DYAK
OG0000008	LOC6631289|XP_002053528.2|DVIR	LOC6536143|XP_002096744.1|DYAK
OG0000008	LOC6631285|XP_002053524.1|DVIR	LOC6536140|XP_002096741.1|DYAK
OG0000008	LOC6631288|XP_002053527.1|DVIR	LOC6536142|XP_002096743.1|DYAK
OG0000008	LOC6631290|XP_002053529.1|DVIR	LOC6536144|XP_002096745.1|DYAK
OG0000009	LOC6632445|XP_002056511.1|DVIR	LOC6535723|XP_002096349.3|DYAK
OG0000009	LOC6632323|XP_002056506.1|DVIR	LOC6535721|XP_002096347.1|DYAK
OG0000009	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR	LOC6535720|XP_002096346.1|DYAK, LOC6535722|XP_002096348.1|DYAK
OG0000009	LOC6635767|XP_032294717.1|DVIR	LOC6533117|XP_002093843.1|DYAK, LOC6533118|XP_002093844.1|DYAK
OG0000009	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR	LOC6532044|XP_002092821.1|DYAK
OG0000009	LOC6626542|XP_002050752.1|DVIR	LOC6530109|XP_002091055.1|DYAK
OG0000009	LOC6628883|XP_002051663.1|DVIR	LOC6530111|XP_002091057.1|DYAK
OG0000010	LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR	LOC120322219|XP_039233209.1|DYAK
OG0000010	LOC6637215|XP_002060533.1|DVIR, LOC116649823|XP_032288859.1|DVIR, LOC6636962|XP_002060409.1|DVIR	LOC120322218|XP_039233208.1|DYAK
OG0000010	LOC116649824|XP_032288860.1|DVIR	LOC120322222|XP_039233212.1|DYAK
OG0000010	LOC6637029|XP_002060450.1|DVIR	LOC26535638|XP_039229341.1|DYAK, LOC120322220|XP_039233210.1|DYAK, LOC26535724|XP_039233215.1|DYAK, LOC120322221|XP_039233211.1|DYAK
OG0000011	LOC6623065|XP_002048503.2|DVIR	LOC6534063|XP_002094749.1|DYAK
OG0000011	LOC6635697|XP_002059270.2|DVIR	LOC6536394|XP_002096976.1|DYAK
OG0000012	LOC6624922|XP_002050777.1|DVIR	LOC6530957|XP_002091795.1|DYAK
OG0000012	LOC6625019|XP_002050778.1|DVIR	LOC6530958|XP_002091796.1|DYAK
