Orthogroup	DVIR.longest_only	DGUA.longest_only
OG0000000	LOC6627198|XP_032293006.1|DVIR	LOC117592188|XP_034141680.1|DGUA
OG0000000	LOC6625157|XP_032292502.1|DVIR	LOC117588815|XP_034136215.1|DGUA
OG0000000	LOC6626786|XP_002048872.2|DVIR	LOC117592532|XP_034142283.1|DGUA
OG0000000	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR	LOC117592662|XP_034142498.1|DGUA, LOC117592359|XP_034141946.1|DGUA, LOC117589701|XP_034137755.1|DGUA
OG0000001	LOC116650073|XP_032289315.1|DVIR, LOC116649967|XP_032289174.1|DVIR	LOC117591299|XP_034140394.1|DGUA
OG0000002	LOC6627081|XP_002049906.2|DVIR	LOC117579099|XP_034120716.1|DGUA
OG0000002	LOC6627080|XP_002049905.2|DVIR	LOC117579108|XP_034120728.1|DGUA
OG0000002	LOC6626597|XP_002049033.2|DVIR	LOC117584002|XP_034128622.1|DGUA
OG0000002	LOC6628707|XP_002051325.3|DVIR	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA
OG0000003	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR	LOC117592331|XP_034141917.1|DGUA
OG0000003	LOC6625464|XP_002049668.1|DVIR	LOC117583990|XP_034128606.1|DGUA
OG0000003	LOC6625463|XP_002049667.1|DVIR	LOC117583987|XP_034128590.1|DGUA
OG0000003	LOC6627946|XP_002051419.1|DVIR	LOC117587981|XP_034134880.1|DGUA
OG0000004	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR, LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR, LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR	LOC117591772|XP_034140973.1|DGUA, LOC117591686|XP_034140901.1|DGUA, LOC117591643|XP_034140858.1|DGUA, LOC117591660|XP_034140874.1|DGUA
OG0000006	LOC6637262|XP_032288828.1|DVIR	LOC117591658|XP_034140872.1|DGUA
OG0000006	LOC6637128|XP_015023601.1|DVIR, LOC116649806|XP_032288830.1|DVIR, LOC6630844|XP_032294583.1|DVIR, LOC116649802|XP_032288824.1|DVIR, LOC6636961|XP_015023643.1|DVIR, LOC6636997|XP_032288831.1|DVIR, LOC6630084|XP_002053094.1|DVIR	LOC117591645|XP_034140861.1|DGUA
OG0000007	LOC6623030|XP_002046517.1|DVIR	LOC117587429|XP_034133994.1|DGUA
OG0000007	LOC116650729|XP_032291101.1|DVIR	LOC117592308|XP_034141873.1|DGUA
OG0000007	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR	LOC117584026|XP_034128654.1|DGUA
OG0000007	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR	LOC117587067|XP_034133401.1|DGUA, LOC117584025|XP_034128653.1|DGUA
