Orthogroup	DVIR.longest_only	DHYD.longest_only
OG0000000	LOC6636425|XP_032292006.1|DVIR	LOC111593965|XP_023162824.1|DHYD
OG0000000	LOC6627198|XP_032293006.1|DVIR	LOC111599673|XP_023171145.1|DHYD
OG0000000	LOC6625157|XP_032292502.1|DVIR	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD
OG0000000	LOC6626786|XP_002048872.2|DVIR	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD
OG0000000	LOC6625560|XP_032292064.1|DVIR, LOC6625461|XP_032292063.1|DVIR, LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR	LOC111593957|XP_023162816.2|DHYD
OG0000000	LOC6630220|XP_002054794.2|DVIR	LOC115483355|XP_030080829.1|DHYD
OG0000000	LOC6636429|XP_032291674.1|DVIR	LOC111603644|XP_023177090.2|DHYD
OG0000001	LOC116650083|XP_032289319.1|DVIR	LOC111593537|XP_030080394.1|DHYD
OG0000002	LOC6625292|XP_002049777.1|DVIR	LOC111601236|XP_023173500.2|DHYD
OG0000002	LOC6627081|XP_002049906.2|DVIR	LOC115483422|XP_030081192.1|DHYD
OG0000002	LOC6627080|XP_002049905.2|DVIR	LOC111597015|XP_023167289.2|DHYD
OG0000002	LOC6625606|XP_002049101.2|DVIR	LOC111593705|XP_023162430.2|DHYD
OG0000002	LOC26531234|XP_015030301.1|DVIR, LOC26531370|XP_015030317.1|DVIR, LOC26530966|XP_015030266.1|DVIR, LOC26531544|XP_015030345.1|DVIR, LOC116651265|XP_032293187.1|DVIR	LOC111593796|XP_023162589.2|DHYD
OG0000002	LOC26531429|XP_015025398.1|DVIR	LOC111605420|XP_023179700.2|DHYD, LOC111592634|XP_023160745.2|DHYD, LOC111603993|XP_030079085.1|DHYD, LOC115482929|XP_030079105.1|DHYD, LOC111603858|XP_030079043.1|DHYD, LOC111600559|XP_030079098.1|DHYD, LOC111600451|XP_023172322.2|DHYD
OG0000002	LOC116649881|XP_032289027.1|DVIR	LOC111594787|XP_023164011.2|DHYD
OG0000002	LOC6634067|XP_002057869.2|DVIR	LOC111602329|XP_030079126.1|DHYD, LOC111602302|XP_023175071.2|DHYD, LOC115483393|XP_030081030.1|DHYD, LOC111600330|XP_030081031.1|DHYD, LOC111600435|XP_023172296.1|DHYD
OG0000002	LOC6626597|XP_002049033.2|DVIR	LOC111594107|XP_023163033.2|DHYD
OG0000003	LOC6625082|XP_002050483.2|DVIR	LOC111602573|XP_030082008.1|DHYD
OG0000003	LOC6625465|XP_032292893.1|DVIR	LOC111602546|XP_030082007.1|DHYD
OG0000003	LOC6624735|XP_002049738.1|DVIR	LOC111601269|XP_023173548.2|DHYD
OG0000003	LOC6627946|XP_002051419.1|DVIR	LOC111602383|XP_023175172.2|DHYD
OG0000004	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR, LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR, LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD
OG0000005	LOC6636998|XP_002060428.1|DVIR, LOC26530621|XP_015023595.2|DVIR	LOC115483257|XP_030080462.1|DHYD
OG0000005	LOC116649820|XP_032288853.1|DVIR	LOC115483190|XP_030080235.1|DHYD
OG0000005	LOC6630835|XP_002053111.1|DVIR	LOC115482890|XP_030078999.1|DHYD
OG0000005	LOC116649819|XP_032288852.1|DVIR	LOC115483259|XP_030080464.1|DHYD
OG0000005	LOC116649816|XP_032288846.1|DVIR	LOC115483285|XP_030080488.1|DHYD
OG0000006	LOC116649803|XP_032288825.1|DVIR	LOC115483249|XP_030080454.1|DHYD
OG0000006	LOC6637262|XP_032288828.1|DVIR	LOC115483251|XP_030080456.1|DHYD
OG0000006	LOC116649810|XP_032288837.1|DVIR	LOC115483279|XP_030080482.1|DHYD
OG0000006	LOC6636961|XP_015023643.1|DVIR, LOC6636997|XP_032288831.1|DVIR, LOC6630084|XP_002053094.1|DVIR	LOC115483281|XP_030080484.1|DHYD
OG0000007	LOC6623864|XP_002046827.1|DVIR	LOC111601090|XP_023173285.1|DHYD
OG0000007	LOC6623030|XP_002046517.1|DVIR	LOC111592429|XP_023160382.1|DHYD
OG0000007	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR	LOC111592441|XP_023160393.1|DHYD
OG0000007	LOC116650729|XP_032291101.1|DVIR	LOC111596952|XP_023167177.2|DHYD
OG0000007	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR	LOC111596951|XP_023167176.2|DHYD
OG0000007	LOC6624577|XP_032291102.1|DVIR, LOC6624526|XP_032291100.1|DVIR	LOC111596954|XP_023167178.2|DHYD
OG0000007	LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD
OG0000007	LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR	LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD
OG0000008	LOC6629514|XP_002054585.2|DVIR	LOC111604267|XP_023178033.1|DHYD
OG0000008	LOC6623720|XP_002046325.3|DVIR	LOC111598804|XP_023169992.1|DHYD
OG0000008	LOC6622211|XP_002046327.1|DVIR	LOC111599437|XP_023170859.2|DHYD
OG0000008	LOC6627554|XP_002052288.1|DVIR	LOC111603756|XP_023177254.2|DHYD
OG0000008	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD
