Orthogroup	DVIR.longest_only	DBIA.longest_only
OG0000000	LOC6623450|XP_002047287.1|DVIR	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA
OG0000000	LOC6627198|XP_032293006.1|DVIR	LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA, LOC108029053|XP_016956604.1|DBIA
OG0000000	LOC6625157|XP_032292502.1|DVIR	LOC108029341|XP_016957023.1|DBIA
OG0000000	LOC6626786|XP_002048872.2|DVIR	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR	LOC108022409|XP_016946783.1|DBIA, LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA, LOC108022120|XP_016946450.1|DBIA, LOC108024473|XP_016949882.1|DBIA
OG0000000	LOC6636429|XP_032291674.1|DVIR	LOC108034432|XP_016964806.1|DBIA, LOC108034431|XP_016964805.1|DBIA, LOC108034430|XP_016964804.1|DBIA
OG0000001	LOC116650083|XP_032289319.1|DVIR	LOC108036881|XP_016968745.1|DBIA
OG0000001	LOC116650307|XP_032289663.1|DVIR	LOC108021927|XP_016946239.1|DBIA
OG0000002	LOC6625292|XP_002049777.1|DVIR	LOC108036386|XP_016967980.1|DBIA
OG0000002	LOC6627081|XP_002049906.2|DVIR	LOC108022558|XP_016947041.1|DBIA
OG0000002	LOC6627080|XP_002049905.2|DVIR	LOC108022153|XP_016946484.1|DBIA
OG0000002	LOC6626597|XP_002049033.2|DVIR	LOC108027710|XP_016954748.1|DBIA, LOC108033431|XP_016963245.1|DBIA, LOC108027704|XP_016954743.1|DBIA, LOC108029019|XP_016956553.1|DBIA, LOC108029040|XP_016956580.1|DBIA
OG0000003	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR	LOC108030370|XP_016958727.1|DBIA, LOC108030025|XP_016958054.1|DBIA
OG0000003	LOC6625464|XP_002049668.1|DVIR	LOC108029368|XP_016957084.1|DBIA
OG0000003	LOC6625463|XP_002049667.1|DVIR	LOC108031495|XP_016960477.1|DBIA, LOC108029347|XP_016957028.1|DBIA, LOC108029367|XP_016957083.1|DBIA
OG0000003	LOC6627946|XP_002051419.1|DVIR	LOC108034204|XP_016964524.1|DBIA
OG0000006	LOC6637262|XP_032288828.1|DVIR	LOC108021907|XP_016946218.1|DBIA
OG0000007	LOC6623030|XP_002046517.1|DVIR	LOC108028761|XP_016956223.1|DBIA
OG0000007	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR	LOC108028547|XP_016955936.1|DBIA, LOC108028548|XP_016955937.1|DBIA, LOC108028068|XP_016955198.1|DBIA, LOC108028546|XP_016955935.1|DBIA, LOC108027995|XP_016955111.1|DBIA
OG0000007	LOC116650729|XP_032291101.1|DVIR	LOC108029358|XP_016957069.1|DBIA
OG0000007	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR	LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA
OG0000007	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR	LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA, LOC108034518|XP_016964930.1|DBIA, LOC108027854|XP_016954941.1|DBIA
OG0000008	LOC6629514|XP_002054585.2|DVIR	LOC108032174|XP_016961516.1|DBIA
OG0000008	LOC6623720|XP_002046325.3|DVIR	LOC108034858|XP_016965498.1|DBIA
OG0000008	LOC6622211|XP_002046327.1|DVIR	LOC108034855|XP_016965493.1|DBIA
OG0000008	LOC6627554|XP_002052288.1|DVIR	LOC108033465|XP_016963291.1|DBIA
OG0000008	LOC26531283|XP_015031719.1|DVIR	LOC108034860|XP_016965500.1|DBIA
OG0000008	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR	LOC108027365|XP_016954278.1|DBIA, LOC108027065|XP_016953763.1|DBIA
OG0000008	LOC6631289|XP_002053528.2|DVIR	LOC108027095|XP_016953802.1|DBIA
OG0000008	LOC6631290|XP_002053529.1|DVIR	LOC108027071|XP_016953774.1|DBIA
OG0000009	LOC6632445|XP_002056511.1|DVIR	LOC108031158|XP_016959863.1|DBIA
OG0000009	LOC6632323|XP_002056506.1|DVIR	LOC108032245|XP_016961597.1|DBIA
OG0000009	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR	LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA
OG0000009	LOC6635767|XP_032294717.1|DVIR	LOC108028108|XP_016955244.1|DBIA
OG0000009	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR	LOC108022184|XP_016946525.1|DBIA
OG0000009	LOC6626542|XP_002050752.1|DVIR	LOC108023117|XP_016947872.1|DBIA
OG0000009	LOC6628883|XP_002051663.1|DVIR	LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA, LOC108022200|XP_016946542.1|DBIA
OG0000010	LOC116649822|XP_032288857.1|DVIR, LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR	LOC108024778|XP_016950383.1|DBIA
OG0000011	LOC6623065|XP_002048503.2|DVIR	LOC108023177|XP_016947908.1|DBIA, LOC108035647|XP_016966842.1|DBIA
OG0000011	LOC6635697|XP_002059270.2|DVIR	LOC108024710|XP_016950292.1|DBIA
OG0000012	LOC6624922|XP_002050777.1|DVIR	LOC108026825|XP_016953482.1|DBIA
OG0000012	LOC6625019|XP_002050778.1|DVIR	LOC108026824|XP_016953480.1|DBIA
OG0000012	LOC6625021|XP_002050780.1|DVIR	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA
OG0000012	LOC6624921|XP_015029085.1|DVIR	LOC108026906|XP_016953604.1|DBIA
OG0000012	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR	LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA, LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA
OG0000012	LOC6627005|XP_002050771.1|DVIR	LOC108022093|XP_016946425.1|DBIA, LOC108022195|XP_016946536.1|DBIA, LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA
OG0000012	LOC6627004|XP_002050770.1|DVIR	LOC108022979|XP_016947693.1|DBIA, LOC108022976|XP_016947689.1|DBIA
OG0000013	LOC6626677|XP_002050872.1|DVIR	LOC108036445|XP_016968074.1|DBIA
OG0000013	LOC6633411|XP_015025597.1|DVIR	LOC108030851|XP_016959521.1|DBIA
OG0000013	LOC6630204|XP_002053707.1|DVIR	LOC108031414|XP_016960303.1|DBIA
OG0000013	LOC6622085|XP_002048525.1|DVIR	LOC108034990|XP_016965812.1|DBIA
OG0000013	LOC6632892|XP_002056192.1|DVIR	LOC108024443|XP_016949852.1|DBIA
OG0000013	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR	LOC108026153|XP_016952377.1|DBIA
OG0000013	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR	LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA
OG0000014	LOC116652015|XP_032295550.1|DVIR	LOC108035861|XP_016967096.1|DBIA
OG0000015	LOC6633997|XP_032293758.1|DVIR	LOC108033679|XP_016963624.1|DBIA
OG0000015	LOC26531562|XP_032293636.1|DVIR	LOC108030294|XP_016958615.1|DBIA, LOC108033676|XP_016963619.1|DBIA, LOC108033509|XP_016963341.1|DBIA
OG0000016	LOC6633127|XP_002056070.1|DVIR	LOC108031488|XP_016960465.1|DBIA
OG0000016	LOC6635889|XP_002059414.1|DVIR, LOC116650918|XP_032291957.1|DVIR	LOC108022510|XP_016946968.1|DBIA
OG0000016	LOC6630423|XP_002053735.1|DVIR	LOC108032049|XP_016961350.1|DBIA
OG0000016	LOC6625554|XP_002049004.2|DVIR	LOC108036535|XP_016968248.1|DBIA
OG0000016	LOC6636049|XP_002059576.1|DVIR	LOC108031387|XP_016960277.1|DBIA
OG0000016	LOC6635861|XP_002059335.1|DVIR	LOC108024269|XP_016949648.1|DBIA
OG0000016	LOC6631018|XP_002054294.1|DVIR	LOC108026160|XP_016952383.1|DBIA
OG0000016	LOC6623693|XP_002048319.1|DVIR	LOC108030823|XP_016959429.1|DBIA
OG0000017	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR	LOC108036878|XP_016968743.1|DBIA
OG0000017	LOC6628970|XP_032293497.1|DVIR, LOC6623565|XP_032291328.1|DVIR, LOC116651590|XP_032294188.1|DVIR	LOC108026055|XP_016952238.1|DBIA
OG0000017	LOC6627049|XP_002050830.3|DVIR	LOC108022955|XP_016947661.1|DBIA
OG0000017	LOC6635871|XP_002059345.1|DVIR	LOC108024069|XP_016949327.1|DBIA
OG0000017	LOC6627836|XP_032294331.1|DVIR	LOC108027769|XP_016954820.1|DBIA, LOC108027730|XP_016954771.1|DBIA
OG0000018	LOC6623414|XP_002046136.1|DVIR	LOC108028400|XP_016955704.1|DBIA
OG0000018	LOC6623369|XP_002046140.1|DVIR	LOC108028081|XP_016955212.1|DBIA
