Orthogroup	DVIR.longest_only	DBUS.longest_only
OG0000000	LOC6636425|XP_032292006.1|DVIR	LOC117134726|XP_033149242.1|DBUS
OG0000000	LOC6623450|XP_002047287.1|DVIR	LOC108598118|XP_017840224.1|DBUS
OG0000000	LOC6627198|XP_032293006.1|DVIR	LOC108601266|XP_017844655.2|DBUS
OG0000000	LOC6626786|XP_002048872.2|DVIR	LOC108594849|XP_017835476.1|DBUS
OG0000000	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR	LOC108604182|XP_017849014.1|DBUS, LOC108601273|XP_017844662.1|DBUS
OG0000000	LOC6630220|XP_002054794.2|DVIR	LOC108594727|XP_017835355.1|DBUS
OG0000001	LOC116650112|XP_032289334.1|DVIR	LOC108603731|XP_033150745.1|DBUS
OG0000002	LOC6625292|XP_002049777.1|DVIR	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS
OG0000002	LOC6627081|XP_002049906.2|DVIR	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC6627080|XP_002049905.2|DVIR	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC6625606|XP_002049101.2|DVIR, LOC26531234|XP_015030301.1|DVIR, LOC26531370|XP_015030317.1|DVIR, LOC26530966|XP_015030266.1|DVIR, LOC26531544|XP_015030345.1|DVIR, LOC116651265|XP_032293187.1|DVIR	LOC108594750|XP_017835378.1|DBUS
OG0000002	LOC26531429|XP_015025398.1|DVIR, LOC116649881|XP_032289027.1|DVIR, LOC6634067|XP_002057869.2|DVIR	LOC108601753|XP_017845169.2|DBUS
OG0000002	LOC6626597|XP_002049033.2|DVIR	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS
OG0000002	LOC6628707|XP_002051325.3|DVIR	LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS
OG0000003	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR	LOC108597513|XP_017838772.1|DBUS
OG0000003	LOC6625082|XP_002050483.2|DVIR	LOC108595075|XP_017835712.2|DBUS
OG0000003	LOC6625465|XP_032292893.1|DVIR	LOC117134628|XP_033150902.1|DBUS
OG0000003	LOC6624735|XP_002049738.1|DVIR	LOC108595008|XP_017835631.1|DBUS
OG0000003	LOC6625464|XP_002049668.1|DVIR	LOC108594852|XP_033148959.1|DBUS
OG0000003	LOC6625463|XP_002049667.1|DVIR	LOC108597142|XP_017839023.1|DBUS
OG0000003	LOC6627946|XP_002051419.1|DVIR	LOC108608148|XP_017854884.1|DBUS
OG0000004	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR, LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR, LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR	LOC117134690|XP_033149085.1|DBUS
OG0000007	LOC6623030|XP_002046517.1|DVIR	LOC108598463|XP_017840596.2|DBUS
