Orthogroup	DVIR.longest_only	SLEB.longest_only
OG0000000	LOC6623450|XP_002047287.1|DVIR	LOC115634489|XP_030388106.1|SLEB
OG0000000	LOC6627198|XP_032293006.1|DVIR, LOC6625157|XP_032292502.1|DVIR	LOC115634408|XP_030387964.1|SLEB
OG0000000	LOC6626786|XP_002048872.2|DVIR	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB
OG0000000	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB, LOC115632651|XP_030385741.1|SLEB
OG0000000	LOC6630220|XP_002054794.2|DVIR	LOC115623741|XP_030374114.1|SLEB
OG0000001	LOC116650073|XP_032289315.1|DVIR, LOC116649967|XP_032289174.1|DVIR	LOC115624586|XP_030375184.1|SLEB, LOC115630185|XP_030382615.1|SLEB, LOC115626197|XP_030377337.1|SLEB
OG0000001	LOC116650083|XP_032289319.1|DVIR	LOC115633656|XP_030386961.1|SLEB
OG0000001	LOC116649975|XP_032289192.1|DVIR, LOC116650014|XP_032289242.1|DVIR, LOC116650813|XP_032291445.1|DVIR, LOC116650693|XP_032291016.1|DVIR, LOC116650639|XP_032290738.1|DVIR, LOC116650317|XP_032289578.1|DVIR, LOC116650237|XP_032289383.1|DVIR, LOC116650018|XP_032289244.1|DVIR, LOC116651796|XP_032294718.1|DVIR, LOC116651620|XP_032294251.1|DVIR, LOC116652104|XP_032295893.1|DVIR, LOC116652102|XP_032295892.1|DVIR, LOC116651616|XP_032294247.1|DVIR, LOC116650104|XP_032289333.1|DVIR, LOC116649993|XP_032289204.1|DVIR, LOC116650569|XP_032290453.1|DVIR, LOC116652064|XP_032295773.1|DVIR, LOC116650307|XP_032289663.1|DVIR	LOC115629498|XP_030381837.1|SLEB, LOC115629967|XP_030382445.1|SLEB, LOC115626877|XP_030378247.1|SLEB, LOC115624479|XP_030375042.1|SLEB, LOC115627092|XP_030378504.1|SLEB, LOC115621673|XP_030371244.1|SLEB, LOC115628198|XP_030380053.1|SLEB
OG0000002	LOC6625606|XP_002049101.2|DVIR, LOC26531234|XP_015030301.1|DVIR, LOC26531370|XP_015030317.1|DVIR, LOC26530966|XP_015030266.1|DVIR, LOC26531544|XP_015030345.1|DVIR, LOC116651265|XP_032293187.1|DVIR	LOC115631932|XP_030384643.1|SLEB
OG0000002	LOC6626597|XP_002049033.2|DVIR	LOC115633967|XP_030387348.1|SLEB
OG0000002	LOC6628707|XP_002051325.3|DVIR	LOC115624495|XP_030375058.1|SLEB
OG0000003	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR	LOC115620029|XP_030368994.1|SLEB
OG0000003	LOC6625082|XP_002050483.2|DVIR	LOC115634502|XP_030388126.1|SLEB
OG0000003	LOC6625465|XP_032292893.1|DVIR	LOC115634507|XP_030388133.1|SLEB
OG0000003	LOC6624735|XP_002049738.1|DVIR	LOC115625548|XP_030376490.1|SLEB, LOC115625503|XP_030376424.1|SLEB
OG0000003	LOC6625463|XP_002049667.1|DVIR	LOC115619981|XP_030368881.1|SLEB
OG0000003	LOC6627946|XP_002051419.1|DVIR	LOC115628616|XP_030380660.1|SLEB
OG0000004	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR, LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR, LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR	LOC115630273|XP_030382667.1|SLEB, LOC115630322|XP_030382721.1|SLEB, LOC115633522|XP_030386841.1|SLEB, LOC115633597|XP_030386900.1|SLEB, LOC115633488|XP_030386812.1|SLEB, LOC115633502|XP_030386824.1|SLEB, LOC115633531|XP_030386849.1|SLEB, LOC115633478|XP_030386800.1|SLEB, LOC115633483|XP_030386806.1|SLEB, LOC115633585|XP_030386889.1|SLEB, LOC115633596|XP_030386899.1|SLEB, LOC115633484|XP_030386807.1|SLEB, LOC115633506|XP_030386827.1|SLEB, LOC115633477|XP_030386799.1|SLEB, LOC115633503|XP_030386825.1|SLEB, LOC115633505|XP_030386826.1|SLEB, LOC115630271|XP_030382665.1|SLEB, LOC115630300|XP_030382698.1|SLEB, LOC115630309|XP_030382707.1|SLEB, LOC115630301|XP_030382699.1|SLEB, LOC115633532|XP_030386850.1|SLEB, LOC115630286|XP_030382682.1|SLEB, LOC115630272|XP_030382666.1|SLEB, LOC115633521|XP_030386840.1|SLEB, LOC115630310|XP_030382708.1|SLEB, LOC115630117|XP_030382589.1|SLEB, LOC115630132|XP_030382600.1|SLEB, LOC115630122|XP_030382594.1|SLEB
OG0000005	LOC6636998|XP_002060428.1|DVIR	LOC115630321|XP_030382720.1|SLEB
OG0000005	LOC26530621|XP_015023595.2|DVIR	LOC115630285|XP_030382681.1|SLEB
OG0000005	LOC116649813|XP_032288842.1|DVIR	LOC115630283|XP_030382679.1|SLEB
OG0000005	LOC116649820|XP_032288853.1|DVIR	LOC115630365|XP_030382758.1|SLEB
OG0000006	LOC6637025|XP_002060454.1|DVIR	LOC115630279|XP_030382674.1|SLEB
OG0000006	LOC6637262|XP_032288828.1|DVIR	LOC115630364|XP_030382757.1|SLEB
OG0000006	LOC6636961|XP_015023643.1|DVIR, LOC6636997|XP_032288831.1|DVIR, LOC6630084|XP_002053094.1|DVIR	LOC115630278|XP_030382673.1|SLEB
OG0000006	LOC116649807|XP_032288833.1|DVIR	LOC115630363|XP_030382756.1|SLEB
OG0000007	LOC6623864|XP_002046827.1|DVIR	LOC115629771|XP_030382185.1|SLEB
OG0000007	LOC6623030|XP_002046517.1|DVIR	LOC115633153|XP_030386422.1|SLEB
OG0000007	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB
OG0000007	LOC116650729|XP_032291101.1|DVIR	LOC115633111|XP_030386356.1|SLEB
OG0000007	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR, LOC6624577|XP_032291102.1|DVIR, LOC6624526|XP_032291100.1|DVIR	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB
OG0000007	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB
OG0000008	LOC6629514|XP_002054585.2|DVIR	LOC115623801|XP_030374203.1|SLEB
OG0000008	LOC6623720|XP_002046325.3|DVIR	LOC115628395|XP_030380343.1|SLEB
OG0000008	LOC6622211|XP_002046327.1|DVIR	LOC115628400|XP_030380349.1|SLEB
OG0000008	LOC6627554|XP_002052288.1|DVIR	LOC115631184|XP_030383735.1|SLEB
OG0000008	LOC26531283|XP_015031719.1|DVIR	LOC115628403|XP_030380351.1|SLEB
OG0000008	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB
OG0000008	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB
OG0000008	LOC6631289|XP_002053528.2|DVIR	LOC115623587|XP_030373847.1|SLEB
OG0000008	LOC6631285|XP_002053524.1|DVIR	LOC115624340|XP_030374852.1|SLEB
OG0000008	LOC6631288|XP_002053527.1|DVIR	LOC115624344|XP_030374855.1|SLEB
OG0000008	LOC6631290|XP_002053529.1|DVIR	LOC115623612|XP_030373889.1|SLEB
OG0000009	LOC6632445|XP_002056511.1|DVIR	LOC115624173|XP_030374629.1|SLEB
OG0000009	LOC6632323|XP_002056506.1|DVIR	LOC115624028|XP_030374465.1|SLEB
OG0000009	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB
OG0000009	LOC6626542|XP_002050752.1|DVIR	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB
OG0000010	LOC6630085|XP_002053095.1|DVIR, LOC116649822|XP_032288857.1|DVIR, LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR	LOC115633544|XP_030386861.1|SLEB
OG0000010	LOC116649829|XP_032288866.1|DVIR, LOC6630837|XP_002053113.1|DVIR, LOC6637215|XP_002060533.1|DVIR, LOC116649823|XP_032288859.1|DVIR, LOC6636962|XP_002060409.1|DVIR	LOC115630140|XP_030382609.1|SLEB
OG0000010	LOC116649824|XP_032288860.1|DVIR	LOC115625114|XP_030375880.1|SLEB
OG0000011	LOC6624097|XP_002046304.2|DVIR, LOC6629279|XP_002054687.1|DVIR	LOC115627265|XP_030378753.1|SLEB
OG0000012	LOC6624922|XP_002050777.1|DVIR	LOC115626791|XP_030378121.1|SLEB
OG0000012	LOC6625019|XP_002050778.1|DVIR	LOC115634820|XP_030388598.1|SLEB
OG0000012	LOC6625021|XP_002050780.1|DVIR	LOC115624523|XP_030375106.1|SLEB
OG0000012	LOC6624921|XP_015029085.1|DVIR	LOC115632632|XP_030385725.1|SLEB
OG0000012	LOC6627005|XP_002050771.1|DVIR	LOC115630730|XP_030383248.1|SLEB
OG0000012	LOC6627004|XP_002050770.1|DVIR	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC6626677|XP_002050872.1|DVIR	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC6633411|XP_015025597.1|DVIR	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC6630204|XP_002053707.1|DVIR	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC6622085|XP_002048525.1|DVIR	LOC115623047|XP_030373085.1|SLEB
OG0000013	LOC6632892|XP_002056192.1|DVIR	LOC115621092|XP_030370486.1|SLEB
OG0000013	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR	LOC115624312|XP_030374797.1|SLEB
OG0000013	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000015	LOC6633997|XP_032293758.1|DVIR	LOC115626216|XP_030377371.1|SLEB
OG0000015	LOC26531562|XP_032293636.1|DVIR	LOC115628471|XP_030380453.1|SLEB
OG0000016	LOC6633127|XP_002056070.1|DVIR	LOC115621740|XP_030371332.1|SLEB
OG0000016	LOC116650918|XP_032291957.1|DVIR	LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC6630423|XP_002053735.1|DVIR	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC6625554|XP_002049004.2|DVIR	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB
OG0000016	LOC6636049|XP_002059576.1|DVIR	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC6635861|XP_002059335.1|DVIR	LOC115634608|XP_030388318.1|SLEB
OG0000016	LOC6631018|XP_002054294.1|DVIR	LOC115621272|XP_030370732.1|SLEB
OG0000016	LOC6623693|XP_002048319.1|DVIR	LOC115634447|XP_030388017.1|SLEB
OG0000017	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB
OG0000017	LOC6627049|XP_002050830.3|DVIR, LOC6630620|XP_032292274.1|DVIR, LOC116650326|XP_032289604.1|DVIR, LOC26531549|XP_032289465.1|DVIR, LOC6633214|XP_002055979.2|DVIR	LOC115630526|XP_030382993.1|SLEB
OG0000017	LOC6635871|XP_002059345.1|DVIR	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB
OG0000017	LOC6627836|XP_032294331.1|DVIR	LOC115620280|XP_030369314.1|SLEB
OG0000018	LOC6623414|XP_002046136.1|DVIR	LOC115633159|XP_030386430.1|SLEB
OG0000018	LOC6623369|XP_002046140.1|DVIR	LOC115633160|XP_030386431.1|SLEB
OG0000018	LOC6623326|XP_002046138.1|DVIR	LOC115633162|XP_030386433.1|SLEB
OG0000018	LOC6623104|XP_002046157.1|DVIR	LOC115632521|XP_030385577.1|SLEB, LOC115632120|XP_030384981.1|SLEB, LOC115632121|XP_030384982.1|SLEB
OG0000019	LOC6630455|XP_032294460.1|DVIR, LOC6630454|XP_032294467.1|DVIR	LOC115630744|XP_030383257.1|SLEB, LOC115630793|XP_030383311.1|SLEB, LOC115624744|XP_030375433.1|SLEB, LOC115621702|XP_030371269.1|SLEB
OG0000019	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR	LOC115621701|XP_030371268.1|SLEB
OG0000019	LOC6630458|XP_002053919.1|DVIR	LOC115621698|XP_030371264.1|SLEB
OG0000019	LOC6630457|XP_002053918.1|DVIR	LOC115621699|XP_030371266.1|SLEB
OG0000019	LOC6630452|XP_002053913.1|DVIR	LOC115621700|XP_030371267.1|SLEB
OG0000020	LOC6634957|XP_002058591.1|DVIR	LOC115620461|XP_030369552.1|SLEB
OG0000020	LOC6635984|XP_002059302.2|DVIR	LOC115634835|XP_030388616.1|SLEB
OG0000020	LOC6628903|XP_002051547.2|DVIR	LOC115625139|XP_030375917.1|SLEB
OG0000020	LOC6632501|XP_032289762.1|DVIR	LOC115623558|XP_030373816.1|SLEB
OG0000020	LOC6632573|XP_015026213.1|DVIR	LOC115623561|XP_030373817.1|SLEB
OG0000020	LOC6628471|XP_002051546.1|DVIR	LOC115625796|XP_030376833.1|SLEB
OG0000021	LOC6624373|XP_002047473.1|DVIR	LOC115634442|XP_030388011.1|SLEB
OG0000021	LOC6627017|XP_002049727.2|DVIR	LOC115627679|XP_030379282.1|SLEB, LOC115629561|XP_030381912.1|SLEB, LOC115622692|XP_030372578.1|SLEB
OG0000021	LOC6627018|XP_002049728.2|DVIR	LOC115632536|XP_030385602.1|SLEB
OG0000021	LOC6627016|XP_002049726.1|DVIR	LOC115624992|XP_030375724.1|SLEB, LOC115624826|XP_030375532.1|SLEB
OG0000021	LOC6627164|XP_002049737.1|DVIR	LOC115624982|XP_030375700.1|SLEB
OG0000021	LOC6625029|XP_002050452.1|DVIR	LOC115619935|XP_030372749.1|SLEB
OG0000021	LOC6627019|XP_002049729.1|DVIR	LOC115621481|XP_030371001.1|SLEB, LOC115620530|XP_030369661.1|SLEB, LOC115620531|XP_030369662.1|SLEB, LOC115621836|XP_030371506.1|SLEB
OG0000021	LOC6636003|XP_002059503.1|DVIR	LOC115629488|XP_030381818.1|SLEB
OG0000021	LOC6629522|XP_002053324.1|DVIR	LOC115625208|XP_030376037.1|SLEB
OG0000021	LOC6629847|XP_002054468.1|DVIR	LOC115620616|XP_030369796.1|SLEB
OG0000021	LOC26531416|XP_015025728.1|DVIR	LOC115629963|XP_030382440.1|SLEB
OG0000022	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR	LOC115634544|XP_030388214.1|SLEB
OG0000022	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB
OG0000022	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR	LOC115624802|XP_030375508.1|SLEB
OG0000023	LOC26530945|XP_015026270.1|DVIR	LOC115623320|XP_030373442.1|SLEB
OG0000023	LOC6632666|XP_032289605.1|DVIR	LOC115623826|XP_030374229.1|SLEB
OG0000023	LOC6632669|XP_002056438.1|DVIR	LOC115623325|XP_030373446.1|SLEB
OG0000023	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR	LOC115623824|XP_030374228.1|SLEB
OG0000023	LOC6632533|XP_002056431.1|DVIR	LOC115623322|XP_030373444.1|SLEB
OG0000023	LOC6632529|XP_002056427.2|DVIR	LOC115623324|XP_030373445.1|SLEB
OG0000023	LOC6632531|XP_002056429.1|DVIR	LOC115623321|XP_030373443.1|SLEB
OG0000023	LOC6632528|XP_032289545.1|DVIR	LOC115623326|XP_030373447.1|SLEB
OG0000024	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB
OG0000024	LOC6634081|XP_002057902.1|DVIR, LOC6625429|XP_002049266.1|DVIR	LOC115626230|XP_030377390.1|SLEB
OG0000024	LOC6625162|XP_002048929.1|DVIR	LOC115633141|XP_030386412.1|SLEB
OG0000024	LOC6628415|XP_002052328.1|DVIR	LOC115632051|XP_030384884.1|SLEB
OG0000025	LOC6635606|XP_002058949.1|DVIR	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB
OG0000025	LOC6637233|XP_002060537.1|DVIR	LOC115630274|XP_030382669.1|SLEB, LOC115630276|XP_030382671.1|SLEB, LOC115633523|XP_030386842.1|SLEB, LOC115633507|XP_030386828.1|SLEB, LOC115633524|XP_030386843.1|SLEB, LOC115630294|XP_030382690.1|SLEB, LOC115633466|XP_030386782.1|SLEB, LOC115633533|XP_030386851.1|SLEB, LOC115630351|XP_030382744.1|SLEB, LOC115630277|XP_030382672.1|SLEB, LOC115630318|XP_030382715.1|SLEB, LOC115633508|XP_030386830.1|SLEB, LOC115630275|XP_030382670.1|SLEB, LOC115630352|XP_030382745.1|SLEB
OG0000026	LOC6631803|XP_002055737.1|DVIR	LOC115627188|XP_030378651.1|SLEB
OG0000026	LOC6628165|XP_002051461.1|DVIR	LOC115626629|XP_030377893.1|SLEB
OG0000027	LOC6629148|XP_002052895.1|DVIR	LOC115632057|XP_030384894.1|SLEB
OG0000027	LOC6627465|XP_002052896.1|DVIR	LOC115631416|XP_030384002.1|SLEB
OG0000028	LOC6622578|XP_032291308.1|DVIR, LOC116650753|XP_032291253.1|DVIR, LOC6622591|XP_032290503.1|DVIR	LOC115634465|XP_030388053.1|SLEB
OG0000029	LOC6624236|XP_002048359.1|DVIR	LOC115634071|XP_030387478.1|SLEB
OG0000030	LOC6627555|XP_002052289.1|DVIR	LOC115631185|XP_030383736.1|SLEB
OG0000030	LOC6628998|XP_002052101.1|DVIR	LOC115630766|XP_030383282.1|SLEB
OG0000030	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB
OG0000030	LOC6633403|XP_002057213.1|DVIR	LOC115627904|XP_030379659.1|SLEB
OG0000030	LOC6632190|XP_002055645.1|DVIR	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB
OG0000031	LOC6634268|XP_002057550.2|DVIR	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB
OG0000031	LOC6629125|XP_002052391.1|DVIR	LOC115631052|XP_030383546.1|SLEB
OG0000032	LOC6629979|XP_002054337.1|DVIR	LOC115621800|XP_030371439.1|SLEB
OG0000032	LOC6629977|XP_002054335.1|DVIR	LOC115621799|XP_030371437.1|SLEB
OG0000033	LOC6635949|XP_002059391.1|DVIR	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB
