0: AAEG.longest_only.faa
1: AALB.longest_only.faa
2: AEAL.longest_only.faa
3: ASTE.longest_only.faa
4: BCOP.longest_only.faa
5: BTRY.longest_only.faa
6: CCAP.longest_only.faa
7: CPIP.longest_only.faa
8: CQUI.longest_only.faa
9: DALB.longest_only.faa
10: DANA.longest_only.faa
11: DBIA.longest_only.faa
12: DBUS.longest_only.faa
13: DELE.longest_only.faa
14: DERE.longest_only.faa
15: DEUG.longest_only.faa
16: DFIC.longest_only.faa
17: DGUA.longest_only.faa
18: DHYD.longest_only.faa
19: DKIK.longest_only.faa
20: DMAU.longest_only.faa
21: DMEL.longest_only.faa
22: DMIR.longest_only.faa
23: DNOV.longest_only.faa
24: DPER.longest_only.faa
25: DPSE.longest_only.faa
26: DSAN.longest_only.faa
27: DSEC.longest_only.faa
28: DSER.longest_only.faa
29: DSIM.longest_only.faa
30: DSUB.longest_only.faa
31: DSUP.longest_only.faa
32: DSUZ.longest_only.faa
33: DVIR.longest_only.faa
34: DYAK.longest_only.faa
35: HILL.longest_only.faa
36: SLEB.longest_only.faa
