Orthogroup	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
OG0022804	LOC5572020|XP_001660125.1|AAEG																																				
OG0022805	LOC110681531|XP_021713248.1|AAEG																																				
OG0022806	LOC110681533|XP_021713251.1|AAEG																																				
OG0022807	LOC110681543|XP_021713277.1|AAEG																																				
OG0022808	LOC110681551|XP_021713294.1|AAEG																																				
OG0022809	LOC110674131|XP_021693561.1|AAEG																																				
OG0022810	LOC110674396|XP_021694346.1|AAEG																																				
OG0022811	LOC110674180|XP_021693853.1|AAEG																																				
OG0022812	LOC110674705|XP_021694430.1|AAEG																																				
OG0022813	LOC110674255|XP_021694211.1|AAEG																																				
OG0022814	LOC110674256|XP_021694214.1|AAEG																																				
OG0022815	LOC110674258|XP_021694217.1|AAEG																																				
OG0022816	LOC110674261|XP_021694221.1|AAEG																																				
OG0022817	LOC110674262|XP_021694222.1|AAEG																																				
OG0022818	LOC110674225|XP_021694088.1|AAEG																																				
OG0022819	LOC110675246|XP_021695390.1|AAEG																																				
OG0022820	LOC110675779|XP_021697233.1|AAEG																																				
OG0022821	LOC110676197|XP_021698820.1|AAEG																																				
OG0022822	LOC110674463|XP_021694363.1|AAEG																																				
OG0022823	LOC110674464|XP_021694364.1|AAEG																																				
OG0022824	LOC110674465|XP_021694367.1|AAEG																																				
OG0022825	LOC110674279|XP_021694246.1|AAEG																																				
OG0022826	LOC5576464|XP_001662656.2|AAEG																																				
OG0022827	LOC110674282|XP_021694250.1|AAEG																																				
OG0022828	LOC110674284|XP_021694253.1|AAEG																																				
OG0022829	LOC110678341|XP_021706776.1|AAEG																																				
OG0022830	LOC110678487|XP_021707134.1|AAEG																																				
OG0022831	LOC110674291|XP_021694264.1|AAEG																																				
OG0022832	LOC110678887|XP_021708163.1|AAEG																																				
OG0022833	LOC110674292|XP_021694265.1|AAEG																																				
OG0022834	LOC110674295|XP_021694268.1|AAEG																																				
OG0022835	LOC110679219|XP_021709055.1|AAEG																																				
OG0022836	LOC110680270|XP_021711787.1|AAEG																																				
OG0022837	LOC5564698|XP_021694285.1|AAEG																																				
