HOG	OG	Gene Tree Parent Clade	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
N27.HOG0000000	OG0000000	n2												LOC108029860|XP_016957839.1|DBIA																									
N27.HOG0000001	OG0000000	n51												LOC108034778|XP_016965225.1|DBIA																				LOC119555218|XP_037722409.1|DSUP	LOC108012249|XP_016933037.1|DSUZ				
N27.HOG0000002	OG0000000	n54												LOC108034464|XP_016964837.1|DBIA																				LOC119555236|XP_037722444.1|DSUP	LOC108012248|XP_016933036.1|DSUZ				
N27.HOG0000003	OG0000000	n95												LOC108024306|XP_016949697.1|DBIA																									
N27.HOG0000004	OG0000000	n101												LOC108029324|XP_016957007.1|DBIA																				LOC119551980|XP_037717623.1|DSUP	LOC108019552|XP_036669814.1|DSUZ				
N27.HOG0000005	OG0000000	n114												LOC108029053|XP_016956604.1|DBIA																				LOC119548573|XP_037711818.1|DSUP	LOC108013696|XP_016935107.1|DSUZ				
N27.HOG0000006	OG0000000	n134												LOC108031338|XP_016960091.1|DBIA																				LOC119560985|XP_037730690.1|DSUP	LOC108013925|XP_016935418.2|DSUZ				
N27.HOG0000007	OG0000000	n171																																	LOC108011771|XP_036670496.1|DSUZ, LOC118877506|XP_036672430.1|DSUZ				
N27.HOG0000008	OG0000000	n179												LOC108029341|XP_016957023.1|DBIA																				LOC119551998|XP_037717650.1|DSUP	LOC108019563|XP_016942889.1|DSUZ				
N27.HOG0000009	OG0000000	n227												LOC108034429|XP_016964803.1|DBIA																				LOC119555358|XP_037722624.1|DSUP	LOC118877230|XP_036670644.1|DSUZ				
N27.HOG0000010	OG0000000	n248												LOC108034424|XP_016964798.1|DBIA																				LOC119555354|XP_037722619.1|DSUP	LOC108007474|XP_036670349.1|DSUZ				
N27.HOG0000011	OG0000000	n276												LOC108034427|XP_016964800.1|DBIA																				LOC119555355|XP_037722621.1|DSUP	LOC108018332|XP_016941362.2|DSUZ				
N27.HOG0000012	OG0000000	n278												LOC108034428|XP_016964801.1|DBIA																				LOC119555357|XP_037722623.1|DSUP	LOC108007476|XP_036670350.1|DSUZ				
N27.HOG0000013	OG0000000	n288												LOC108034426|XP_016964799.1|DBIA																				LOC119552809|XP_037718575.1|DSUP	LOC108007475|XP_016926645.1|DSUZ				
N27.HOG0000014	OG0000000	n304												LOC108022107|XP_016946439.1|DBIA																				LOC119549854|XP_037714077.1|DSUP	LOC108008220|XP_016927499.2|DSUZ				
N27.HOG0000015	OG0000000	n354																																	LOC108021133|XP_036668720.1|DSUZ				
N27.HOG0000016	OG0000000	n368												LOC108025270|XP_016951121.1|DBIA																									
N27.HOG0000017	OG0000000	n373												LOC108024280|XP_016949667.1|DBIA																				LOC119563094|XP_037732252.1|DSUP	LOC108014040|XP_016935546.2|DSUZ				
N27.HOG0000018	OG0000000	n397												LOC108024997|XP_016950742.1|DBIA																				LOC119551506|XP_037716808.1|DSUP	LOC108014081|XP_036675273.1|DSUZ				
N27.HOG0000019	OG0000000	n403																																	LOC118878117|XP_036675454.1|DSUZ				
N27.HOG0000020	OG0000000	n411												LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA																				LOC119562944|XP_037732029.1|DSUP	LOC118878125|XP_036675508.1|DSUZ				
N27.HOG0000021	OG0000000	n422												LOC108024999|XP_016950744.1|DBIA																				LOC119554391|XP_037721205.1|DSUP, LOC119554400|XP_037721217.1|DSUP	LOC108012145|XP_036675462.1|DSUZ				
N27.HOG0000022	OG0000000	n467												LOC108031001|XP_016959690.1|DBIA																				LOC119553046|XP_037719085.1|DSUP	LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ				
N27.HOG0000023	OG0000000	n499												LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA																				LOC119546175|XP_037708225.1|DSUP	LOC108016521|XP_036671132.1|DSUZ				
N27.HOG0000024	OG0000000	n512												LOC108031000|XP_016959689.1|DBIA																									
N27.HOG0000025	OG0000000	n551												LOC108030080|XP_016958186.1|DBIA																				LOC119549570|XP_037713651.1|DSUP	LOC108017700|XP_016940298.1|DSUZ				
