HOG	OG	Gene Tree Parent Clade	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
N18.HOG0000000	OG0000000	n38																							LOC108150869|XP_017134661.1|DMIR														
N18.HOG0000001	OG0000000	n84																							LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR		LOC6592191|XP_002017761.2|DPER	LOC6898781|XP_002138758.2|DPSE											
N18.HOG0000002	OG0000000	n88																							LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR		LOC6603460|XP_002028440.1|DPER	LOC6898696|XP_002138701.1|DPSE											
N18.HOG0000003	OG0000000	n91																							LOC108158411|XP_017146169.2|DMIR		LOC6603459|XP_026842774.1|DPER	LOC6898697|XP_033233391.1|DPSE											
N18.HOG0000004	OG0000000	n106																							LOC117187734|XP_033246410.1|DMIR														
N18.HOG0000005	OG0000000	n114																							LOC108158045|XP_017145679.2|DMIR		LOC6603458|XP_002028438.2|DPER	LOC6898698|XP_015040315.2|DPSE											
N18.HOG0000006	OG0000000	n139																							LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR		LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE											
N18.HOG0000007	OG0000000	n150																							LOC108154666|XP_017140492.1|DMIR			LOC117183375|XP_033233001.1|DPSE											
N18.HOG0000008	OG0000000	n151																							LOC108154647|XP_017140467.1|DMIR			LOC6896910|XP_033232943.1|DPSE											
N18.HOG0000009	OG0000000	n152																									LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER												
N18.HOG0000010	OG0000000	n171																									LOC6598745|XP_026840088.1|DPER	LOC6896908|XP_033233090.1|DPSE											
N18.HOG0000011	OG0000000	n179																									LOC6603462|XP_002028442.1|DPER	LOC6898695|XP_002138700.2|DPSE											
N18.HOG0000012	OG0000000	n227																							LOC117185812|XP_033243800.1|DMIR		LOC6599796|XP_002024966.2|DPER	LOC117184977|XP_033240205.1|DPSE											
N18.HOG0000013	OG0000000	n248																							LOC108165373|XP_017156898.2|DMIR			LOC6900000|XP_002135366.3|DPSE											
N18.HOG0000014	OG0000000	n263																							LOC108151290|XP_017135310.1|DMIR			LOC6899999|XP_033240207.1|DPSE											
N18.HOG0000015	OG0000000	n304																							LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR		LOC6592293|XP_002018412.1|DPER	LOC4804691|XP_001361210.2|DPSE											
N18.HOG0000016	OG0000000	n341																							LOC108153842|XP_033245237.1|DMIR		LOC6594745|XP_002020397.2|DPER	LOC6896672|XP_033232290.1|DPSE											
N18.HOG0000017	OG0000000	n393																										LOC26532949|XP_015039423.1|DPSE											
N18.HOG0000018	OG0000000	n410																									LOC6594746|XP_026843423.1|DPER												
N18.HOG0000019	OG0000000	n411																							LOC108156429|XP_017143371.1|DMIR		LOC6594749|XP_026851250.1|DPER	LOC6896676|XP_033241757.1|DPSE											
N18.HOG0000020	OG0000000	n449																							LOC108154067|XP_033246013.1|DMIR		LOC113567467|XP_026851261.1|DPER												
N18.HOG0000021	OG0000000	n450																							LOC108154066|XP_033246011.1|DMIR		LOC6594748|XP_026851256.1|DPER												
N18.HOG0000022	OG0000000	n451																							LOC117187438|XP_033246010.1|DMIR			LOC13036386|XP_033232979.1|DPSE											
