HOG	OG	Gene Tree Parent Clade	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
N32.HOG0000000	OG0000000	n2																												LOC116801307|XP_032576000.1|DSEC									
N32.HOG0000001	OG0000000	n38																					LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU	CG33700|NP_001027121.3|DMEL						LOC6605054|XP_032575159.1|DSEC		LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM							
N32.HOG0000002	OG0000000	n95																					LOC117145695|XP_033167327.1|DMAU							LOC6612593|XP_002037098.2|DSEC		LOC27208741|XP_016036703.2|DSIM							
N32.HOG0000003	OG0000000	n106																					LOC117138434|XP_033156436.1|DMAU	CG33752|NP_001027409.1|DMEL						LOC116800509|XP_032571804.1|DSEC		LOC6734181|XP_016027194.1|DSIM							
N32.HOG0000004	OG0000000	n114																					LOC117149958|XP_033172750.1|DMAU	CG33679|NP_001027273.1|DMEL						LOC6611330|XP_002035877.1|DSEC		LOC6732391|XP_002079512.1|DSIM							
N32.HOG0000005	OG0000000	n157																					LOC117145817|XP_033167509.1|DMAU	CG33784|NP_001027169.1|DMEL						LOC6606995|XP_002031784.1|DSEC		LOC6728685|XP_002104021.1|DSIM							
N32.HOG0000006	OG0000000	n161																					LOC117145797|XP_033167474.1|DMAU	CG33783|NP_001027168.1|DMEL								LOC6728686|XP_016035358.1|DSIM							
N32.HOG0000007	OG0000000	n179																					LOC117138309|XP_033156204.1|DMAU	CG33775|NP_001027410.1|DMEL						LOC6608865|XP_002033579.1|DSEC		LOC6734183|XP_002081212.2|DSIM							
N32.HOG0000008	OG0000000	n227																					LOC117139148|XP_033157197.1|DMAU	CG33687|NP_001027130.2|DMEL						LOC6605884|XP_032575999.1|DSEC		LOC6738254|XP_039150029.1|DSIM							
N32.HOG0000009	OG0000000	n248																					LOC117139149|XP_033157198.1|DMAU	CG33690|NP_001368948.1|DMEL						LOC6605885|XP_032575997.1|DSEC		LOC6738257|XP_016032137.1|DSIM							
N32.HOG0000010	OG0000000	n273																						CG33688|NP_001027131.1|DMEL						LOC116800964|XP_032573791.1|DSEC		LOC6738255|XP_016032135.1|DSIM							
N32.HOG0000011	OG0000000	n288																					LOC117140540|XP_033159421.1|DMAU	CG33689|NP_001027132.2|DMEL						LOC116801306|XP_032575998.1|DSEC		LOC6738256|XP_002085068.1|DSIM							
N32.HOG0000012	OG0000000	n304																					LOC117138648|XP_033156758.1|DMAU	CG12849|NP_611969.2|DMEL						LOC6618886|XP_002043134.2|DSEC		LOC6736137|XP_002083037.1|DSIM							
N32.HOG0000013	OG0000000	n359																					LOC117144786|XP_033166045.1|DMAU	CG33654|NP_001027165.1|DMEL						LOC6607083|XP_032579519.1|DSEC		LOC6728763|XP_002104098.1|DSIM							
N32.HOG0000014	OG0000000	n364																														LOC6730296|XP_039151807.1|DSIM							
N32.HOG0000015	OG0000000	n368																					LOC117142323|XP_033162125.1|DMAU																
N32.HOG0000016	OG0000000	n380																					LOC117142325|XP_033162128.1|DMAU	CG33920|NP_001027214.1|DMEL						LOC6612938|XP_032579196.1|DSEC		LOC6730295|XP_016037057.1|DSIM							
N32.HOG0000017	OG0000000	n397																												LOC6613111|XP_032569894.1|DSEC		LOC6730724|XP_016023153.2|DSIM							
N32.HOG0000018	OG0000000	n422																					LOC117142327|XP_033162129.1|DMAU	CG33773|NP_001027213.1|DMEL						LOC6612936|XP_002037428.1|DSEC		LOC6730293|XP_039151545.1|DSIM							
N32.HOG0000019	OG0000000	n499																					LOC117136304|XP_033153082.1|DMAU	CG33723|NP_001027235.1|DMEL						LOC6611813|XP_002036335.1|DSEC		LOC6731633|XP_002078773.1|DSIM							
N32.HOG0000020	OG0000000	n512																					LOC117145451|XP_033167010.1|DMAU	CG33658|NP_001027209.1|DMEL						LOC6607813|XP_032578052.1|DSEC		LOC6729478|XP_002104788.3|DSIM							
N32.HOG0000021	OG0000000	n524																					LOC117137412|XP_033154732.1|DMAU	CG33798|NP_001027414.1|DMEL						LOC6608931|XP_002033645.2|DSEC		LOC6734251|XP_039147854.1|DSIM							
N32.HOG0000022	OG0000000	n551																					LOC117138341|XP_033156269.1|DMAU	CG33463|NP_995846.2|DMEL						LOC6609340|XP_032572102.1|DSEC		LOC6734670|XP_039148016.1|DSIM							
N32.HOG0000023	OG0000000	n574																					LOC117140233|XP_033158923.1|DMAU	CG33764|NP_001027107.1|DMEL						LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC		LOC27209298|XP_016030381.1|DSIM							
N32.HOG0000024	OG0000000	n587																					LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU	CG33912|NP_001027139.1|DMEL						LOC6616347|XP_002040707.1|DSEC		LOC6738897|XP_002085692.1|DSIM							
N32.HOG0000025	OG0000000	n592																					LOC117136161|XP_033152774.1|DMAU	CG33632|NP_001036537.1|DMEL						LOC116800542|XP_032571951.1|DSEC		LOC6734178|XP_002081207.1|DSIM							
N32.HOG0000026	OG0000000	n600																					LOC117139178|XP_033157238.1|DMAU																
N32.HOG0000027	OG0000000	n614																					LOC117150663|XP_033173544.1|DMAU	CG33923|NP_001027216.2|DMEL								LOC6730565|XP_016023011.1|DSIM							
N32.HOG0000028	OG0000000	n616																						CG33922|NP_001027217.1|DMEL						LOC116803586|XP_032583371.1|DSEC		LOC6730566|XP_002077745.1|DSIM							
N32.HOG0000029	OG0000000	n619																					LOC117139179|XP_033157239.1|DMAU	CG33777|NP_001027108.1|DMEL						LOC116801073|XP_032574487.1|DSEC		LOC6736799|XP_039149212.1|DSIM							
N32.HOG0000030	OG0000000	n642																					LOC117145744|XP_033167397.1|DMAU							LOC6612926|XP_032578042.1|DSEC		LOC6730283|XP_016037045.1|DSIM							
N32.HOG0000031	OG0000000	n655																					LOC117145225|XP_033166688.1|DMAU	CG33483|NP_001189327.1|DMEL						LOC6612925|XP_002037417.1|DSEC		LOC6730282|XP_002105565.2|DSIM							
N32.HOG0000032	OG0000000	n665																						CG33648|NP_001027265.2|DMEL						LOC6611281|XP_032582965.1|DSEC		LOC6732333|XP_039152942.1|DSIM							
N32.HOG0000033	OG0000000	n698																					LOC117145856|XP_033167567.1|DMAU	CG33721|NP_001036743.1|DMEL						LOC116801718|XP_032578762.1|DSEC		LOC6729069|XP_016035716.1|DSIM							
N32.HOG0000034	OG0000000	n715																					LOC117150929|XP_033173982.1|DMAU	CG33928|NP_001027276.1|DMEL						LOC6614481|XP_002038914.1|DSEC		LOC6732608|XP_002079727.1|DSIM							
