HOG	OG	Gene Tree Parent Clade	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
N30.HOG0000000	OG0000000	n2															LOC26526117|XP_026833226.1|DERE													LOC116801307|XP_032576000.1|DSEC									
N30.HOG0000001	OG0000000	n38															LOC6545981|XP_001972189.2|DERE						LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU	CG33700|NP_001027121.3|DMEL					LOC120450014|XP_039488671.1|DSAN	LOC6605054|XP_032575159.1|DSEC		LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM					LOC6532541|XP_002093287.2|DYAK		
N30.HOG0000002	OG0000000	n95															LOC6555364|XP_026831619.1|DERE						LOC117145695|XP_033167327.1|DMAU						LOC120454272|XP_039495370.1|DSAN	LOC6612593|XP_002037098.2|DSEC		LOC27208741|XP_016036703.2|DSIM					LOC120321802|XP_039231662.1|DYAK		
N30.HOG0000003	OG0000000	n106															LOC6546799|XP_001975893.2|DERE						LOC117138434|XP_033156436.1|DMAU	CG33752|NP_001027409.1|DMEL					LOC120444734|XP_039480595.1|DSAN	LOC116800509|XP_032571804.1|DSEC		LOC6734181|XP_016027194.1|DSIM					LOC26536205|XP_015052957.2|DYAK		
N30.HOG0000004	OG0000000	n114															LOC6541982|XP_001968936.1|DERE						LOC117149958|XP_033172750.1|DMAU	CG33679|NP_001027273.1|DMEL					LOC120458328|XP_039501883.1|DSAN	LOC6611330|XP_002035877.1|DSEC		LOC6732391|XP_002079512.1|DSIM					LOC6529038|XP_002090069.2|DYAK		
N30.HOG0000005	OG0000000	n157																					LOC117145817|XP_033167509.1|DMAU	CG33784|NP_001027169.1|DMEL					LOC120454013|XP_039494937.1|DSAN	LOC6606995|XP_002031784.1|DSEC		LOC6728685|XP_002104021.1|DSIM							
N30.HOG0000006	OG0000000	n161															LOC6552159|XP_001980711.1|DERE						LOC117145797|XP_033167474.1|DMAU	CG33783|NP_001027168.1|DMEL								LOC6728686|XP_016035358.1|DSIM					LOC6536475|XP_002097056.2|DYAK		
N30.HOG0000007	OG0000000	n179																					LOC117138309|XP_033156204.1|DMAU	CG33775|NP_001027410.1|DMEL					LOC120444836|XP_039480727.1|DSAN	LOC6608865|XP_002033579.1|DSEC		LOC6734183|XP_002081212.2|DSIM					LOC6530087|XP_002091033.1|DYAK		
N30.HOG0000008	OG0000000	n227															LOC6544810|XP_026832924.1|DERE						LOC117139148|XP_033157197.1|DMAU	CG33687|NP_001027130.2|DMEL					LOC120447883|XP_039485428.1|DSAN	LOC6605884|XP_032575999.1|DSEC		LOC6738254|XP_039150029.1|DSIM					LOC6535099|XP_039229818.1|DYAK		
N30.HOG0000009	OG0000000	n248															LOC6544813|XP_001973192.2|DERE						LOC117139149|XP_033157198.1|DMAU	CG33690|NP_001368948.1|DMEL					LOC120447886|XP_039485431.1|DSAN	LOC6605885|XP_032575997.1|DSEC		LOC6738257|XP_016032137.1|DSIM					LOC6535097|XP_039229817.1|DYAK		
N30.HOG0000010	OG0000000	n273																						CG33688|NP_001027131.1|DMEL					LOC120447820|XP_039485331.1|DSAN	LOC116800964|XP_032573791.1|DSEC		LOC6738255|XP_016032135.1|DSIM							
N30.HOG0000011	OG0000000	n288															LOC6544812|XP_001973191.2|DERE						LOC117140540|XP_033159421.1|DMAU	CG33689|NP_001027132.2|DMEL					LOC120447882|XP_039485427.1|DSAN	LOC116801306|XP_032575998.1|DSEC		LOC6738256|XP_002085068.1|DSIM					LOC6535098|XP_002095761.2|DYAK		
N30.HOG0000012	OG0000000	n304															LOC6548572|XP_026836220.1|DERE						LOC117138648|XP_033156758.1|DMAU	CG12849|NP_611969.2|DMEL					LOC120444952|XP_039480891.1|DSAN	LOC6618886|XP_002043134.2|DSEC		LOC6736137|XP_002083037.1|DSIM					LOC6532122|XP_002092898.3|DYAK		
N30.HOG0000013	OG0000000	n359															LOC6551988|XP_026839788.1|DERE						LOC117144786|XP_033166045.1|DMAU	CG33654|NP_001027165.1|DMEL					LOC120453403|XP_039494026.1|DSAN	LOC6607083|XP_032579519.1|DSEC		LOC6728763|XP_002104098.1|DSIM							
N30.HOG0000014	OG0000000	n364															LOC6551986|XP_026839789.1|DERE															LOC6730296|XP_039151807.1|DSIM					LOC6536389|XP_002096971.3|DYAK		
N30.HOG0000015	OG0000000	n368															LOC6554922|XP_001981127.2|DERE						LOC117142323|XP_033162125.1|DMAU														LOC26534826|XP_015049134.2|DYAK		
N30.HOG0000016	OG0000000	n380															LOC6554923|XP_001981128.1|DERE						LOC117142325|XP_033162128.1|DMAU	CG33920|NP_001027214.1|DMEL					LOC120453829|XP_039494657.1|DSAN	LOC6612938|XP_032579196.1|DSEC		LOC6730295|XP_016037057.1|DSIM					LOC6538960|XP_002099463.2|DYAK		
N30.HOG0000017	OG0000000	n397															LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE													LOC6613111|XP_032569894.1|DSEC		LOC6730724|XP_016023153.2|DSIM							
N30.HOG0000018	OG0000000	n422															LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE						LOC117142327|XP_033162129.1|DMAU	CG33773|NP_001027213.1|DMEL					LOC120453329|XP_039493924.1|DSAN	LOC6612936|XP_002037428.1|DSEC		LOC6730293|XP_039151545.1|DSIM					LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK		
N30.HOG0000019	OG0000000	n499															LOC6541136|XP_001969303.1|DERE						LOC117136304|XP_033153082.1|DMAU	CG33723|NP_001027235.1|DMEL					LOC120443793|XP_039479056.1|DSAN	LOC6611813|XP_002036335.1|DSEC		LOC6731633|XP_002078773.1|DSIM					LOC6527857|XP_002088929.1|DYAK		
N30.HOG0000020	OG0000000	n512															LOC6554482|XP_001981927.3|DERE						LOC117145451|XP_033167010.1|DMAU	CG33658|NP_001027209.1|DMEL					LOC120454315|XP_039495452.1|DSAN	LOC6607813|XP_032578052.1|DSEC		LOC6729478|XP_002104788.3|DSIM					LOC26536234|XP_015048941.1|DYAK		
N30.HOG0000021	OG0000000	n524															LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE						LOC117137412|XP_033154732.1|DMAU	CG33798|NP_001027414.1|DMEL					LOC120446300|XP_039483141.1|DSAN	LOC6608931|XP_002033645.2|DSEC		LOC6734251|XP_039147854.1|DSIM					LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK		
N30.HOG0000022	OG0000000	n551															LOC6548870|XP_001975456.3|DERE						LOC117138341|XP_033156269.1|DMAU	CG33463|NP_995846.2|DMEL					LOC120444898|XP_039480821.1|DSAN	LOC6609340|XP_032572102.1|DSEC		LOC6734670|XP_039148016.1|DSIM					LOC6531513|XP_002092312.3|DYAK		
N30.HOG0000023	OG0000000	n574															LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE						LOC117140233|XP_033158923.1|DMAU	CG33764|NP_001027107.1|DMEL					LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN	LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC		LOC27209298|XP_016030381.1|DSIM					LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK		
N30.HOG0000024	OG0000000	n587															LOC6542210|XP_026835022.1|DERE						LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU	CG33912|NP_001027139.1|DMEL						LOC6616347|XP_002040707.1|DSEC		LOC6738897|XP_002085692.1|DSIM							
