HOG	OG	Gene Tree Parent Clade	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
N17.HOG0000000	OG0000000	n2																			LOC115483378|XP_030080958.1|DHYD																		
N17.HOG0000001	OG0000000	n26																			LOC111593965|XP_023162824.1|DHYD					LOC115762358|XP_030560387.1|DNOV, LOC115762357|XP_030560386.1|DNOV										LOC6636425|XP_032292006.1|DVIR			
N17.HOG0000002	OG0000000	n38																								LOC115769480|XP_030570157.1|DNOV										LOC6623450|XP_002047287.1|DVIR			
N17.HOG0000003	OG0000000	n74																			LOC111599673|XP_023171145.1|DHYD					LOC115758064|XP_030554438.1|DNOV										LOC6627198|XP_032293006.1|DVIR			
N17.HOG0000004	OG0000000	n180																			LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD					LOC115760506|XP_030557727.1|DNOV										LOC6625157|XP_032292502.1|DVIR			
N17.HOG0000005	OG0000000	n204																								LOC115769481|XP_030570158.1|DNOV													
N17.HOG0000006	OG0000000	n224																			LOC111600475|XP_023172354.2|DHYD					LOC115762880|XP_030561115.1|DNOV													
N17.HOG0000007	OG0000000	n304																			LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD															LOC6626786|XP_002048872.2|DVIR			
N17.HOG0000008	OG0000000	n746																																		LOC26530367|XP_015026243.1|DVIR			
N17.HOG0000009	OG0000000	n758																																		LOC26531872|XP_032295213.1|DVIR			
N17.HOG0000010	OG0000000	n762																			LOC111593961|XP_030080959.1|DHYD, LOC111593959|XP_023162818.2|DHYD					LOC115762364|XP_030560398.1|DNOV													
N17.HOG0000011	OG0000000	n770																								LOC115762366|XP_030560401.1|DNOV, LOC115762368|XP_030560403.1|DNOV										LOC6625560|XP_032292064.1|DVIR, LOC6625461|XP_032292063.1|DVIR			
N17.HOG0000012	OG0000000	n897																								LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV										LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR			
N17.HOG0000013	OG0000000	n901																			LOC115483355|XP_030080829.1|DHYD					LOC115764637|XP_030563666.1|DNOV, LOC115764832|XP_030563940.1|DNOV										LOC6630220|XP_002054794.2|DVIR			
N17.HOG0000014	OG0000000	n933																																		LOC6636429|XP_032291674.1|DVIR			
N17.HOG0000015	OG0000000	n977																			LOC111603644|XP_023177090.2|DHYD					LOC115762365|XP_030560399.1|DNOV													
N17.HOG0000016	OG0000000	n978																								LOC115762361|XP_030560396.1|DNOV													
N17.HOG0000017	OG0000001	n68																																		LOC116650073|XP_032289315.1|DVIR, LOC116649967|XP_032289174.1|DVIR			
N17.HOG0000018	OG0000001	n76																								LOC115763936|XP_030562591.1|DNOV, LOC115763934|XP_030562589.1|DNOV, LOC115763935|XP_030562590.1|DNOV													
N17.HOG0000019	OG0000001	n184																																		LOC116650112|XP_032289334.1|DVIR			
N17.HOG0000020	OG0000001	n408																			LOC111593537|XP_030080394.1|DHYD															LOC116650083|XP_032289319.1|DVIR			
N17.HOG0000021	OG0000001	n717																																		LOC116649975|XP_032289192.1|DVIR, LOC116650014|XP_032289242.1|DVIR, LOC116650813|XP_032291445.1|DVIR, LOC116650693|XP_032291016.1|DVIR, LOC116650639|XP_032290738.1|DVIR, LOC116650317|XP_032289578.1|DVIR, LOC116650237|XP_032289383.1|DVIR, LOC116650018|XP_032289244.1|DVIR, LOC116651796|XP_032294718.1|DVIR, LOC116651620|XP_032294251.1|DVIR, LOC116652104|XP_032295893.1|DVIR, LOC116652102|XP_032295892.1|DVIR, LOC116651616|XP_032294247.1|DVIR, LOC116650104|XP_032289333.1|DVIR, LOC116649993|XP_032289204.1|DVIR, LOC116650569|XP_032290453.1|DVIR, LOC116652064|XP_032295773.1|DVIR			
N17.HOG0000022	OG0000001	n760																								LOC115768652|XP_030569188.1|DNOV										LOC116650307|XP_032289663.1|DVIR			
N17.HOG0000023	OG0000002	n24																			LOC111601236|XP_023173500.2|DHYD					LOC115758620|XP_030555217.1|DNOV										LOC6625292|XP_002049777.1|DVIR			
N17.HOG0000024	OG0000002	n29																			LOC111601234|XP_023173498.1|DHYD																		
N17.HOG0000025	OG0000002	n37																			LOC115483422|XP_030081192.1|DHYD					LOC115759079|XP_030555811.1|DNOV										LOC6627081|XP_002049906.2|DVIR			
N17.HOG0000026	OG0000002	n62																			LOC111597015|XP_023167289.2|DHYD					LOC115762794|XP_030561011.1|DNOV										LOC6627080|XP_002049905.2|DVIR			
N17.HOG0000027	OG0000002	n104																			LOC111593705|XP_023162430.2|DHYD					LOC115766569|XP_030566411.1|DNOV										LOC6625606|XP_002049101.2|DVIR			
