HOG	OG	Gene Tree Parent Clade	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
N19.HOG0000000	OG0000000	n78																		LOC117592188|XP_034141680.1|DGUA													LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB						
N19.HOG0000001	OG0000000	n134																		LOC117583189|XP_034127284.1|DGUA													LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB						
N19.HOG0000002	OG0000000	n171																		LOC117583148|XP_034127229.1|DGUA													LOC117898485|XP_034663813.1|DSUB						
N19.HOG0000003	OG0000000	n179																		LOC117588815|XP_034136215.1|DGUA													LOC117890871|XP_034651851.1|DSUB, LOC117889909|XP_034650326.1|DSUB						
N19.HOG0000004	OG0000000	n227																		LOC117589025|XP_034136545.1|DGUA													LOC117893407|XP_034655897.1|DSUB						
N19.HOG0000005	OG0000000	n248																															LOC117893701|XP_034656280.1|DSUB						
N19.HOG0000006	OG0000000	n263																		LOC117588940|XP_034136409.1|DGUA													LOC117893403|XP_034655894.1|DSUB						
N19.HOG0000007	OG0000000	n304																		LOC117592532|XP_034142283.1|DGUA													LOC117892287|XP_034654298.1|DSUB						
N19.HOG0000008	OG0000000	n341																															LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB						
N19.HOG0000009	OG0000000	n393																															LOC117892705|XP_034655010.1|DSUB						
N19.HOG0000010	OG0000000	n410																															LOC117897477|XP_034662229.1|DSUB						
N19.HOG0000011	OG0000000	n411																		LOC117583198|XP_034127292.1|DGUA													LOC117899325|XP_034665150.1|DSUB						
N19.HOG0000012	OG0000000	n446																															LOC117899310|XP_034665127.1|DSUB						
N19.HOG0000013	OG0000000	n451																		LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA													LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB						
N19.HOG0000014	OG0000000	n460																		LOC117578480|XP_034119907.1|DGUA													LOC117890046|XP_034650557.1|DSUB						
N19.HOG0000015	OG0000000	n463																															LOC117892618|XP_034654860.1|DSUB						
N19.HOG0000016	OG0000000	n464																															LOC117899298|XP_034665106.1|DSUB, LOC117898533|XP_034663894.1|DSUB						
N19.HOG0000017	OG0000000	n467																															LOC117892569|XP_034654782.1|DSUB						
N19.HOG0000018	OG0000000	n493																		LOC117583194|XP_034127289.1|DGUA													LOC117899299|XP_034665108.1|DSUB						
N19.HOG0000019	OG0000000	n667																															LOC117899382|XP_034665255.1|DSUB						
N19.HOG0000020	OG0000000	n671																															LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB						
N19.HOG0000021	OG0000000	n698																		LOC117583318|XP_034127468.1|DGUA													LOC117896020|XP_034659918.1|DSUB						
N19.HOG0000022	OG0000000	n715																		LOC117582218|XP_034125717.1|DGUA													LOC117901385|XP_034668002.1|DSUB						
N19.HOG0000023	OG0000000	n736																		LOC117592522|XP_034142264.1|DGUA													LOC117892680|XP_034654976.1|DSUB						
N19.HOG0000024	OG0000000	n787																		LOC117592662|XP_034142498.1|DGUA																			
N19.HOG0000025	OG0000000	n809																															LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB						
N19.HOG0000026	OG0000000	n821																															LOC117892559|XP_034654769.1|DSUB						
N19.HOG0000027	OG0000000	n875																		LOC117589701|XP_034137755.1|DGUA													LOC117897324|XP_034661985.1|DSUB						
N19.HOG0000028	OG0000000	n911																		LOC117585206|XP_034130474.1|DGUA, LOC117585204|XP_034130472.1|DGUA																			
N19.HOG0000029	OG0000000	n982																		LOC117585432|XP_034130797.1|DGUA													LOC117898800|XP_034664334.1|DSUB, LOC117898812|XP_034664357.1|DSUB						
N19.HOG0000030	OG0000000	n992																		LOC117585250|XP_034130554.1|DGUA													LOC117896263|XP_034660345.1|DSUB						
N19.HOG0000031	OG0000000	n995																		LOC117585205|XP_034130473.1|DGUA													LOC117897179|XP_034661768.1|DSUB						
N19.HOG0000032	OG0000000	n1011																		LOC117585431|XP_034130796.1|DGUA													LOC117898832|XP_034664390.1|DSUB						
