HOG	OG	Gene Tree Parent Clade	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
N7.HOG0000000	OG0000000	n2						LOC120778574|XP_039966372.1|BTRY	CCAP1982_LOCUS12926|CAD7004529.1|CCAP																														
N7.HOG0000001	OG0000000	n16						LOC120770615|XP_039954151.1|BTRY, LOC120770616|XP_039954152.1|BTRY	CCAP1982_LOCUS21492|CAD7013428.1|CCAP																														
N7.HOG0000002	OG0000000	n18						LOC120770614|XP_039954150.1|BTRY, LOC120770613|XP_039954149.1|BTRY	CCAP1982_LOCUS21491|CAD7013427.1|CCAP																														
N7.HOG0000003	OG0000000	n21						LOC120768872|XP_039951561.1|BTRY	CCAP1982_LOCUS22897|CAD7014934.1|CCAP																														
N7.HOG0000004	OG0000000	n26						LOC120769979|XP_039952989.1|BTRY, LOC120772730|XP_039957425.1|BTRY	CCAP1982_LOCUS22474|CAD7014476.1|CCAP																														
N7.HOG0000005	OG0000000	n64						LOC120778381|XP_039966101.1|BTRY	CCAP1982_LOCUS14600|CAD7006277.1|CCAP																														
N7.HOG0000006	OG0000000	n67						LOC120768794|XP_039951483.1|BTRY, LOC120777014|XP_039964052.1|BTRY, LOC120777646|XP_039965032.1|BTRY	CCAP1982_LOCUS14781|CAD7006463.1|CCAP																														
N7.HOG0000007	OG0000000	n70						LOC120777544|XP_039964867.1|BTRY	CCAP1982_LOCUS14780|CAD7006462.1|CCAP																														
N7.HOG0000008	OG0000000	n208						LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP																														
N7.HOG0000009	OG0000000	n214						LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY	CCAP1982_LOCUS14601|CAD7006278.1|CCAP																														
N7.HOG0000010	OG0000000	n221						LOC120769210|XP_039952036.1|BTRY	CCAP1982_LOCUS6846|CAD6998236.1|CCAP																														
N7.HOG0000011	OG0000000	n222						LOC120776945|XP_039963962.1|BTRY	CCAP1982_LOCUS22420|CAD7014424.1|CCAP																														
N7.HOG0000012	OG0000000	n746						LOC120770621|XP_039954156.1|BTRY	CCAP1982_LOCUS21509|CAD7013444.1|CCAP, CCAP1982_LOCUS21510|CAD7013445.1|CCAP																														
N7.HOG0000013	OG0000000	n754						LOC120770804|XP_039954316.1|BTRY	CCAP1982_LOCUS20915|CAD7012815.1|CCAP																														
N7.HOG0000014	OG0000000	n755						LOC120770805|XP_039954317.1|BTRY	CCAP1982_LOCUS20916|CAD7012816.1|CCAP																														
N7.HOG0000015	OG0000000	n756						LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY	CCAP1982_LOCUS11001|CAD7002512.1|CCAP																														
N7.HOG0000016	OG0000000	n1130							CCAP1982_LOCUS5425|CAD6996746.1|CCAP																														
