HOG	OG	Gene Tree Parent Clade	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
N33.HOG0000000	OG0000000	n38																											LOC120450014|XP_039488671.1|DSAN								LOC6532541|XP_002093287.2|DYAK		
N33.HOG0000001	OG0000000	n95																											LOC120454272|XP_039495370.1|DSAN								LOC120321802|XP_039231662.1|DYAK		
N33.HOG0000002	OG0000000	n106																											LOC120444734|XP_039480595.1|DSAN								LOC26536205|XP_015052957.2|DYAK		
N33.HOG0000003	OG0000000	n114																											LOC120458328|XP_039501883.1|DSAN								LOC6529038|XP_002090069.2|DYAK		
N33.HOG0000004	OG0000000	n157																											LOC120454013|XP_039494937.1|DSAN										
N33.HOG0000005	OG0000000	n161																																			LOC6536475|XP_002097056.2|DYAK		
N33.HOG0000006	OG0000000	n179																											LOC120444836|XP_039480727.1|DSAN								LOC6530087|XP_002091033.1|DYAK		
N33.HOG0000007	OG0000000	n227																											LOC120447883|XP_039485428.1|DSAN								LOC6535099|XP_039229818.1|DYAK		
N33.HOG0000008	OG0000000	n248																											LOC120447886|XP_039485431.1|DSAN								LOC6535097|XP_039229817.1|DYAK		
N33.HOG0000009	OG0000000	n273																											LOC120447820|XP_039485331.1|DSAN										
N33.HOG0000010	OG0000000	n288																											LOC120447882|XP_039485427.1|DSAN								LOC6535098|XP_002095761.2|DYAK		
N33.HOG0000011	OG0000000	n304																											LOC120444952|XP_039480891.1|DSAN								LOC6532122|XP_002092898.3|DYAK		
N33.HOG0000012	OG0000000	n359																											LOC120453403|XP_039494026.1|DSAN										
N33.HOG0000013	OG0000000	n364																																			LOC6536389|XP_002096971.3|DYAK		
N33.HOG0000014	OG0000000	n368																																			LOC26534826|XP_015049134.2|DYAK		
N33.HOG0000015	OG0000000	n380																											LOC120453829|XP_039494657.1|DSAN								LOC6538960|XP_002099463.2|DYAK		
N33.HOG0000016	OG0000000	n422																											LOC120453329|XP_039493924.1|DSAN								LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK		
N33.HOG0000017	OG0000000	n499																											LOC120443793|XP_039479056.1|DSAN								LOC6527857|XP_002088929.1|DYAK		
N33.HOG0000018	OG0000000	n512																											LOC120454315|XP_039495452.1|DSAN								LOC26536234|XP_015048941.1|DYAK		
N33.HOG0000019	OG0000000	n524																											LOC120446300|XP_039483141.1|DSAN								LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK		
N33.HOG0000020	OG0000000	n551																											LOC120444898|XP_039480821.1|DSAN								LOC6531513|XP_002092312.3|DYAK		
N33.HOG0000021	OG0000000	n574																											LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN								LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK		
