HOG	OG	Gene Tree Parent Clade	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
N6.HOG0000000	OG0000001	n26			LOC115258813|XP_029715105.1|AEAL					LOC120417099|XP_039435012.1|CPIP	LOC119770310|XP_038120887.1|CQUI																												
N6.HOG0000001	OG0000001	n67									LOC119770743|XP_038122101.1|CQUI																												
N6.HOG0000002	OG0000001	n168								LOC120417801|XP_039435934.1|CPIP	LOC119766275|XP_038106648.1|CQUI																												
N6.HOG0000003	OG0000001	n170								LOC120413964|XP_039430904.1|CPIP	LOC119766040|XP_038106322.1|CQUI, LOC119766283|XP_038106661.1|CQUI, LOC119770479|XP_038121387.1|CQUI																												
N6.HOG0000004	OG0000001	n174								LOC120419883|XP_039438681.1|CPIP, LOC120424000|XP_039443942.1|CPIP	LOC119769226|XP_038117080.1|CQUI																												
N6.HOG0000005	OG0000001	n177								LOC120415385|XP_039432843.1|CPIP	LOC119770798|XP_038122239.1|CQUI, LOC119765595|XP_038105755.1|CQUI, LOC119769119|XP_038116947.1|CQUI																												
N6.HOG0000006	OG0000001	n180			LOC115265134|XP_029725237.1|AEAL, LOC115259347|XP_029715740.1|AEAL, LOC115259595|XP_029716176.1|AEAL																																		
N6.HOG0000007	OG0000001	n184			LOC115268193|XP_029732105.1|AEAL					LOC120413315|XP_039430017.1|CPIP, LOC120423043|XP_039442644.1|CPIP, LOC120430559|XP_039451607.1|CPIP, LOC120426566|XP_039447276.1|CPIP, LOC120426978|XP_039447730.1|CPIP, LOC120431423|XP_039452479.1|CPIP, LOC120425893|XP_039446445.1|CPIP, LOC120426987|XP_039447736.1|CPIP, LOC120431421|XP_039452476.1|CPIP, LOC120432073|XP_039453137.1|CPIP, LOC120431130|XP_039452216.1|CPIP, LOC120412455|XP_039428860.1|CPIP, LOC120425674|XP_039446191.1|CPIP, LOC120430157|XP_039451174.1|CPIP, LOC120416259|XP_039433896.1|CPIP, LOC120427814|XP_039448672.1|CPIP, LOC120416260|XP_039433897.1|CPIP, LOC120416979|XP_039434837.1|CPIP, LOC120413730|XP_039430628.1|CPIP, LOC120421521|XP_039440676.1|CPIP, LOC120412957|XP_039429565.1|CPIP, LOC120417306|XP_039435191.1|CPIP, LOC120416040|XP_039433630.1|CPIP, LOC120431232|XP_039452302.1|CPIP, LOC120421940|XP_039441182.1|CPIP, LOC120427651|XP_039448464.1|CPIP, LOC120431985|XP_039453056.1|CPIP	LOC119766512|XP_038107029.1|CQUI, LOC119766149|XP_038106477.1|CQUI, LOC119769328|XP_038117267.1|CQUI, LOC119769161|XP_038116992.1|CQUI, LOC119766216|XP_038106583.1|CQUI, LOC119769525|XP_038118272.1|CQUI, LOC119769104|XP_038116932.1|CQUI, LOC119766097|XP_038106417.1|CQUI, LOC119769107|XP_038116936.1|CQUI, LOC119766391|XP_038106832.1|CQUI, LOC119766147|XP_038106475.1|CQUI, LOC119766225|XP_038106592.1|CQUI, LOC119770193|XP_038120567.1|CQUI, LOC119769976|XP_038119868.1|CQUI, LOC119766184|XP_038106543.1|CQUI, LOC119766189|XP_038106548.1|CQUI, LOC119766143|XP_038106470.1|CQUI, LOC119769526|XP_038118276.1|CQUI, LOC119769527|XP_038118287.1|CQUI, LOC119769364|XP_038117339.1|CQUI, LOC119769063|XP_038116884.1|CQUI, LOC119770945|XP_038122397.1|CQUI, LOC119769219|XP_038117071.1|CQUI, LOC119766213|XP_038106576.1|CQUI, LOC119769340|XP_038117295.1|CQUI, LOC119768904|XP_038116618.1|CQUI, LOC119769307|XP_038117218.1|CQUI, LOC119766495|XP_038107006.1|CQUI, LOC119767919|XP_038113822.1|CQUI, LOC119769139|XP_038116969.1|CQUI, LOC6051048|XP_038117973.1|CQUI, LOC119765926|XP_038106124.1|CQUI, LOC119769896|XP_038119619.1|CQUI																												
N6.HOG0000008	OG0000001	n268			LOC115266839|XP_029729303.1|AEAL, LOC109406607|XP_019535244.2|AEAL, LOC109400564|XP_019528597.2|AEAL, LOC109404313|XP_029722627.1|AEAL						LOC119769071|XP_038116897.1|CQUI, LOC119766280|XP_038106655.1|CQUI																												
N6.HOG0000009	OG0000001	n298									LOC119766017|XP_038106276.1|CQUI																												
N6.HOG0000010	OG0000001	n344								LOC120414226|XP_039431271.1|CPIP, LOC120428107|XP_039449023.1|CPIP, LOC120428034|XP_039448936.1|CPIP, LOC120426776|XP_039447483.1|CPIP, LOC120419550|XP_039438196.1|CPIP	LOC119769590|XP_038118548.1|CQUI, LOC119766486|XP_038106987.1|CQUI, LOC119766442|XP_038106923.1|CQUI, LOC119769517|XP_038118237.1|CQUI, LOC119769314|XP_038117230.1|CQUI, LOC119769852|XP_038119509.1|CQUI, LOC119769040|XP_038116852.1|CQUI, LOC119769470|XP_038117961.1|CQUI																												
N6.HOG0000011	OG0000001	n384								LOC120423510|XP_039443285.1|CPIP, LOC120418646|XP_039437025.1|CPIP, LOC120418570|XP_039436949.1|CPIP, LOC120429758|XP_039450744.1|CPIP, LOC120423721|XP_039443558.1|CPIP, LOC120415747|XP_039433287.1|CPIP, LOC120424822|XP_039444975.1|CPIP, LOC120422127|XP_039441435.1|CPIP, LOC120424002|XP_039443945.1|CPIP, LOC120431502|XP_039452539.1|CPIP	LOC119769325|XP_038117259.1|CQUI, LOC119766508|XP_038107025.1|CQUI, LOC119769297|XP_038117200.1|CQUI, LOC119770379|XP_038121043.1|CQUI, LOC119766157|XP_038106485.1|CQUI, LOC119769097|XP_038116927.1|CQUI, LOC119766449|XP_038106933.1|CQUI, LOC119767864|XP_038113516.1|CQUI																												
