HOG	OG	Gene Tree Parent Clade	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
N12.HOG0000000	OG0000000	n2																			LOC115483378|XP_030080958.1|DHYD																		
N12.HOG0000001	OG0000000	n26										LOC117568019|XP_034104238.1|DALB, LOC117566662|XP_034102098.1|DALB			LOC117134726|XP_033149242.1|DBUS						LOC111593965|XP_023162824.1|DHYD					LOC115762358|XP_030560387.1|DNOV, LOC115762357|XP_030560386.1|DNOV										LOC6636425|XP_032292006.1|DVIR			
N12.HOG0000002	OG0000000	n38										LOC117572321|XP_034110946.1|DALB			LOC108598118|XP_017840224.1|DBUS											LOC115769480|XP_030570157.1|DNOV										LOC6623450|XP_002047287.1|DVIR			
N12.HOG0000003	OG0000000	n74													LOC108601266|XP_017844655.2|DBUS						LOC111599673|XP_023171145.1|DHYD					LOC115758064|XP_030554438.1|DNOV										LOC6627198|XP_032293006.1|DVIR			
N12.HOG0000004	OG0000000	n132										LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB, LOC117572310|XP_034110931.1|DALB, LOC117572315|XP_034110937.1|DALB, LOC117569868|XP_034107093.1|DALB									LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD					LOC115760506|XP_030557727.1|DNOV, LOC115769481|XP_030570158.1|DNOV										LOC6625157|XP_032292502.1|DVIR			
N12.HOG0000005	OG0000000	n224										LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB									LOC111600475|XP_023172354.2|DHYD					LOC115762880|XP_030561115.1|DNOV													
N12.HOG0000006	OG0000000	n304										LOC117566676|XP_034102114.1|DALB			LOC108594849|XP_017835476.1|DBUS						LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD															LOC6626786|XP_002048872.2|DVIR			
N12.HOG0000007	OG0000000	n331										LOC117567230|XP_034102951.1|DALB																											
N12.HOG0000008	OG0000000	n746																																		LOC26530367|XP_015026243.1|DVIR			
N12.HOG0000009	OG0000000	n750										LOC117564812|XP_034099625.1|DALB			LOC108601225|XP_033150109.1|DBUS																								
N12.HOG0000010	OG0000000	n758										LOC117573357|XP_034112375.1|DALB, LOC117573356|XP_034112374.1|DALB, LOC117566670|XP_034102107.1|DALB																								LOC26531872|XP_032295213.1|DVIR			
N12.HOG0000011	OG0000000	n762																			LOC111593961|XP_030080959.1|DHYD, LOC111593959|XP_023162818.2|DHYD					LOC115762364|XP_030560398.1|DNOV													
N12.HOG0000012	OG0000000	n770										LOC117566669|XP_034102106.1|DALB														LOC115762366|XP_030560401.1|DNOV, LOC115762368|XP_030560403.1|DNOV										LOC6625560|XP_032292064.1|DVIR, LOC6625461|XP_032292063.1|DVIR			
N12.HOG0000013	OG0000000	n776										LOC117576780|XP_034117723.1|DALB			LOC108604182|XP_017849014.1|DBUS																								
N12.HOG0000014	OG0000000	n875													LOC108601273|XP_017844662.1|DBUS																								
N12.HOG0000015	OG0000000	n897																								LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV										LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR			
N12.HOG0000016	OG0000000	n901										LOC117574149|XP_034113717.1|DALB, LOC117574151|XP_034113720.1|DALB, LOC117574150|XP_034113719.1|DALB, LOC117574458|XP_034114187.1|DALB			LOC108594727|XP_017835355.1|DBUS						LOC115483355|XP_030080829.1|DHYD					LOC115764637|XP_030563666.1|DNOV, LOC115764832|XP_030563940.1|DNOV										LOC6630220|XP_002054794.2|DVIR			
N12.HOG0000017	OG0000000	n918										LOC117566658|XP_034102093.1|DALB																											
N12.HOG0000018	OG0000000	n933										LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB																								LOC6636429|XP_032291674.1|DVIR			
N12.HOG0000019	OG0000000	n977																			LOC111603644|XP_023177090.2|DHYD					LOC115762365|XP_030560399.1|DNOV													
