HOG	OG	Gene Tree Parent Clade	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
N26.HOG0000000	OG0000000	n38														LOC108150093|XP_017133546.1|DELE																							
N26.HOG0000001	OG0000000	n78														LOC108148460|XP_017130981.1|DELE			LOC108096481|XP_017053581.1|DFIC																				
N26.HOG0000002	OG0000000	n106														LOC108143366|XP_017123177.1|DELE																							
N26.HOG0000003	OG0000000	n114														LOC108139044|XP_017117150.1|DELE			LOC108101733|XP_017061674.1|DFIC																				
N26.HOG0000004	OG0000000	n134														LOC108135022|XP_017111043.1|DELE			LOC108098759|XP_017057380.1|DFIC																				
N26.HOG0000005	OG0000000	n227														LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE			LOC108089295|XP_017042962.1|DFIC																				
N26.HOG0000006	OG0000000	n273														LOC108145787|XP_017126846.1|DELE			LOC108089296|XP_017042963.1|DFIC																				
N26.HOG0000007	OG0000000	n288														LOC108145637|XP_017126661.1|DELE			LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC																				
N26.HOG0000008	OG0000000	n304														LOC108144294|XP_017124470.1|DELE																							
N26.HOG0000009	OG0000000	n351																	LOC108086783|XP_017039312.1|DFIC																				
N26.HOG0000010	OG0000000	n354														LOC108134556|XP_017110398.1|DELE																							
N26.HOG0000011	OG0000000	n373																	LOC108098802|XP_017057433.1|DFIC																				
N26.HOG0000012	OG0000000	n380														LOC108136678|XP_017113490.1|DELE																							
N26.HOG0000013	OG0000000	n389																	LOC108098764|XP_017057385.1|DFIC																				
N26.HOG0000014	OG0000000	n393														LOC108150089|XP_017133542.1|DELE			LOC108086784|XP_017039313.1|DFIC																				
N26.HOG0000015	OG0000000	n422														LOC108143736|XP_017123759.1|DELE																							
