HOG	OG	Gene Tree Parent Clade	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
N5.HOG0000000	OG0000001	n168				LOC118517068|XP_035918818.1|ASTE																																	
N5.HOG0000001	OG0000001	n170				LOC118515168|XP_035917767.1|ASTE																																	
N5.HOG0000002	OG0000001	n174				LOC118516690|XP_035918528.1|ASTE																																	
N5.HOG0000003	OG0000001	n180				LOC118515210|XP_035917798.1|ASTE																																	
N5.HOG0000004	OG0000001	n268				LOC118502349|XP_035890818.1|ASTE																																	
N5.HOG0000005	OG0000001	n344				LOC118504405|XP_035894731.1|ASTE, LOC118503875|XP_035893512.1|ASTE, LOC118507768|XP_035902679.1|ASTE, LOC118510037|XP_035907317.1|ASTE, LOC118507447|XP_035901824.1|ASTE, LOC118510506|XP_035908305.1|ASTE, LOC118516280|XP_035918010.1|ASTE, LOC118509201|XP_035905364.1|ASTE, LOC118508058|XP_035903402.1|ASTE, LOC118507156|XP_035901093.1|ASTE, LOC118515238|XP_035917815.1|ASTE, LOC118506429|XP_035899473.1|ASTE, LOC118515156|XP_035917754.1|ASTE, LOC118516913|XP_035918643.1|ASTE, LOC118504590|XP_035895140.1|ASTE, LOC118513004|XP_035914158.1|ASTE, LOC118504456|XP_035894844.1|ASTE, LOC118510509|XP_035908311.1|ASTE, LOC118510510|XP_035908312.1|ASTE, LOC118517310|XP_035919189.1|ASTE, LOC118510508|XP_035908310.1|ASTE, LOC118510511|XP_035908314.1|ASTE, LOC118516612|XP_035918479.1|ASTE, LOC118503311|XP_035892328.1|ASTE, LOC118517032|XP_035918786.1|ASTE, LOC118508012|XP_035903290.1|ASTE, LOC118516961|XP_035918682.1|ASTE, LOC118514435|XP_035917228.1|ASTE																																	
N5.HOG0000006	OG0000001	n384				LOC118516686|XP_035918524.1|ASTE																																	
N5.HOG0000007	OG0000001	n526				LOC118502364|XP_035890475.1|ASTE, LOC118515186|XP_035917778.1|ASTE																																	
N5.HOG0000008	OG0000001	n532				LOC118511405|XP_035910349.1|ASTE, LOC118515143|XP_035917737.1|ASTE																																	
N5.HOG0000009	OG0000001	n547				LOC118509627|XP_035906395.1|ASTE, LOC118515249|XP_035917824.1|ASTE, LOC118510038|XP_035907318.1|ASTE, LOC118508944|XP_035904746.1|ASTE, LOC118502469|XP_035890593.1|ASTE, LOC118515247|XP_035917823.1|ASTE, LOC118516760|XP_035918567.1|ASTE, LOC118506181|XP_035898857.1|ASTE, LOC118502451|XP_035890573.1|ASTE, LOC118515270|XP_035917859.1|ASTE, LOC118502373|XP_035890486.1|ASTE, LOC118502425|XP_035890546.1|ASTE, LOC118502463|XP_035890586.1|ASTE, LOC118507140|XP_035901067.1|ASTE, LOC118516844|XP_035918589.1|ASTE, LOC118516914|XP_035918644.1|ASTE																																	
N5.HOG0000010	OG0000001	n562				LOC118511401|XP_035910333.1|ASTE, LOC118508414|XP_035904078.1|ASTE, LOC118513244|XP_035914695.1|ASTE, LOC118507667|XP_035902343.1|ASTE, LOC118507990|XP_035903252.1|ASTE, LOC118513120|XP_035914412.1|ASTE																																	
N5.HOG0000011	OG0000001	n712		LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB																																			
N5.HOG0000012	OG0000001	n716				LOC118508413|XP_035904112.1|ASTE																																	
N5.HOG0000013	OG0000001	n762				LOC118510932|XP_035909246.1|ASTE																																	
N5.HOG0000014	OG0000002	n206		LOC118468694|XP_035795703.1|AALB, LOC118459237|XP_035778328.1|AALB, LOC118458182|XP_035776303.1|AALB, LOC118459508|XP_035778839.1|AALB, LOC118456268|XP_035772761.1|AALB, LOC118457654|XP_035775290.1|AALB, LOC118459238|XP_035778329.1|AALB, LOC118464692|XP_035788106.1|AALB, LOC118456323|XP_035772865.1|AALB, LOC118458617|XP_035777193.1|AALB, LOC118458644|XP_035777227.1|AALB, LOC118461733|XP_035783317.1|AALB		LOC118514602|XP_035917491.1|ASTE, LOC118514191|XP_035916773.1|ASTE, LOC118506037|XP_035898561.1|ASTE, LOC118503868|XP_035893499.1|ASTE																																	
N5.HOG0000015	OG0000002	n222		LOC118458183|XP_035776304.1|AALB																																			
N5.HOG0000016	OG0000002	n290		LOC118456824|XP_035773811.1|AALB, LOC118457023|XP_035774151.1|AALB, LOC118468355|XP_035795007.1|AALB, LOC118468356|XP_035795008.1|AALB, LOC118468357|XP_035795009.1|AALB, LOC118460283|XP_035780363.1|AALB, LOC118460284|XP_035780364.1|AALB, LOC118468351|XP_035795004.1|AALB, LOC118469072|XP_035796446.1|AALB, LOC118468749|XP_035795803.1|AALB, LOC118458922|XP_035777780.1|AALB, LOC118458008|XP_035775997.1|AALB, LOC118468353|XP_035795006.1|AALB, LOC118456235|XP_035772713.1|AALB																																			
N5.HOG0000017	OG0000002	n316		LOC118465266|XP_035789187.1|AALB		LOC118508220|XP_035903701.1|ASTE																																	
N5.HOG0000018	OG0000002	n322		LOC118457044|XP_035774185.1|AALB, LOC118458856|XP_035777671.1|AALB, LOC118456430|XP_035773079.1|AALB, LOC118468507|XP_035795235.1|AALB, LOC118458857|XP_035777672.1|AALB		LOC118508185|XP_035903637.1|ASTE																																	
