HOG	OG	Gene Tree Parent Clade	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
N35.HOG0000000	OG0000000	n48																					LOC117142025|XP_033161779.1|DMAU									LOC27207327|XP_016031215.1|DSIM							
N35.HOG0000001	OG0000000	n49																					LOC117141546|XP_033160941.1|DMAU									LOC6737447|XP_016031216.1|DSIM							
N35.HOG0000002	OG0000000	n95																					LOC117145695|XP_033167327.1|DMAU									LOC27208741|XP_016036703.2|DSIM							
N35.HOG0000003	OG0000000	n106																					LOC117138434|XP_033156436.1|DMAU									LOC6734181|XP_016027194.1|DSIM							
N35.HOG0000004	OG0000000	n114																					LOC117149958|XP_033172750.1|DMAU									LOC6732391|XP_002079512.1|DSIM							
N35.HOG0000005	OG0000000	n157																					LOC117145817|XP_033167509.1|DMAU									LOC6728685|XP_002104021.1|DSIM							
N35.HOG0000006	OG0000000	n161																					LOC117145797|XP_033167474.1|DMAU									LOC6728686|XP_016035358.1|DSIM							
N35.HOG0000007	OG0000000	n179																					LOC117138309|XP_033156204.1|DMAU									LOC6734183|XP_002081212.2|DSIM							
N35.HOG0000008	OG0000000	n227																					LOC117139148|XP_033157197.1|DMAU									LOC6738254|XP_039150029.1|DSIM							
N35.HOG0000009	OG0000000	n248																					LOC117139149|XP_033157198.1|DMAU									LOC6738257|XP_016032137.1|DSIM							
N35.HOG0000010	OG0000000	n273																														LOC6738255|XP_016032135.1|DSIM							
N35.HOG0000011	OG0000000	n288																					LOC117140540|XP_033159421.1|DMAU									LOC6738256|XP_002085068.1|DSIM							
N35.HOG0000012	OG0000000	n304																					LOC117138648|XP_033156758.1|DMAU									LOC6736137|XP_002083037.1|DSIM							
N35.HOG0000013	OG0000000	n359																					LOC117144786|XP_033166045.1|DMAU									LOC6728763|XP_002104098.1|DSIM							
N35.HOG0000014	OG0000000	n364																														LOC6730296|XP_039151807.1|DSIM							
N35.HOG0000015	OG0000000	n368																					LOC117142323|XP_033162125.1|DMAU																
N35.HOG0000016	OG0000000	n380																					LOC117142325|XP_033162128.1|DMAU									LOC6730295|XP_016037057.1|DSIM							
N35.HOG0000017	OG0000000	n397																														LOC6730724|XP_016023153.2|DSIM							
N35.HOG0000018	OG0000000	n422																					LOC117142327|XP_033162129.1|DMAU									LOC6730293|XP_039151545.1|DSIM							
N35.HOG0000019	OG0000000	n499																					LOC117136304|XP_033153082.1|DMAU									LOC6731633|XP_002078773.1|DSIM							
N35.HOG0000020	OG0000000	n512																					LOC117145451|XP_033167010.1|DMAU									LOC6729478|XP_002104788.3|DSIM							
N35.HOG0000021	OG0000000	n524																					LOC117137412|XP_033154732.1|DMAU									LOC6734251|XP_039147854.1|DSIM							
N35.HOG0000022	OG0000000	n551																					LOC117138341|XP_033156269.1|DMAU									LOC6734670|XP_039148016.1|DSIM							
N35.HOG0000023	OG0000000	n574																					LOC117140233|XP_033158923.1|DMAU									LOC27209298|XP_016030381.1|DSIM							
N35.HOG0000024	OG0000000	n587																					LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU									LOC6738897|XP_002085692.1|DSIM							
N35.HOG0000025	OG0000000	n592																					LOC117136161|XP_033152774.1|DMAU									LOC6734178|XP_002081207.1|DSIM							
N35.HOG0000026	OG0000000	n600																					LOC117139178|XP_033157238.1|DMAU																
N35.HOG0000027	OG0000000	n614																					LOC117150663|XP_033173544.1|DMAU									LOC6730565|XP_016023011.1|DSIM							
N35.HOG0000028	OG0000000	n616																														LOC6730566|XP_002077745.1|DSIM							
N35.HOG0000029	OG0000000	n619																					LOC117139179|XP_033157239.1|DMAU									LOC6736799|XP_039149212.1|DSIM							
N35.HOG0000030	OG0000000	n642																					LOC117145744|XP_033167397.1|DMAU									LOC6730283|XP_016037045.1|DSIM							
N35.HOG0000031	OG0000000	n655																					LOC117145225|XP_033166688.1|DMAU									LOC6730282|XP_002105565.2|DSIM							
N35.HOG0000032	OG0000000	n665																														LOC6732333|XP_039152942.1|DSIM							
N35.HOG0000033	OG0000000	n698																					LOC117145856|XP_033167567.1|DMAU									LOC6729069|XP_016035716.1|DSIM							
N35.HOG0000034	OG0000000	n715																					LOC117150929|XP_033173982.1|DMAU									LOC6732608|XP_002079727.1|DSIM							
N35.HOG0000035	OG0000000	n781																					LOC117137329|XP_033154610.1|DMAU, LOC117137328|XP_033154609.1|DMAU									LOC6735227|XP_002082200.1|DSIM							
N35.HOG0000036	OG0000000	n798																														LOC6735228|XP_002082201.1|DSIM							
N35.HOG0000037	OG0000000	n833																					LOC117138016|XP_033155711.1|DMAU									LOC6736069|XP_002082970.1|DSIM							
N35.HOG0000038	OG0000000	n845																														LOC6736068|XP_002082969.1|DSIM							
N35.HOG0000039	OG0000000	n868																														LOC6736070|XP_039148852.1|DSIM							
