HOG	OG	Gene Tree Parent Clade	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
N23.HOG0000000	OG0000000	n2																													LOC110190761|XP_020817050.1|DSER								
N23.HOG0000001	OG0000000	n38																				LOC108078585|XP_017027994.1|DKIK																	
N23.HOG0000002	OG0000000	n78																				LOC108077905|XP_017026932.1|DKIK																	
N23.HOG0000003	OG0000000	n134																				LOC108084016|XP_017035518.1|DKIK									LOC110188492|XP_020813881.1|DSER								
N23.HOG0000004	OG0000000	n171																				LOC108085530|XP_017037652.1|DKIK																	
N23.HOG0000005	OG0000000	n179																				LOC108077933|XP_017026960.1|DKIK									LOC110181445|XP_020804849.1|DSER								
N23.HOG0000006	OG0000000	n227																				LOC108078602|XP_017028011.1|DKIK									LOC110190735|XP_020817016.1|DSER								
N23.HOG0000007	OG0000000	n248																				LOC108078603|XP_017028013.1|DKIK									LOC110190738|XP_020817019.1|DSER								
N23.HOG0000008	OG0000000	n263																													LOC110190736|XP_020817017.1|DSER								
N23.HOG0000009	OG0000000	n304																				LOC108072234|XP_017018785.1|DKIK									LOC110184046|XP_020808080.1|DSER								
N23.HOG0000010	OG0000000	n348																				LOC108085325|XP_017037369.1|DKIK, LOC108085309|XP_017037356.1|DKIK									LOC110186264|XP_020811030.1|DSER								
N23.HOG0000011	OG0000000	n351																				LOC108085307|XP_017037354.1|DKIK									LOC110186911|XP_020811890.1|DSER								
N23.HOG0000012	OG0000000	n354																				LOC108080866|XP_017031258.1|DKIK																	
N23.HOG0000013	OG0000000	n373																													LOC110186265|XP_020811031.1|DSER								
N23.HOG0000014	OG0000000	n389																				LOC108085308|XP_017037355.1|DKIK																	
N23.HOG0000015	OG0000000	n408																				LOC108084391|XP_017036073.1|DKIK									LOC110190695|XP_020816967.1|DSER								
N23.HOG0000016	OG0000000	n409																				LOC108084392|XP_017036074.1|DKIK									LOC110190751|XP_020817032.1|DSER								
N23.HOG0000017	OG0000000	n411																				LOC108085312|XP_017037357.1|DKIK																	
N23.HOG0000018	OG0000000	n428																				LOC108085317|XP_017037360.1|DKIK									LOC110186293|XP_020811066.1|DSER								
N23.HOG0000019	OG0000000	n429																				LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK									LOC110186292|XP_020811065.1|DSER								
N23.HOG0000020	OG0000000	n496																													LOC110184021|XP_020808046.1|DSER								
N23.HOG0000021	OG0000000	n524																				LOC108080870|XP_017031262.1|DKIK																	
