HOG	OG	Gene Tree Parent Clade	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
N31.HOG0000000	OG0000000	n2															LOC26526117|XP_026833226.1|DERE																						
N31.HOG0000001	OG0000000	n38															LOC6545981|XP_001972189.2|DERE												LOC120450014|XP_039488671.1|DSAN								LOC6532541|XP_002093287.2|DYAK		
N31.HOG0000002	OG0000000	n95															LOC6555364|XP_026831619.1|DERE												LOC120454272|XP_039495370.1|DSAN								LOC120321802|XP_039231662.1|DYAK		
N31.HOG0000003	OG0000000	n106															LOC6546799|XP_001975893.2|DERE												LOC120444734|XP_039480595.1|DSAN								LOC26536205|XP_015052957.2|DYAK		
N31.HOG0000004	OG0000000	n114															LOC6541982|XP_001968936.1|DERE												LOC120458328|XP_039501883.1|DSAN								LOC6529038|XP_002090069.2|DYAK		
N31.HOG0000005	OG0000000	n157																											LOC120454013|XP_039494937.1|DSAN										
N31.HOG0000006	OG0000000	n161															LOC6552159|XP_001980711.1|DERE																				LOC6536475|XP_002097056.2|DYAK		
N31.HOG0000007	OG0000000	n179																											LOC120444836|XP_039480727.1|DSAN								LOC6530087|XP_002091033.1|DYAK		
N31.HOG0000008	OG0000000	n227															LOC6544810|XP_026832924.1|DERE												LOC120447883|XP_039485428.1|DSAN								LOC6535099|XP_039229818.1|DYAK		
N31.HOG0000009	OG0000000	n248															LOC6544813|XP_001973192.2|DERE												LOC120447886|XP_039485431.1|DSAN								LOC6535097|XP_039229817.1|DYAK		
N31.HOG0000010	OG0000000	n273																											LOC120447820|XP_039485331.1|DSAN										
N31.HOG0000011	OG0000000	n288															LOC6544812|XP_001973191.2|DERE												LOC120447882|XP_039485427.1|DSAN								LOC6535098|XP_002095761.2|DYAK		
N31.HOG0000012	OG0000000	n304															LOC6548572|XP_026836220.1|DERE												LOC120444952|XP_039480891.1|DSAN								LOC6532122|XP_002092898.3|DYAK		
N31.HOG0000013	OG0000000	n359															LOC6551988|XP_026839788.1|DERE												LOC120453403|XP_039494026.1|DSAN										
N31.HOG0000014	OG0000000	n364															LOC6551986|XP_026839789.1|DERE																				LOC6536389|XP_002096971.3|DYAK		
N31.HOG0000015	OG0000000	n368															LOC6554922|XP_001981127.2|DERE																				LOC26534826|XP_015049134.2|DYAK		
N31.HOG0000016	OG0000000	n380															LOC6554923|XP_001981128.1|DERE												LOC120453829|XP_039494657.1|DSAN								LOC6538960|XP_002099463.2|DYAK		
N31.HOG0000017	OG0000000	n397															LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE																						
N31.HOG0000018	OG0000000	n422															LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE												LOC120453329|XP_039493924.1|DSAN								LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK		
N31.HOG0000019	OG0000000	n499															LOC6541136|XP_001969303.1|DERE												LOC120443793|XP_039479056.1|DSAN								LOC6527857|XP_002088929.1|DYAK		
N31.HOG0000020	OG0000000	n512															LOC6554482|XP_001981927.3|DERE												LOC120454315|XP_039495452.1|DSAN								LOC26536234|XP_015048941.1|DYAK		
N31.HOG0000021	OG0000000	n524															LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE												LOC120446300|XP_039483141.1|DSAN								LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK		
N31.HOG0000022	OG0000000	n551															LOC6548870|XP_001975456.3|DERE												LOC120444898|XP_039480821.1|DSAN								LOC6531513|XP_002092312.3|DYAK		
N31.HOG0000023	OG0000000	n574															LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE												LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN								LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK		
N31.HOG0000024	OG0000000	n587															LOC6542210|XP_026835022.1|DERE																						
N31.HOG0000025	OG0000000	n592																											LOC120458417|XP_039501988.1|DSAN										
N31.HOG0000026	OG0000000	n596															LOC6550545|XP_001977977.2|DERE, LOC6550544|XP_001977976.1|DERE												LOC120455242|XP_039497157.1|DSAN								LOC26534860|XP_015046022.1|DYAK, LOC26535167|XP_015046650.1|DYAK		
N31.HOG0000027	OG0000000	n600																											LOC120443964|XP_039479362.1|DSAN										
N31.HOG0000028	OG0000000	n607															LOC6542275|XP_001968276.1|DERE, LOC6541255|XP_001968278.2|DERE												LOC120458841|XP_039502600.1|DSAN								LOC6526414|XP_002087533.2|DYAK		
N31.HOG0000029	OG0000000	n619															LOC6544187|XP_026833238.1|DERE												LOC120447669|XP_039485129.1|DSAN								LOC6532990|XP_039229806.1|DYAK		
N31.HOG0000030	OG0000000	n642																											LOC120454324|XP_039495461.1|DSAN								LOC26535595|XP_015049129.2|DYAK		
N31.HOG0000031	OG0000000	n655																											LOC120453354|XP_039493961.1|DSAN								LOC6538949|XP_002099452.1|DYAK		
N31.HOG0000032	OG0000000	n698															LOC26526690|XP_015009401.1|DERE												LOC120453013|XP_039493463.1|DSAN								LOC6537714|XP_002098259.2|DYAK		
N31.HOG0000033	OG0000000	n715															LOC6549399|XP_001974447.1|DERE												LOC120444807|XP_039480688.1|DSAN								LOC6529465|XP_002090467.1|DYAK		
N31.HOG0000034	OG0000000	n787																																			LOC6532052|XP_039228287.1|DYAK, LOC6532051|XP_039228285.1|DYAK, LOC6532054|XP_039228543.1|DYAK		
