HOG	OG	Gene Tree Parent Clade	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
N22.HOG0000000	OG0000000	n84																									LOC6592191|XP_002017761.2|DPER	LOC6898781|XP_002138758.2|DPSE											
N22.HOG0000001	OG0000000	n88																									LOC6603460|XP_002028440.1|DPER	LOC6898696|XP_002138701.1|DPSE											
N22.HOG0000002	OG0000000	n91																									LOC6603459|XP_026842774.1|DPER	LOC6898697|XP_033233391.1|DPSE											
N22.HOG0000003	OG0000000	n114																									LOC6603458|XP_002028438.2|DPER	LOC6898698|XP_015040315.2|DPSE											
N22.HOG0000004	OG0000000	n142																									LOC113564914|XP_026840098.1|DPER	LOC117183397|XP_033233111.1|DPSE											
N22.HOG0000005	OG0000000	n144																									LOC6598749|XP_026840097.1|DPER	LOC6896911|XP_033233104.1|DPSE											
N22.HOG0000006	OG0000000	n145																									LOC6598747|XP_026840096.1|DPER	LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE											
N22.HOG0000007	OG0000000	n150																										LOC117183375|XP_033233001.1|DPSE											
N22.HOG0000008	OG0000000	n151																										LOC6896910|XP_033232943.1|DPSE											
N22.HOG0000009	OG0000000	n152																									LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER												
N22.HOG0000010	OG0000000	n171																									LOC6598745|XP_026840088.1|DPER	LOC6896908|XP_033233090.1|DPSE											
N22.HOG0000011	OG0000000	n179																									LOC6603462|XP_002028442.1|DPER	LOC6898695|XP_002138700.2|DPSE											
N22.HOG0000012	OG0000000	n227																									LOC6599796|XP_002024966.2|DPER	LOC117184977|XP_033240205.1|DPSE											
N22.HOG0000013	OG0000000	n248																										LOC6900000|XP_002135366.3|DPSE											
N22.HOG0000014	OG0000000	n263																										LOC6899999|XP_033240207.1|DPSE											
N22.HOG0000015	OG0000000	n304																									LOC6592293|XP_002018412.1|DPER	LOC4804691|XP_001361210.2|DPSE											
N22.HOG0000016	OG0000000	n341																									LOC6594745|XP_002020397.2|DPER	LOC6896672|XP_033232290.1|DPSE											
N22.HOG0000017	OG0000000	n393																										LOC26532949|XP_015039423.1|DPSE											
N22.HOG0000018	OG0000000	n410																									LOC6594746|XP_026843423.1|DPER												
N22.HOG0000019	OG0000000	n411																									LOC6594749|XP_026851250.1|DPER	LOC6896676|XP_033241757.1|DPSE											
N22.HOG0000020	OG0000000	n449																									LOC113567467|XP_026851261.1|DPER												
N22.HOG0000021	OG0000000	n450																									LOC6594748|XP_026851256.1|DPER												
N22.HOG0000022	OG0000000	n451																										LOC13036386|XP_033232979.1|DPSE											
N22.HOG0000023	OG0000000	n460																									LOC6589576|XP_026844127.1|DPER	LOC117183963|XP_033235597.1|DPSE											
N22.HOG0000024	OG0000000	n463																									LOC6591308|XP_026842081.1|DPER												
N22.HOG0000025	OG0000000	n464																									LOC6595216|XP_026851124.1|DPER												
N22.HOG0000026	OG0000000	n483																										LOC6898794|XP_033234286.1|DPSE											
N22.HOG0000027	OG0000000	n484																									LOC6593032|XP_002017709.2|DPER	LOC117183537|XP_033233520.1|DPSE											
N22.HOG0000028	OG0000000	n486																									LOC6593087|XP_026841436.1|DPER	LOC117183751|XP_033234658.1|DPSE											
N22.HOG0000029	OG0000000	n489																									LOC6593031|XP_026841437.1|DPER	LOC6898801|XP_033234867.1|DPSE											
N22.HOG0000030	OG0000000	n639																									LOC113564899|XP_026839990.1|DPER												
N22.HOG0000031	OG0000000	n667																									LOC6595061|XP_026851238.1|DPER	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE											
N22.HOG0000032	OG0000000	n671																									LOC6595060|XP_002020414.2|DPER	LOC6896683|XP_002136898.3|DPSE											
N22.HOG0000033	OG0000000	n698																									LOC6588283|XP_026842223.1|DPER	LOC6897227|XP_002137399.2|DPSE											
N22.HOG0000034	OG0000000	n715																									LOC113565649|XP_026844091.1|DPER	LOC6902907|XP_033236216.1|DPSE											
N22.HOG0000035	OG0000000	n736																									LOC6592855|XP_026840797.1|DPER	LOC6898538|XP_033233460.1|DPSE											
N22.HOG0000036	OG0000000	n810																									LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE											
N22.HOG0000037	OG0000000	n818																										LOC4805597|XP_033233553.1|DPSE											
N22.HOG0000038	OG0000000	n868																									LOC6595014|XP_026839995.1|DPER	LOC6896813|XP_033232366.1|DPSE											
N22.HOG0000039	OG0000000	n875																									LOC6587480|XP_002013644.2|DPER	LOC4801605|XP_001358672.2|DPSE											
N22.HOG0000040	OG0000000	n1000																									LOC113564894|XP_026839940.1|DPER	LOC117183386|XP_033233030.1|DPSE											
N22.HOG0000041	OG0000000	n1004																									LOC113564893|XP_026839937.1|DPER	LOC117183385|XP_033233027.1|DPSE											
N22.HOG0000042	OG0000000	n1005																									LOC113564896|XP_026839945.1|DPER, LOC113564892|XP_026839936.1|DPER, LOC113564891|XP_026839935.1|DPER, LOC6595239|XP_026839947.1|DPER	LOC13036529|XP_033233038.1|DPSE											
N22.HOG0000043	OG0000000	n1015																									LOC6591953|XP_026851182.1|DPER												
N22.HOG0000044	OG0000000	n1016																									LOC6592013|XP_002017508.2|DPER												
N22.HOG0000045	OG0000000	n1022																										LOC6897749|XP_033232309.1|DPSE											
N22.HOG0000046	OG0000000	n1088																									LOC6588090|XP_026840194.1|DPER, LOC113564923|XP_026840189.1|DPER												
N22.HOG0000047	OG0000000	n1091																									LOC113567447|XP_026851145.1|DPER, LOC113564924|XP_026840190.1|DPER	LOC6899372|XP_033233116.1|DPSE											
N22.HOG0000048	OG0000000	n1095																									LOC6587947|XP_026840188.1|DPER	LOC6896993|XP_033241798.1|DPSE											
N22.HOG0000049	OG0000000	n1099																									LOC6588042|XP_002012846.2|DPER	LOC26533415|XP_033234557.1|DPSE											
N22.HOG0000050	OG0000000	n1100																									LOC6592618|XP_002018494.2|DPER	LOC117183599|XP_033233927.1|DPSE											
