HOG	OG	Gene Tree Parent Clade	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
N15.HOG0000000	OG0000000	n38																							LOC108150869|XP_017134661.1|DMIR														
N15.HOG0000001	OG0000000	n78																		LOC117592188|XP_034141680.1|DGUA					LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR		LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE					LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB						
N15.HOG0000002	OG0000000	n106																							LOC117187734|XP_033246410.1|DMIR														
N15.HOG0000003	OG0000000	n114																							LOC108158045|XP_017145679.2|DMIR		LOC6603458|XP_002028438.2|DPER	LOC6898698|XP_015040315.2|DPSE											
N15.HOG0000004	OG0000000	n134																		LOC117583189|XP_034127284.1|DGUA					LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR		LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE					LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB						
N15.HOG0000005	OG0000000	n171																		LOC117583148|XP_034127229.1|DGUA							LOC6598745|XP_026840088.1|DPER	LOC6896908|XP_033233090.1|DPSE					LOC117898485|XP_034663813.1|DSUB						
N15.HOG0000006	OG0000000	n179																		LOC117588815|XP_034136215.1|DGUA							LOC6603462|XP_002028442.1|DPER	LOC6898695|XP_002138700.2|DPSE					LOC117890871|XP_034651851.1|DSUB, LOC117889909|XP_034650326.1|DSUB						
N15.HOG0000007	OG0000000	n227																		LOC117589025|XP_034136545.1|DGUA					LOC117185812|XP_033243800.1|DMIR		LOC6599796|XP_002024966.2|DPER	LOC117184977|XP_033240205.1|DPSE					LOC117893407|XP_034655897.1|DSUB						
N15.HOG0000008	OG0000000	n248																							LOC108165373|XP_017156898.2|DMIR			LOC6900000|XP_002135366.3|DPSE					LOC117893701|XP_034656280.1|DSUB						
N15.HOG0000009	OG0000000	n263																		LOC117588940|XP_034136409.1|DGUA					LOC108151290|XP_017135310.1|DMIR			LOC6899999|XP_033240207.1|DPSE					LOC117893403|XP_034655894.1|DSUB						
