Orthogroup	DMAU.longest_only	DELE.longest_only
OG0000000	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU	LOC108150093|XP_017133546.1|DELE
OG0000000	LOC117145695|XP_033167327.1|DMAU	LOC108148460|XP_017130981.1|DELE
OG0000000	LOC117138434|XP_033156436.1|DMAU	LOC108143366|XP_017123177.1|DELE
OG0000000	LOC117149958|XP_033172750.1|DMAU	LOC108139044|XP_017117150.1|DELE
OG0000000	LOC117145817|XP_033167509.1|DMAU, LOC117145797|XP_033167474.1|DMAU	LOC108135022|XP_017111043.1|DELE
OG0000000	LOC117139148|XP_033157197.1|DMAU	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE
OG0000000	LOC117140540|XP_033159421.1|DMAU	LOC108145637|XP_017126661.1|DELE
OG0000000	LOC117138648|XP_033156758.1|DMAU	LOC108144294|XP_017124470.1|DELE
OG0000000	LOC117144786|XP_033166045.1|DMAU	LOC108134556|XP_017110398.1|DELE
OG0000000	LOC117142325|XP_033162128.1|DMAU	LOC108136678|XP_017113490.1|DELE
OG0000000	LOC117142327|XP_033162129.1|DMAU	LOC108143736|XP_017123759.1|DELE
OG0000000	LOC117136304|XP_033153082.1|DMAU	LOC108141650|XP_017120608.1|DELE
OG0000000	LOC117145451|XP_033167010.1|DMAU	LOC108142885|XP_017122450.1|DELE
OG0000000	LOC117137412|XP_033154732.1|DMAU	LOC108145618|XP_017126643.1|DELE
OG0000000	LOC117138341|XP_033156269.1|DMAU	LOC108141344|XP_017120143.1|DELE
OG0000000	LOC117145856|XP_033167567.1|DMAU	LOC108148604|XP_017131171.1|DELE
OG0000000	LOC117137329|XP_033154610.1|DMAU, LOC117137328|XP_033154609.1|DMAU	LOC108143648|XP_017123649.1|DELE
OG0000000	LOC117138016|XP_033155711.1|DMAU	LOC108144147|XP_017124279.1|DELE
OG0000000	LOC117146038|XP_033167862.1|DMAU	LOC108147230|XP_017129111.1|DELE
OG0000000	LOC117140538|XP_033159418.1|DMAU	LOC108145639|XP_017126664.1|DELE
OG0000002	LOC117138082|XP_033155798.1|DMAU	LOC108144341|XP_017124554.1|DELE
OG0000002	LOC117135907|XP_033152364.1|DMAU	LOC108143685|XP_017123691.1|DELE
OG0000002	LOC117135906|XP_033152363.1|DMAU	LOC108143683|XP_017123690.1|DELE
OG0000002	LOC117140283|XP_033159002.1|DMAU	LOC108147339|XP_017129256.1|DELE, LOC108142258|XP_017121466.1|DELE
OG0000003	LOC117136850|XP_033153839.1|DMAU	LOC108144467|XP_017124860.1|DELE
OG0000003	LOC117137895|XP_033155524.1|DMAU	LOC108144671|XP_017125217.1|DELE
