Orthogroup	DMAU.longest_only	SLEB.longest_only
OG0000000	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU	LOC115634489|XP_030388106.1|SLEB
OG0000000	LOC117145695|XP_033167327.1|DMAU, LOC117138434|XP_033156436.1|DMAU, LOC117149958|XP_033172750.1|DMAU, LOC117145817|XP_033167509.1|DMAU, LOC117145797|XP_033167474.1|DMAU, LOC117138309|XP_033156204.1|DMAU	LOC115634408|XP_030387964.1|SLEB
OG0000000	LOC117139148|XP_033157197.1|DMAU, LOC117139149|XP_033157198.1|DMAU, LOC117140540|XP_033159421.1|DMAU	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB
OG0000000	LOC117138648|XP_033156758.1|DMAU	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB
OG0000000	LOC117144786|XP_033166045.1|DMAU	LOC115625399|XP_030376298.1|SLEB
OG0000000	LOC117137329|XP_033154610.1|DMAU, LOC117137328|XP_033154609.1|DMAU, LOC117138584|XP_033156654.1|DMAU, LOC117138016|XP_033155711.1|DMAU	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB
OG0000000	LOC117146038|XP_033167862.1|DMAU	LOC115632651|XP_030385741.1|SLEB
OG0000001	LOC117149766|XP_033172711.1|DMAU, LOC117136660|XP_033153552.1|DMAU	LOC115629498|XP_030381837.1|SLEB, LOC115629967|XP_030382445.1|SLEB, LOC115626877|XP_030378247.1|SLEB, LOC115624479|XP_030375042.1|SLEB, LOC115627092|XP_030378504.1|SLEB, LOC115621673|XP_030371244.1|SLEB, LOC115628198|XP_030380053.1|SLEB
OG0000002	LOC117136934|XP_033153971.1|DMAU	LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB
OG0000003	LOC117136850|XP_033153839.1|DMAU, LOC117137895|XP_033155524.1|DMAU	LOC115620029|XP_030368994.1|SLEB
OG0000003	LOC117145313|XP_033166799.1|DMAU, LOC117137897|XP_033155527.1|DMAU	LOC115620049|XP_030369030.1|SLEB
OG0000003	LOC117136364|XP_033153130.1|DMAU	LOC115634646|XP_030388364.1|SLEB
OG0000003	LOC117138513|XP_033156538.1|DMAU	LOC115634502|XP_030388126.1|SLEB
OG0000003	LOC117137102|XP_033154279.1|DMAU, LOC117137103|XP_033154280.1|DMAU	LOC115619981|XP_030368881.1|SLEB
OG0000003	LOC117138777|XP_033156858.1|DMAU	LOC115628616|XP_030380660.1|SLEB
OG0000007	LOC117141087|XP_033160294.1|DMAU	LOC115633152|XP_030386421.1|SLEB
OG0000007	LOC117142070|XP_033161841.1|DMAU, LOC117140666|XP_033159604.1|DMAU, LOC117139205|XP_033157267.1|DMAU, LOC117140665|XP_033159603.1|DMAU	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB
OG0000007	LOC117136894|XP_033153899.1|DMAU	LOC115633111|XP_030386356.1|SLEB
OG0000007	LOC117139714|XP_033158125.1|DMAU	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB
OG0000007	LOC117139147|XP_033157196.1|DMAU, LOC117139091|XP_033157106.1|DMAU	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB
OG0000007	LOC117142071|XP_033161842.1|DMAU, LOC117142072|XP_033161843.1|DMAU	LOC115630750|XP_030383265.1|SLEB
OG0000008	LOC117142833|XP_033162955.1|DMAU	LOC115623801|XP_030374203.1|SLEB
OG0000008	LOC117140615|XP_033159521.1|DMAU	LOC115628395|XP_030380343.1|SLEB
OG0000008	LOC117140614|XP_033159520.1|DMAU	LOC115628400|XP_030380349.1|SLEB
OG0000008	LOC117150767|XP_033173694.1|DMAU	LOC115631184|XP_030383735.1|SLEB
OG0000008	LOC117140617|XP_033159524.1|DMAU	LOC115628403|XP_030380351.1|SLEB
OG0000008	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB
OG0000008	LOC117144387|XP_033165412.1|DMAU	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB
OG0000008	LOC117143719|XP_033164408.1|DMAU	LOC115623587|XP_030373847.1|SLEB
OG0000008	LOC117144386|XP_033165411.1|DMAU	LOC115624344|XP_030374855.1|SLEB
OG0000008	LOC117143928|XP_033164736.1|DMAU	LOC115623612|XP_030373889.1|SLEB
OG0000009	LOC117145423|XP_033166959.1|DMAU	LOC115624173|XP_030374629.1|SLEB
OG0000009	LOC117143759|XP_033164466.1|DMAU	LOC115624028|XP_030374465.1|SLEB
OG0000009	LOC117145633|XP_033167244.1|DMAU, LOC117145422|XP_033166958.1|DMAU	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB
OG0000009	LOC117135792|XP_033152175.1|DMAU	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB
OG0000010	LOC117142722|XP_033162774.1|DMAU	LOC115630359|XP_030382753.1|SLEB, LOC115633588|XP_030386892.1|SLEB, LOC115633544|XP_030386861.1|SLEB, LOC115630347|XP_030382740.1|SLEB, LOC115633455|XP_030386770.1|SLEB, LOC115630140|XP_030382609.1|SLEB, LOC115630331|XP_030382729.1|SLEB, LOC115630332|XP_030382730.1|SLEB
OG0000012	LOC117136761|XP_033153688.1|DMAU	LOC115626791|XP_030378121.1|SLEB
OG0000012	LOC117136760|XP_033153687.1|DMAU	LOC115634820|XP_030388598.1|SLEB
OG0000012	LOC117136898|XP_033153902.1|DMAU	LOC115624523|XP_030375106.1|SLEB
OG0000012	LOC117137864|XP_033155471.1|DMAU	LOC115632632|XP_030385725.1|SLEB
OG0000012	LOC117136387|XP_033153170.1|DMAU, LOC117136474|XP_033153296.1|DMAU, LOC117136403|XP_033153190.1|DMAU, LOC117138497|XP_033156518.1|DMAU	LOC115630730|XP_030383248.1|SLEB
OG0000012	LOC117137795|XP_033155358.1|DMAU, LOC117137796|XP_033155359.1|DMAU	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC117136473|XP_033153295.1|DMAU	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC117148236|XP_033171424.1|DMAU	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC117142434|XP_033162286.1|DMAU	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC117141743|XP_033161255.1|DMAU	LOC115623047|XP_030373085.1|SLEB
OG0000013	LOC117143333|XP_033163884.1|DMAU	LOC115621092|XP_030370486.1|SLEB
OG0000013	LOC117142344|XP_033162152.1|DMAU	LOC115624312|XP_030374797.1|SLEB
OG0000013	LOC117145307|XP_033166793.1|DMAU, LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000015	LOC117135278|XP_033151337.1|DMAU	LOC115626216|XP_030377371.1|SLEB
OG0000015	LOC117137056|XP_033154159.1|DMAU	LOC115628471|XP_030380453.1|SLEB
OG0000016	LOC117143253|XP_033163704.1|DMAU	LOC115621740|XP_030371332.1|SLEB
OG0000016	LOC117136077|XP_033152622.1|DMAU	LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC117144517|XP_033165627.1|DMAU	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC117137377|XP_033154680.1|DMAU	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB
