Orthogroup	DMAU.longest_only	ASTE.longest_only
OG0000001	LOC117139036|XP_033157028.1|DMAU, LOC117149992|XP_033172772.1|DMAU, LOC117139516|XP_033157765.1|DMAU, LOC117136528|XP_033153363.1|DMAU, LOC117142606|XP_033162575.1|DMAU, LOC117137930|XP_033155574.1|DMAU	LOC118502349|XP_035890818.1|ASTE
OG0000002	LOC117136934|XP_033153971.1|DMAU	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE, LOC118511460|XP_035910455.1|ASTE, LOC118509013|XP_035904926.1|ASTE, LOC118509867|XP_035906983.1|ASTE
OG0000008	LOC117142833|XP_033162955.1|DMAU	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE
OG0000008	LOC117140615|XP_033159521.1|DMAU	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE
OG0000008	LOC117150767|XP_033173694.1|DMAU	LOC118509007|XP_035904915.1|ASTE
OG0000008	LOC117140617|XP_033159524.1|DMAU	LOC118506772|XP_035900260.1|ASTE
OG0000009	LOC117145423|XP_033166959.1|DMAU, LOC117143759|XP_033164466.1|DMAU, LOC117145633|XP_033167244.1|DMAU, LOC117145422|XP_033166958.1|DMAU, LOC117141397|XP_033160707.1|DMAU, LOC117141398|XP_033160708.1|DMAU, LOC117136735|XP_033153656.1|DMAU, LOC117143616|XP_033164265.1|DMAU, LOC117135792|XP_033152175.1|DMAU, LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE
OG0000010	LOC117142722|XP_033162774.1|DMAU	LOC118503730|XP_035893236.1|ASTE
OG0000012	LOC117136761|XP_033153688.1|DMAU, LOC117136760|XP_033153687.1|DMAU, LOC117136898|XP_033153902.1|DMAU, LOC117137864|XP_033155471.1|DMAU, LOC117137455|XP_033154790.1|DMAU, LOC117136643|XP_033153526.1|DMAU, LOC117136387|XP_033153170.1|DMAU, LOC117136474|XP_033153296.1|DMAU, LOC117136403|XP_033153190.1|DMAU, LOC117138497|XP_033156518.1|DMAU, LOC117137795|XP_033155358.1|DMAU, LOC117137796|XP_033155359.1|DMAU	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE
OG0000013	LOC117136473|XP_033153295.1|DMAU	LOC118507210|XP_035901192.1|ASTE
