Orthogroup	DMAU.longest_only	DANA.longest_only
OG0000000	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU	LOC26513897|XP_014765549.1|DANA
OG0000000	LOC117145695|XP_033167327.1|DMAU	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA
OG0000000	LOC117149958|XP_033172750.1|DMAU	LOC6496234|XP_001960509.1|DANA
OG0000000	LOC117138309|XP_033156204.1|DMAU	LOC6494335|XP_001960511.2|DANA
OG0000000	LOC117140540|XP_033159421.1|DMAU	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA
OG0000000	LOC117142323|XP_033162125.1|DMAU	LOC26515012|XP_032305331.1|DANA
OG0000000	LOC117142327|XP_033162129.1|DMAU	LOC6503296|XP_001967564.2|DANA
OG0000000	LOC117136304|XP_033153082.1|DMAU, LOC117145451|XP_033167010.1|DMAU, LOC117137412|XP_033154732.1|DMAU, LOC117138341|XP_033156269.1|DMAU, LOC117140233|XP_033158923.1|DMAU, LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU, LOC117136161|XP_033152774.1|DMAU, LOC117139178|XP_033157238.1|DMAU	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA
OG0000000	LOC117145744|XP_033167397.1|DMAU	LOC26514259|XP_032305722.1|DANA
OG0000000	LOC117145856|XP_033167567.1|DMAU	LOC6500855|XP_032305607.1|DANA
OG0000000	LOC117150929|XP_033173982.1|DMAU	LOC6497917|XP_001961708.2|DANA
OG0000000	LOC117138016|XP_033155711.1|DMAU	LOC6494112|XP_001960945.2|DANA
OG0000000	LOC117146038|XP_033167862.1|DMAU	LOC6499064|XP_032305682.1|DANA
OG0000000	LOC117145160|XP_033166598.1|DMAU	LOC6498897|XP_032305704.1|DANA
OG0000002	LOC117138082|XP_033155798.1|DMAU	LOC6494276|XP_032306810.1|DANA
OG0000002	LOC117135907|XP_033152364.1|DMAU	LOC6496130|XP_001960293.1|DANA
OG0000002	LOC117135906|XP_033152363.1|DMAU	LOC6502577|XP_001960292.2|DANA
OG0000002	LOC117136987|XP_033154052.1|DMAU	LOC6494605|XP_001960022.3|DANA
OG0000003	LOC117136850|XP_033153839.1|DMAU	LOC6495486|XP_001958950.1|DANA
OG0000003	LOC117137895|XP_033155524.1|DMAU	LOC6495485|XP_001958948.1|DANA
OG0000003	LOC117145313|XP_033166799.1|DMAU, LOC117137897|XP_033155527.1|DMAU	LOC6495484|XP_001958947.1|DANA
OG0000003	LOC117136364|XP_033153130.1|DMAU	LOC6496624|XP_001961285.3|DANA
OG0000003	LOC117136849|XP_033153838.1|DMAU	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA
OG0000003	LOC117138513|XP_033156538.1|DMAU	LOC6495153|XP_001958951.2|DANA
OG0000003	LOC117137674|XP_033155124.1|DMAU	LOC6495154|XP_001958949.2|DANA
OG0000003	LOC117136851|XP_033153841.1|DMAU	LOC6495150|XP_014763173.1|DANA
OG0000003	LOC117137104|XP_033154281.1|DMAU	LOC6495217|XP_001958825.1|DANA
OG0000003	LOC117137102|XP_033154279.1|DMAU	LOC6495430|XP_001958829.1|DANA
OG0000003	LOC117137103|XP_033154280.1|DMAU	LOC6495216|XP_001958826.1|DANA
OG0000007	LOC117141087|XP_033160294.1|DMAU	LOC6506540|XP_001957688.2|DANA
OG0000007	LOC117140666|XP_033159604.1|DMAU	LOC6493531|XP_001957951.1|DANA
OG0000007	LOC117150742|XP_033173667.1|DMAU	LOC6504215|XP_001965139.1|DANA
OG0000007	LOC117136894|XP_033153899.1|DMAU	LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA
OG0000007	LOC117143365|XP_033163930.1|DMAU, LOC117143364|XP_033163929.1|DMAU	LOC6505974|XP_001964709.1|DANA, LOC6505555|XP_001964708.1|DANA, LOC6505976|XP_032305603.1|DANA, LOC6505975|XP_001964710.1|DANA, LOC116654519|XP_032305561.1|DANA
OG0000007	LOC117139714|XP_033158125.1|DMAU	LOC6504214|XP_001965140.1|DANA
OG0000007	LOC117139147|XP_033157196.1|DMAU	LOC6507027|XP_001956797.1|DANA
OG0000007	LOC117139091|XP_033157106.1|DMAU	LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA
OG0000007	LOC117142071|XP_033161842.1|DMAU	LOC6493536|XP_001957956.2|DANA
OG0000007	LOC117142072|XP_033161843.1|DMAU	LOC6506391|XP_001957958.1|DANA
OG0000008	LOC117142833|XP_033162955.1|DMAU	LOC6501231|XP_001954812.1|DANA
OG0000008	LOC117140615|XP_033159521.1|DMAU	LOC6506513|XP_001957739.1|DANA
OG0000008	LOC117140614|XP_033159520.1|DMAU	LOC6493433|XP_001957742.1|DANA
OG0000008	LOC117150767|XP_033173694.1|DMAU	LOC6504295|XP_001965067.1|DANA
OG0000008	LOC117140617|XP_033159524.1|DMAU	LOC6506512|XP_001957740.2|DANA
OG0000008	LOC117147420|XP_033170189.1|DMAU	LOC6503895|XP_001963800.1|DANA
OG0000008	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU	LOC6499974|XP_001953515.1|DANA
OG0000008	LOC117144387|XP_033165412.1|DMAU	LOC6499973|XP_001953518.1|DANA
OG0000008	LOC117143719|XP_033164408.1|DMAU	LOC6500585|XP_001953520.1|DANA
OG0000008	LOC117144386|XP_033165411.1|DMAU	LOC6500584|XP_001953519.1|DANA
OG0000008	LOC117143928|XP_033164736.1|DMAU	LOC6499972|XP_001953521.2|DANA
OG0000009	LOC117145423|XP_033166959.1|DMAU	LOC6500401|XP_001953140.1|DANA
OG0000009	LOC117143759|XP_033164466.1|DMAU	LOC6500399|XP_001953138.1|DANA
OG0000009	LOC117145633|XP_033167244.1|DMAU	LOC6500144|XP_001953137.1|DANA
OG0000009	LOC117145422|XP_033166958.1|DMAU	LOC6500400|XP_001953139.2|DANA
OG0000009	LOC117141397|XP_033160707.1|DMAU, LOC117141398|XP_033160708.1|DMAU	LOC6506633|XP_001957500.1|DANA
OG0000009	LOC117136735|XP_033153656.1|DMAU	LOC6494113|XP_001960938.1|DANA
OG0000009	LOC117143616|XP_033164265.1|DMAU	LOC6500524|XP_001953390.1|DANA
OG0000009	LOC117135792|XP_033152175.1|DMAU	LOC6494922|XP_001959416.1|DANA
OG0000009	LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU	LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA
OG0000010	LOC117142722|XP_033162774.1|DMAU	LOC6500231|XP_001952977.1|DANA, LOC6502876|XP_001967786.1|DANA, LOC116656007|XP_032310968.1|DANA
OG0000011	LOC117148149|XP_033171274.1|DMAU, LOC117148158|XP_033171286.1|DMAU, LOC117138313|XP_033156221.1|DMAU	LOC6503983|XP_014760411.1|DANA
OG0000011	LOC117140362|XP_033159107.1|DMAU	LOC6502747|XP_014760371.2|DANA
OG0000011	LOC117141063|XP_033160242.1|DMAU	LOC6506691|XP_001957410.1|DANA
OG0000011	LOC117141062|XP_033160241.1|DMAU	LOC6502839|XP_001957409.2|DANA
OG0000011	LOC117143493|XP_033164098.1|DMAU	LOC6499942|XP_001953585.2|DANA
OG0000012	LOC117136761|XP_033153688.1|DMAU	LOC6495461|XP_014763319.1|DANA
OG0000012	LOC117136760|XP_033153687.1|DMAU	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA
OG0000012	LOC117136898|XP_033153902.1|DMAU	LOC6495181|XP_001958900.1|DANA
OG0000012	LOC117137864|XP_033155471.1|DMAU	LOC6495184|XP_001958896.1|DANA
