Orthogroup	DMAU.longest_only	AALB.longest_only
OG0000001	LOC117149766|XP_033172711.1|DMAU, LOC117136660|XP_033153552.1|DMAU	LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB
OG0000002	LOC117140283|XP_033159002.1|DMAU	LOC118458183|XP_035776304.1|AALB
OG0000002	LOC117136934|XP_033153971.1|DMAU	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB
OG0000008	LOC117142833|XP_033162955.1|DMAU	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC117140615|XP_033159521.1|DMAU	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB
OG0000008	LOC117140614|XP_033159520.1|DMAU	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC117150767|XP_033173694.1|DMAU	LOC118459424|XP_035778662.1|AALB
OG0000008	LOC117140617|XP_033159524.1|DMAU	LOC118460626|XP_035780968.1|AALB
OG0000009	LOC117145423|XP_033166959.1|DMAU, LOC117143759|XP_033164466.1|DMAU, LOC117145633|XP_033167244.1|DMAU, LOC117145422|XP_033166958.1|DMAU, LOC117141397|XP_033160707.1|DMAU, LOC117141398|XP_033160708.1|DMAU, LOC117136735|XP_033153656.1|DMAU, LOC117143616|XP_033164265.1|DMAU, LOC117135792|XP_033152175.1|DMAU, LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	LOC117142722|XP_033162774.1|DMAU	LOC118464058|XP_035786998.1|AALB, LOC118465369|XP_035789457.1|AALB, LOC118465138|XP_035788969.1|AALB, LOC118465131|XP_035788963.1|AALB, LOC118464057|XP_035786996.1|AALB, LOC118464063|XP_035787003.1|AALB, LOC118465132|XP_035788964.1|AALB, LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB, LOC118467569|XP_035794089.1|AALB, LOC118464062|XP_035787002.1|AALB, LOC118467568|XP_035794088.1|AALB, LOC118465135|XP_035788966.1|AALB
