Orthogroup	DMAU.longest_only	DSAN.longest_only
OG0000000	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU	LOC120450014|XP_039488671.1|DSAN
OG0000000	LOC117145695|XP_033167327.1|DMAU	LOC120454272|XP_039495370.1|DSAN
OG0000000	LOC117138434|XP_033156436.1|DMAU	LOC120444734|XP_039480595.1|DSAN
OG0000000	LOC117149958|XP_033172750.1|DMAU	LOC120458328|XP_039501883.1|DSAN
OG0000000	LOC117145817|XP_033167509.1|DMAU	LOC120454013|XP_039494937.1|DSAN
OG0000000	LOC117138309|XP_033156204.1|DMAU	LOC120444836|XP_039480727.1|DSAN
OG0000000	LOC117139148|XP_033157197.1|DMAU	LOC120447883|XP_039485428.1|DSAN
OG0000000	LOC117139149|XP_033157198.1|DMAU	LOC120447886|XP_039485431.1|DSAN
OG0000000	LOC117140540|XP_033159421.1|DMAU	LOC120447882|XP_039485427.1|DSAN
OG0000000	LOC117138648|XP_033156758.1|DMAU	LOC120444952|XP_039480891.1|DSAN
OG0000000	LOC117144786|XP_033166045.1|DMAU	LOC120453403|XP_039494026.1|DSAN
OG0000000	LOC117142325|XP_033162128.1|DMAU	LOC120453829|XP_039494657.1|DSAN
OG0000000	LOC117142327|XP_033162129.1|DMAU	LOC120453329|XP_039493924.1|DSAN
OG0000000	LOC117136304|XP_033153082.1|DMAU	LOC120443793|XP_039479056.1|DSAN
OG0000000	LOC117145451|XP_033167010.1|DMAU	LOC120454315|XP_039495452.1|DSAN
OG0000000	LOC117137412|XP_033154732.1|DMAU	LOC120446300|XP_039483141.1|DSAN
OG0000000	LOC117138341|XP_033156269.1|DMAU	LOC120444898|XP_039480821.1|DSAN
OG0000000	LOC117140233|XP_033158923.1|DMAU	LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN
OG0000000	LOC117136161|XP_033152774.1|DMAU	LOC120458417|XP_039501988.1|DSAN
OG0000000	LOC117139178|XP_033157238.1|DMAU	LOC120443964|XP_039479362.1|DSAN
OG0000000	LOC117150663|XP_033173544.1|DMAU	LOC120458841|XP_039502600.1|DSAN
OG0000000	LOC117139179|XP_033157239.1|DMAU	LOC120447669|XP_039485129.1|DSAN
OG0000000	LOC117145744|XP_033167397.1|DMAU	LOC120454324|XP_039495461.1|DSAN
OG0000000	LOC117145225|XP_033166688.1|DMAU	LOC120453354|XP_039493961.1|DSAN
