Orthogroup	DMAU.longest_only	DBIA.longest_only
OG0000000	LOC117141546|XP_033160941.1|DMAU	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA
OG0000000	LOC117145695|XP_033167327.1|DMAU	LOC108024306|XP_016949697.1|DBIA
OG0000000	LOC117149958|XP_033172750.1|DMAU	LOC108029053|XP_016956604.1|DBIA
OG0000000	LOC117145797|XP_033167474.1|DMAU	LOC108031338|XP_016960091.1|DBIA
OG0000000	LOC117138309|XP_033156204.1|DMAU	LOC108029341|XP_016957023.1|DBIA
OG0000000	LOC117139148|XP_033157197.1|DMAU	LOC108034429|XP_016964803.1|DBIA
OG0000000	LOC117139149|XP_033157198.1|DMAU	LOC108034424|XP_016964798.1|DBIA
OG0000000	LOC117140540|XP_033159421.1|DMAU	LOC108034426|XP_016964799.1|DBIA
OG0000000	LOC117138648|XP_033156758.1|DMAU	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC117142323|XP_033162125.1|DMAU	LOC108025270|XP_016951121.1|DBIA
OG0000000	LOC117142327|XP_033162129.1|DMAU	LOC108024999|XP_016950744.1|DBIA
OG0000000	LOC117136304|XP_033153082.1|DMAU	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA
OG0000000	LOC117145451|XP_033167010.1|DMAU	LOC108031000|XP_016959689.1|DBIA
OG0000000	LOC117138341|XP_033156269.1|DMAU	LOC108030080|XP_016958186.1|DBIA
OG0000000	LOC117150663|XP_033173544.1|DMAU	LOC108033578|XP_016963412.1|DBIA
OG0000000	LOC117145744|XP_033167397.1|DMAU	LOC108025165|XP_016950931.1|DBIA
OG0000000	LOC117145225|XP_033166688.1|DMAU	LOC108025419|XP_016951390.1|DBIA
OG0000000	LOC117150929|XP_033173982.1|DMAU	LOC108033274|XP_016963030.1|DBIA
OG0000000	LOC117138016|XP_033155711.1|DMAU	LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA
OG0000000	LOC117146038|XP_033167862.1|DMAU	LOC108024473|XP_016949882.1|DBIA
OG0000000	LOC117145160|XP_033166598.1|DMAU	LOC108032904|XP_016962446.1|DBIA
OG0000000	LOC117140539|XP_033159419.1|DMAU	LOC108034432|XP_016964806.1|DBIA
OG0000001	LOC117141920|XP_033161540.1|DMAU	LOC108027240|XP_016954071.1|DBIA
OG0000002	LOC117138082|XP_033155798.1|DMAU	LOC108036386|XP_016967980.1|DBIA
OG0000002	LOC117135907|XP_033152364.1|DMAU	LOC108022558|XP_016947041.1|DBIA
