Orthogroup	DMAU.longest_only	DMEL.longest_only
OG0000000	LOC117141546|XP_033160941.1|DMAU	CG33700|NP_001027121.3|DMEL
OG0000000	LOC117138434|XP_033156436.1|DMAU	CG33752|NP_001027409.1|DMEL
OG0000000	LOC117149958|XP_033172750.1|DMAU	CG33679|NP_001027273.1|DMEL
OG0000000	LOC117145817|XP_033167509.1|DMAU	CG33784|NP_001027169.1|DMEL
OG0000000	LOC117145797|XP_033167474.1|DMAU	CG33783|NP_001027168.1|DMEL
OG0000000	LOC117138309|XP_033156204.1|DMAU	CG33775|NP_001027410.1|DMEL
OG0000000	LOC117139148|XP_033157197.1|DMAU	CG33687|NP_001027130.2|DMEL
OG0000000	LOC117139149|XP_033157198.1|DMAU	CG33690|NP_001368948.1|DMEL
OG0000000	LOC117140540|XP_033159421.1|DMAU	CG33689|NP_001027132.2|DMEL
OG0000000	LOC117138648|XP_033156758.1|DMAU	CG12849|NP_611969.2|DMEL
OG0000000	LOC117144786|XP_033166045.1|DMAU	CG33654|NP_001027165.1|DMEL
OG0000000	LOC117142325|XP_033162128.1|DMAU	CG33920|NP_001027214.1|DMEL
OG0000000	LOC117142327|XP_033162129.1|DMAU	CG33773|NP_001027213.1|DMEL
OG0000000	LOC117136304|XP_033153082.1|DMAU	CG33723|NP_001027235.1|DMEL
OG0000000	LOC117145451|XP_033167010.1|DMAU	CG33658|NP_001027209.1|DMEL
OG0000000	LOC117137412|XP_033154732.1|DMAU	CG33798|NP_001027414.1|DMEL
OG0000000	LOC117138341|XP_033156269.1|DMAU	CG33463|NP_995846.2|DMEL
OG0000000	LOC117140233|XP_033158923.1|DMAU	CG33764|NP_001027107.1|DMEL
OG0000000	LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU	CG33912|NP_001027139.1|DMEL
OG0000000	LOC117136161|XP_033152774.1|DMAU	CG33632|NP_001036537.1|DMEL
OG0000000	LOC117150663|XP_033173544.1|DMAU	CG33923|NP_001027216.2|DMEL
OG0000000	LOC117139179|XP_033157239.1|DMAU	CG33777|NP_001027108.1|DMEL
OG0000000	LOC117145225|XP_033166688.1|DMAU	CG33483|NP_001189327.1|DMEL
OG0000000	LOC117145856|XP_033167567.1|DMAU	CG33721|NP_001036743.1|DMEL
OG0000000	LOC117150929|XP_033173982.1|DMAU	CG33928|NP_001027276.1|DMEL
OG0000000	LOC117137329|XP_033154610.1|DMAU, LOC117137328|XP_033154609.1|DMAU	CG33454|NP_995887.1|DMEL
OG0000000	LOC117138584|XP_033156654.1|DMAU	CG33453|NP_995888.1|DMEL
OG0000000	LOC117138016|XP_033155711.1|DMAU	CG13590|NP_611919.1|DMEL
OG0000000	LOC117146038|XP_033167862.1|DMAU	CG14518|NP_651653.2|DMEL
OG0000000	LOC117145160|XP_033166598.1|DMAU	CG33927|NP_001027147.1|DMEL
OG0000000	LOC117140539|XP_033159419.1|DMAU	CG33796|NP_001027128.1|DMEL
OG0000000	LOC117140538|XP_033159418.1|DMAU	CG33795|NP_001027129.2|DMEL
OG0000002	LOC117138082|XP_033155798.1|DMAU	CG5550|NP_001246376.1|DMEL
OG0000002	LOC117135907|XP_033152364.1|DMAU	CG30281|NP_726164.1|DMEL
OG0000002	LOC117135906|XP_033152363.1|DMAU	CG30280|NP_611641.6|DMEL
OG0000002	LOC117149870|XP_033172720.1|DMAU	CG31832|NP_723894.2|DMEL
OG0000002	LOC117140283|XP_033159002.1|DMAU	CG7668|NP_649170.1|DMEL
OG0000002	LOC117136934|XP_033153971.1|DMAU	CG9500|NP_609018.3|DMEL
OG0000003	LOC117136850|XP_033153839.1|DMAU	Cyp6a9|NP_523748.2|DMEL
OG0000003	LOC117137895|XP_033155524.1|DMAU	Cyp6a21|NP_611003.2|DMEL
OG0000003	LOC117145313|XP_033166799.1|DMAU	Cyp6a18|NP_651563.1|DMEL
OG0000003	LOC117137897|XP_033155527.1|DMAU	Cyp6a8|NP_523749.2|DMEL
OG0000003	LOC117136364|XP_033153130.1|DMAU	Cyp6a2|NP_523628.1|DMEL
OG0000003	LOC117136849|XP_033153838.1|DMAU	Cyp6a17|NP_652018.1|DMEL
OG0000003	LOC117136851|XP_033153841.1|DMAU	Cyp6a22|NP_652075.1|DMEL
OG0000003	LOC117137104|XP_033154281.1|DMAU	Cyp6a13|NP_610390.1|DMEL
OG0000003	LOC117138777|XP_033156858.1|DMAU	Cyp6a16|NP_001285631.1|DMEL
OG0000007	LOC117142070|XP_033161841.1|DMAU	Jon65Aiii|NP_648013.1|DMEL
OG0000007	LOC117140665|XP_033159603.1|DMAU	CG10477|NP_648010.1|DMEL
OG0000007	LOC117150742|XP_033173667.1|DMAU	Jon25Bii|NP_608882.1|DMEL
OG0000007	LOC117136894|XP_033153899.1|DMAU	Jon44E|NP_724699.1|DMEL
OG0000007	LOC117144956|XP_033166302.1|DMAU	Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL
OG0000007	LOC117143365|XP_033163930.1|DMAU, LOC117143364|XP_033163929.1|DMAU	Jon99Cii|NP_524554.1|DMEL, Jon99Ciii|NP_733330.1|DMEL
OG0000007	LOC117139714|XP_033158125.1|DMAU	Jon25Bi|NP_001033873.1|DMEL
OG0000007	LOC117139147|XP_033157196.1|DMAU	Jon66Ci|NP_729372.1|DMEL
OG0000007	LOC117139091|XP_033157106.1|DMAU	Jon25Biii|NP_608881.1|DMEL
OG0000007	LOC117142071|XP_033161842.1|DMAU	Jon65Aii|NP_648014.1|DMEL
OG0000007	LOC117142072|XP_033161843.1|DMAU	Jon65Ai|NP_648015.1|DMEL
OG0000008	LOC117142833|XP_033162955.1|DMAU	Cpr92A|NP_650813.2|DMEL
OG0000008	LOC117140615|XP_033159521.1|DMAU	Cpr64Aa|NP_647872.1|DMEL
OG0000008	LOC117140614|XP_033159520.1|DMAU	Cpr64Ad|NP_647875.1|DMEL
OG0000008	LOC117150767|XP_033173694.1|DMAU	Crys|NP_476906.1|DMEL
OG0000008	LOC117140617|XP_033159524.1|DMAU	Cpr64Ab|NP_647873.2|DMEL
OG0000008	LOC117147420|XP_033170189.1|DMAU	Cpr5C|NP_572266.1|DMEL
OG0000008	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL
OG0000008	LOC117144387|XP_033165412.1|DMAU	Ccp84Ad|NP_649680.1|DMEL
OG0000008	LOC117143719|XP_033164408.1|DMAU	Ccp84Af|NP_649678.1|DMEL
OG0000008	LOC117144386|XP_033165411.1|DMAU	Ccp84Ae|NP_649679.1|DMEL
OG0000008	LOC117143928|XP_033164736.1|DMAU	Ccp84Ag|NP_649677.1|DMEL
OG0000009	LOC117145423|XP_033166959.1|DMAU	CG11453|NP_650832.1|DMEL
OG0000009	LOC117143759|XP_033164466.1|DMAU	CG11391|NP_650830.1|DMEL
OG0000009	LOC117145633|XP_033167244.1|DMAU	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL
OG0000009	LOC117145422|XP_033166958.1|DMAU	CG11407|NP_650831.1|DMEL
OG0000009	LOC117141397|XP_033160707.1|DMAU	CG5568|NP_647992.1|DMEL
OG0000009	LOC117141398|XP_033160708.1|DMAU	CG18586|NP_647993.2|DMEL
