Orthogroup	DMAU.longest_only	DBUS.longest_only
OG0000000	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU	LOC108598118|XP_017840224.1|DBUS
OG0000000	LOC117145695|XP_033167327.1|DMAU, LOC117138434|XP_033156436.1|DMAU, LOC117149958|XP_033172750.1|DMAU	LOC108601266|XP_017844655.2|DBUS
OG0000000	LOC117138648|XP_033156758.1|DMAU	LOC108594849|XP_017835476.1|DBUS
OG0000000	LOC117137329|XP_033154610.1|DMAU, LOC117137328|XP_033154609.1|DMAU, LOC117138584|XP_033156654.1|DMAU, LOC117138016|XP_033155711.1|DMAU	LOC108604182|XP_017849014.1|DBUS
OG0000000	LOC117146038|XP_033167862.1|DMAU	LOC108601273|XP_017844662.1|DBUS
OG0000002	LOC117138082|XP_033155798.1|DMAU	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS
OG0000002	LOC117135907|XP_033152364.1|DMAU	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC117135906|XP_033152363.1|DMAU	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC117140283|XP_033159002.1|DMAU	LOC108599003|XP_033149617.1|DBUS
OG0000002	LOC117136934|XP_033153971.1|DMAU	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS
OG0000003	LOC117136850|XP_033153839.1|DMAU, LOC117137895|XP_033155524.1|DMAU	LOC108597513|XP_017838772.1|DBUS
OG0000003	LOC117136364|XP_033153130.1|DMAU	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS
OG0000003	LOC117138513|XP_033156538.1|DMAU	LOC108595075|XP_017835712.2|DBUS
OG0000003	LOC117136851|XP_033153841.1|DMAU	LOC117134628|XP_033150902.1|DBUS
OG0000003	LOC117137104|XP_033154281.1|DMAU	LOC108594852|XP_033148959.1|DBUS
OG0000003	LOC117137102|XP_033154279.1|DMAU, LOC117137103|XP_033154280.1|DMAU	LOC108597142|XP_017839023.1|DBUS
OG0000003	LOC117138777|XP_033156858.1|DMAU	LOC108608148|XP_017854884.1|DBUS
OG0000007	LOC117140666|XP_033159604.1|DMAU, LOC117139205|XP_033157267.1|DMAU, LOC117140665|XP_033159603.1|DMAU	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS
OG0000007	LOC117139147|XP_033157196.1|DMAU, LOC117139091|XP_033157106.1|DMAU	LOC117134784|XP_033149441.1|DBUS
OG0000008	LOC117142833|XP_033162955.1|DMAU	LOC108602201|XP_017845739.1|DBUS
OG0000008	LOC117140614|XP_033159520.1|DMAU	LOC108599783|XP_017842330.1|DBUS
OG0000008	LOC117150767|XP_033173694.1|DMAU	LOC108597994|XP_017840102.1|DBUS
OG0000008	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS
OG0000008	LOC117143719|XP_033164408.1|DMAU	LOC108601548|XP_017844935.1|DBUS
OG0000008	LOC117144386|XP_033165411.1|DMAU	LOC108602531|XP_017846153.1|DBUS
OG0000008	LOC117143928|XP_033164736.1|DMAU	LOC108602012|XP_017845504.1|DBUS
OG0000009	LOC117145423|XP_033166959.1|DMAU	LOC108604020|XP_017848755.1|DBUS
OG0000009	LOC117143759|XP_033164466.1|DMAU	LOC108601959|XP_017845435.1|DBUS
OG0000009	LOC117145633|XP_033167244.1|DMAU, LOC117145422|XP_033166958.1|DMAU	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS
OG0000009	LOC117141397|XP_033160707.1|DMAU, LOC117141398|XP_033160708.1|DMAU	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS
OG0000009	LOC117136735|XP_033153656.1|DMAU	LOC108595579|XP_017836330.1|DBUS
OG0000009	LOC117135792|XP_033152175.1|DMAU	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS
OG0000010	LOC117142722|XP_033162774.1|DMAU	LOC108603408|XP_017847686.1|DBUS, LOC117134729|XP_033149263.1|DBUS
OG0000011	LOC117143493|XP_033164098.1|DMAU	LOC108599014|XP_017841282.1|DBUS
OG0000012	LOC117136761|XP_033153688.1|DMAU	LOC108595899|XP_017836677.1|DBUS
OG0000012	LOC117136760|XP_033153687.1|DMAU	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS
OG0000012	LOC117136898|XP_033153902.1|DMAU	LOC108595898|XP_017836676.1|DBUS
OG0000012	LOC117137864|XP_033155471.1|DMAU	LOC108595900|XP_017836679.1|DBUS
OG0000012	LOC117137455|XP_033154790.1|DMAU, LOC117136643|XP_033153526.1|DMAU	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS
