Orthogroup	DMAU.longest_only	BTRY.longest_only
OG0000000	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU	LOC120778381|XP_039966101.1|BTRY, LOC120768794|XP_039951483.1|BTRY, LOC120777014|XP_039964052.1|BTRY, LOC120777646|XP_039965032.1|BTRY, LOC120777544|XP_039964867.1|BTRY, LOC120774573|XP_039960240.1|BTRY
OG0000000	LOC117145695|XP_033167327.1|DMAU, LOC117138434|XP_033156436.1|DMAU, LOC117149958|XP_033172750.1|DMAU, LOC117145817|XP_033167509.1|DMAU, LOC117145797|XP_033167474.1|DMAU, LOC117138309|XP_033156204.1|DMAU	LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY, LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY
OG0000000	LOC117139148|XP_033157197.1|DMAU, LOC117139149|XP_033157198.1|DMAU, LOC117140540|XP_033159421.1|DMAU, LOC117138648|XP_033156758.1|DMAU, LOC117144786|XP_033166045.1|DMAU, LOC117142323|XP_033162125.1|DMAU, LOC117142325|XP_033162128.1|DMAU, LOC117142327|XP_033162129.1|DMAU, LOC117136304|XP_033153082.1|DMAU, LOC117145451|XP_033167010.1|DMAU, LOC117137412|XP_033154732.1|DMAU, LOC117138341|XP_033156269.1|DMAU, LOC117140233|XP_033158923.1|DMAU, LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU, LOC117136161|XP_033152774.1|DMAU, LOC117139178|XP_033157238.1|DMAU, LOC117150663|XP_033173544.1|DMAU, LOC117139179|XP_033157239.1|DMAU, LOC117145744|XP_033167397.1|DMAU, LOC117145225|XP_033166688.1|DMAU, LOC117145856|XP_033167567.1|DMAU, LOC117150929|XP_033173982.1|DMAU	LOC120767587|XP_039949669.1|BTRY, LOC120769210|XP_039952036.1|BTRY, LOC120776945|XP_039963962.1|BTRY
OG0000000	LOC117137329|XP_033154610.1|DMAU, LOC117137328|XP_033154609.1|DMAU, LOC117138584|XP_033156654.1|DMAU, LOC117138016|XP_033155711.1|DMAU, LOC117146038|XP_033167862.1|DMAU, LOC117145160|XP_033166598.1|DMAU, LOC117140539|XP_033159419.1|DMAU, LOC117140538|XP_033159418.1|DMAU	LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY
OG0000001	LOC117140024|XP_033158645.1|DMAU	LOC120779369|XP_039967498.1|BTRY, LOC120779724|XP_039968032.1|BTRY, LOC120779568|XP_039967843.1|BTRY
OG0000001	LOC117149766|XP_033172711.1|DMAU, LOC117136660|XP_033153552.1|DMAU	LOC120779341|XP_039967474.1|BTRY
OG0000003	LOC117136850|XP_033153839.1|DMAU, LOC117137895|XP_033155524.1|DMAU	LOC120773128|XP_039958058.1|BTRY
OG0000003	LOC117145313|XP_033166799.1|DMAU, LOC117137897|XP_033155527.1|DMAU, LOC117136364|XP_033153130.1|DMAU	LOC120773129|XP_039958059.1|BTRY, LOC120773130|XP_039958060.1|BTRY, LOC120770807|XP_039954320.1|BTRY, LOC120771341|XP_039955220.1|BTRY
OG0000003	LOC117138513|XP_033156538.1|DMAU	LOC120770806|XP_039954318.1|BTRY, LOC120770808|XP_039954321.1|BTRY
OG0000003	LOC117136851|XP_033153841.1|DMAU	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY
OG0000003	LOC117137104|XP_033154281.1|DMAU	LOC120770285|XP_039953555.1|BTRY
OG0000003	LOC117137102|XP_033154279.1|DMAU, LOC117137103|XP_033154280.1|DMAU	LOC120782321|XP_039970477.1|BTRY, LOC120770284|XP_039953554.1|BTRY
OG0000003	LOC117138777|XP_033156858.1|DMAU	LOC120769392|XP_039952295.1|BTRY, LOC120769651|XP_039952690.1|BTRY, LOC120769497|XP_039952461.1|BTRY, LOC120768765|XP_039951466.1|BTRY
OG0000007	LOC117141087|XP_033160294.1|DMAU	LOC120778027|XP_039965634.1|BTRY
OG0000007	LOC117142070|XP_033161841.1|DMAU, LOC117140666|XP_033159604.1|DMAU, LOC117139205|XP_033157267.1|DMAU, LOC117140665|XP_033159603.1|DMAU	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY
OG0000007	LOC117150742|XP_033173667.1|DMAU, LOC117136894|XP_033153899.1|DMAU, LOC117143375|XP_033163942.1|DMAU, LOC117144956|XP_033166302.1|DMAU, LOC117143365|XP_033163930.1|DMAU, LOC117143364|XP_033163929.1|DMAU, LOC117139714|XP_033158125.1|DMAU, LOC117139147|XP_033157196.1|DMAU, LOC117139091|XP_033157106.1|DMAU, LOC117142071|XP_033161842.1|DMAU, LOC117142072|XP_033161843.1|DMAU	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY
OG0000008	LOC117142833|XP_033162955.1|DMAU	LOC120782797|XP_039971208.1|BTRY
OG0000008	LOC117140615|XP_033159521.1|DMAU	LOC120778932|XP_039966913.1|BTRY
OG0000008	LOC117140614|XP_033159520.1|DMAU	LOC120778930|XP_039966911.1|BTRY
OG0000008	LOC117140617|XP_033159524.1|DMAU	LOC120778933|XP_039966914.1|BTRY
OG0000008	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY
OG0000008	LOC117144387|XP_033165412.1|DMAU	LOC120778217|XP_039965948.1|BTRY
OG0000008	LOC117143719|XP_033164408.1|DMAU	LOC120780533|XP_039968729.1|BTRY
OG0000008	LOC117144386|XP_033165411.1|DMAU	LOC120780988|XP_039969143.1|BTRY
OG0000008	LOC117143928|XP_033164736.1|DMAU	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY
OG0000009	LOC117145423|XP_033166959.1|DMAU	LOC120780063|XP_039968275.1|BTRY
OG0000009	LOC117143759|XP_033164466.1|DMAU, LOC117145633|XP_033167244.1|DMAU, LOC117145422|XP_033166958.1|DMAU, LOC117141397|XP_033160707.1|DMAU, LOC117141398|XP_033160708.1|DMAU	LOC120782593|XP_039970879.1|BTRY
OG0000009	LOC117136735|XP_033153656.1|DMAU, LOC117143616|XP_033164265.1|DMAU, LOC117135792|XP_033152175.1|DMAU, LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY
OG0000010	LOC117142722|XP_033162774.1|DMAU	LOC120766432|XP_039947870.1|BTRY, LOC120767529|XP_039949555.1|BTRY, LOC120767531|XP_039949557.1|BTRY, LOC120767532|XP_039949558.1|BTRY
OG0000012	LOC117136761|XP_033153688.1|DMAU	LOC120772295|XP_039956737.1|BTRY
OG0000012	LOC117136760|XP_033153687.1|DMAU	LOC120771372|XP_039955267.1|BTRY
OG0000012	LOC117136898|XP_033153902.1|DMAU	LOC120772056|XP_039956371.1|BTRY
OG0000012	LOC117137864|XP_033155471.1|DMAU	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY
OG0000012	LOC117137455|XP_033154790.1|DMAU, LOC117136643|XP_033153526.1|DMAU, LOC117136387|XP_033153170.1|DMAU, LOC117136474|XP_033153296.1|DMAU, LOC117136403|XP_033153190.1|DMAU, LOC117138497|XP_033156518.1|DMAU, LOC117137795|XP_033155358.1|DMAU, LOC117137796|XP_033155359.1|DMAU	LOC120772529|XP_039957131.1|BTRY
OG0000013	LOC117136473|XP_033153295.1|DMAU	LOC120770990|XP_039954671.1|BTRY
OG0000013	LOC117148236|XP_033171424.1|DMAU	LOC120776120|XP_039962578.1|BTRY
OG0000013	LOC117142434|XP_033162286.1|DMAU	LOC120769789|XP_039952912.1|BTRY
OG0000013	LOC117141743|XP_033161255.1|DMAU	LOC120778592|XP_039966397.1|BTRY
OG0000013	LOC117143333|XP_033163884.1|DMAU	LOC120782170|XP_039970244.1|BTRY
OG0000013	LOC117142344|XP_033162152.1|DMAU	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY
OG0000013	LOC117145307|XP_033166793.1|DMAU, LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY
OG0000014	LOC117141766|XP_033161286.1|DMAU	LOC120774632|XP_039960290.1|BTRY, LOC120778358|XP_039966079.1|BTRY
