Orthogroup	DMAU.longest_only	DSUZ.longest_only
OG0000000	LOC117141546|XP_033160941.1|DMAU	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ
OG0000000	LOC117149958|XP_033172750.1|DMAU	LOC108013696|XP_016935107.1|DSUZ
OG0000000	LOC117145797|XP_033167474.1|DMAU	LOC108013925|XP_016935418.2|DSUZ
OG0000000	LOC117138309|XP_033156204.1|DMAU	LOC108019563|XP_016942889.1|DSUZ
OG0000000	LOC117139148|XP_033157197.1|DMAU	LOC118877230|XP_036670644.1|DSUZ
OG0000000	LOC117139149|XP_033157198.1|DMAU	LOC108007474|XP_036670349.1|DSUZ
OG0000000	LOC117140540|XP_033159421.1|DMAU	LOC108007475|XP_016926645.1|DSUZ
OG0000000	LOC117138648|XP_033156758.1|DMAU	LOC108008220|XP_016927499.2|DSUZ
OG0000000	LOC117144786|XP_033166045.1|DMAU	LOC108021133|XP_036668720.1|DSUZ
OG0000000	LOC117142327|XP_033162129.1|DMAU	LOC108012145|XP_036675462.1|DSUZ
OG0000000	LOC117136304|XP_033153082.1|DMAU	LOC108016521|XP_036671132.1|DSUZ
OG0000000	LOC117138341|XP_033156269.1|DMAU	LOC108017700|XP_016940298.1|DSUZ
OG0000000	LOC117140233|XP_033158923.1|DMAU, LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU, LOC117136161|XP_033152774.1|DMAU, LOC117139178|XP_033157238.1|DMAU	LOC108020024|XP_036672415.1|DSUZ
OG0000000	LOC117150663|XP_033173544.1|DMAU	LOC108011960|XP_036678587.1|DSUZ
OG0000000	LOC117145744|XP_033167397.1|DMAU	LOC108012139|XP_036675579.1|DSUZ
OG0000000	LOC117145225|XP_033166688.1|DMAU	LOC108012154|XP_036675464.1|DSUZ
OG0000000	LOC117150929|XP_033173982.1|DMAU	LOC108013429|XP_016934786.2|DSUZ
OG0000000	LOC117138584|XP_033156654.1|DMAU	LOC108017737|XP_016940334.1|DSUZ
OG0000000	LOC117138016|XP_033155711.1|DMAU	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ
OG0000000	LOC117146038|XP_033167862.1|DMAU	LOC108020157|XP_036673587.1|DSUZ
OG0000000	LOC117145160|XP_033166598.1|DMAU	LOC118878061|XP_036675143.1|DSUZ
OG0000000	LOC117140539|XP_033159419.1|DMAU	LOC108007479|XP_036670397.1|DSUZ
OG0000000	LOC117140538|XP_033159418.1|DMAU	LOC108007497|XP_016926669.2|DSUZ
OG0000001	LOC117140024|XP_033158645.1|DMAU	LOC118879535|XP_036678284.1|DSUZ, LOC118879596|XP_036678401.1|DSUZ
OG0000001	LOC117139899|XP_033158470.1|DMAU	LOC118878822|XP_036677740.1|DSUZ
OG0000001	LOC117149766|XP_033172711.1|DMAU, LOC117136660|XP_033153552.1|DMAU	LOC118879060|XP_036677938.1|DSUZ
OG0000002	LOC117138082|XP_033155798.1|DMAU	LOC108008721|XP_016928110.1|DSUZ
OG0000002	LOC117135907|XP_033152364.1|DMAU	LOC108009088|XP_016928634.1|DSUZ
