Orthogroup	DMAU.longest_only	DYAK.longest_only
OG0000000	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU	LOC6532541|XP_002093287.2|DYAK
OG0000000	LOC117145695|XP_033167327.1|DMAU	LOC120321802|XP_039231662.1|DYAK
OG0000000	LOC117138434|XP_033156436.1|DMAU	LOC26536205|XP_015052957.2|DYAK
OG0000000	LOC117149958|XP_033172750.1|DMAU	LOC6529038|XP_002090069.2|DYAK
OG0000000	LOC117145797|XP_033167474.1|DMAU	LOC6536475|XP_002097056.2|DYAK
OG0000000	LOC117138309|XP_033156204.1|DMAU	LOC6530087|XP_002091033.1|DYAK
OG0000000	LOC117139148|XP_033157197.1|DMAU	LOC6535099|XP_039229818.1|DYAK
OG0000000	LOC117139149|XP_033157198.1|DMAU	LOC6535097|XP_039229817.1|DYAK
OG0000000	LOC117140540|XP_033159421.1|DMAU	LOC6535098|XP_002095761.2|DYAK
OG0000000	LOC117138648|XP_033156758.1|DMAU	LOC6532122|XP_002092898.3|DYAK
OG0000000	LOC117142323|XP_033162125.1|DMAU	LOC26534826|XP_015049134.2|DYAK
OG0000000	LOC117142325|XP_033162128.1|DMAU	LOC6538960|XP_002099463.2|DYAK
OG0000000	LOC117142327|XP_033162129.1|DMAU	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK
OG0000000	LOC117136304|XP_033153082.1|DMAU	LOC6527857|XP_002088929.1|DYAK
OG0000000	LOC117145451|XP_033167010.1|DMAU	LOC26536234|XP_015048941.1|DYAK
OG0000000	LOC117137412|XP_033154732.1|DMAU	LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK
OG0000000	LOC117138341|XP_033156269.1|DMAU	LOC6531513|XP_002092312.3|DYAK
OG0000000	LOC117140233|XP_033158923.1|DMAU	LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK
OG0000000	LOC117150663|XP_033173544.1|DMAU	LOC6526414|XP_002087533.2|DYAK
OG0000000	LOC117139179|XP_033157239.1|DMAU	LOC6532990|XP_039229806.1|DYAK
OG0000000	LOC117145744|XP_033167397.1|DMAU	LOC26535595|XP_015049129.2|DYAK
OG0000000	LOC117145225|XP_033166688.1|DMAU	LOC6538949|XP_002099452.1|DYAK
OG0000000	LOC117145856|XP_033167567.1|DMAU	LOC6537714|XP_002098259.2|DYAK
OG0000000	LOC117150929|XP_033173982.1|DMAU	LOC6529465|XP_002090467.1|DYAK
OG0000000	LOC117138584|XP_033156654.1|DMAU	LOC6530976|XP_002091814.2|DYAK
OG0000000	LOC117138016|XP_033155711.1|DMAU	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK
OG0000000	LOC117146038|XP_033167862.1|DMAU	LOC6538114|XP_002098649.1|DYAK
OG0000000	LOC117145160|XP_033166598.1|DMAU	LOC6535316|XP_002095972.1|DYAK
OG0000000	LOC117140539|XP_033159419.1|DMAU	LOC6539519|XP_002086405.1|DYAK
OG0000000	LOC117140538|XP_033159418.1|DMAU	LOC6539518|XP_039230304.1|DYAK
OG0000001	LOC117140024|XP_033158645.1|DMAU	LOC120322268|XP_039233251.1|DYAK, LOC120321436|XP_039229790.1|DYAK
OG0000001	LOC117139899|XP_033158470.1|DMAU	LOC120321385|XP_039229379.1|DYAK, LOC120321458|XP_039229910.1|DYAK, LOC120320585|XP_039226586.1|DYAK, LOC120320591|XP_039226632.1|DYAK, LOC120321717|XP_039231183.1|DYAK, LOC120321457|XP_039229909.1|DYAK, LOC120320959|XP_039227830.1|DYAK, LOC120321780|XP_039231610.1|DYAK
OG0000002	LOC117138082|XP_033155798.1|DMAU	LOC6531354|XP_002092157.1|DYAK
OG0000002	LOC117135907|XP_033152364.1|DMAU	LOC6530517|XP_002091432.3|DYAK
OG0000002	LOC117135906|XP_033152363.1|DMAU	LOC6530518|XP_002091433.1|DYAK
OG0000002	LOC117149870|XP_033172720.1|DMAU	LOC6528284|XP_002089337.3|DYAK
OG0000002	LOC117140283|XP_033159002.1|DMAU	LOC26535670|XP_015050876.2|DYAK
OG0000002	LOC117136934|XP_033153971.1|DMAU	LOC6527104|XP_002088197.3|DYAK
OG0000003	LOC117136850|XP_033153839.1|DMAU	LOC6530460|XP_002091376.2|DYAK
OG0000003	LOC117137895|XP_033155524.1|DMAU	LOC6530462|XP_002091378.1|DYAK
OG0000003	LOC117145313|XP_033166799.1|DMAU	LOC6538264|XP_002098791.1|DYAK
OG0000003	LOC117137897|XP_033155527.1|DMAU	LOC6530463|XP_002091379.1|DYAK
OG0000003	LOC117136364|XP_033153130.1|DMAU	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK
OG0000003	LOC117136849|XP_033153838.1|DMAU	LOC6530457|XP_002091373.1|DYAK
OG0000003	LOC117137674|XP_033155124.1|DMAU	LOC6530461|XP_002091377.1|DYAK
OG0000003	LOC117136851|XP_033153841.1|DMAU	LOC6530456|XP_002091372.1|DYAK
OG0000003	LOC117137104|XP_033154281.1|DMAU	LOC6528608|XP_002089651.1|DYAK
OG0000003	LOC117137102|XP_033154279.1|DMAU	LOC6528606|XP_002089649.1|DYAK
OG0000003	LOC117137103|XP_033154280.1|DMAU	LOC120320435|XP_002089650.1|DYAK
OG0000003	LOC117138777|XP_033156858.1|DMAU	LOC6528128|XP_002089195.3|DYAK
OG0000007	LOC117141087|XP_033160294.1|DMAU	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK
OG0000007	LOC117142070|XP_033161841.1|DMAU	LOC6533143|XP_002093869.1|DYAK
OG0000007	LOC117139205|XP_033157267.1|DMAU	LOC6533138|XP_002093864.1|DYAK
OG0000007	LOC117150742|XP_033173667.1|DMAU	LOC6527619|XP_002088707.1|DYAK
OG0000007	LOC117136894|XP_033153899.1|DMAU	LOC6528628|XP_002089670.1|DYAK
OG0000007	LOC117143365|XP_033163930.1|DMAU, LOC117143364|XP_033163929.1|DMAU	LOC26535513|XP_015044938.2|DYAK, LOC26535290|XP_015044714.2|DYAK
OG0000007	LOC117139714|XP_033158125.1|DMAU	LOC6527618|XP_002088706.1|DYAK
OG0000007	LOC117139147|XP_033157196.1|DMAU	LOC6532724|XP_002093466.1|DYAK
OG0000007	LOC117139091|XP_033157106.1|DMAU	LOC6527620|XP_002088708.1|DYAK
OG0000007	LOC117142071|XP_033161842.1|DMAU	LOC6533144|XP_002093870.1|DYAK
OG0000007	LOC117142072|XP_033161843.1|DMAU	LOC6533145|XP_002093871.1|DYAK
OG0000008	LOC117142833|XP_033162955.1|DMAU	LOC26536044|XP_039231154.1|DYAK
OG0000008	LOC117140615|XP_033159521.1|DMAU	LOC6532927|XP_002093663.1|DYAK
OG0000008	LOC117140614|XP_033159520.1|DMAU	LOC6532930|XP_002093666.1|DYAK
OG0000008	LOC117150767|XP_033173694.1|DMAU	LOC6527319|XP_002088412.1|DYAK
OG0000008	LOC117140617|XP_033159524.1|DMAU	LOC6532928|XP_002093664.1|DYAK
OG0000008	LOC117147420|XP_033170189.1|DMAU	LOC6524096|XP_002099960.1|DYAK
OG0000008	LOC117144385|XP_033165410.1|DMAU	LOC6536138|XP_039231652.1|DYAK
OG0000008	LOC117144387|XP_033165412.1|DMAU	LOC6536141|XP_039231654.1|DYAK
OG0000008	LOC117143719|XP_033164408.1|DMAU	LOC6536143|XP_002096744.1|DYAK
OG0000008	LOC117144386|XP_033165411.1|DMAU	LOC6536142|XP_002096743.1|DYAK
OG0000008	LOC117143928|XP_033164736.1|DMAU	LOC6536144|XP_002096745.1|DYAK
OG0000009	LOC117145423|XP_033166959.1|DMAU	LOC6535723|XP_002096349.3|DYAK
OG0000009	LOC117143759|XP_033164466.1|DMAU	LOC6535721|XP_002096347.1|DYAK
OG0000009	LOC117145633|XP_033167244.1|DMAU	LOC6535720|XP_002096346.1|DYAK
OG0000009	LOC117145422|XP_033166958.1|DMAU	LOC6535722|XP_002096348.1|DYAK
OG0000009	LOC117141397|XP_033160707.1|DMAU	LOC6533117|XP_002093843.1|DYAK
OG0000009	LOC117141398|XP_033160708.1|DMAU	LOC6533118|XP_002093844.1|DYAK
OG0000009	LOC117136735|XP_033153656.1|DMAU	LOC6532044|XP_002092821.1|DYAK
OG0000009	LOC117143616|XP_033164265.1|DMAU	LOC6536768|XP_002097339.1|DYAK
OG0000009	LOC117135792|XP_033152175.1|DMAU	LOC6530109|XP_002091055.1|DYAK
OG0000009	LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU	LOC6530111|XP_002091057.1|DYAK
OG0000010	LOC117142722|XP_033162774.1|DMAU	LOC120322211|XP_039233202.1|DYAK, LOC120321201|XP_039229120.1|DYAK, LOC120322212|XP_039233203.1|DYAK, LOC120322217|XP_039233207.1|DYAK, LOC120322223|XP_039233213.1|DYAK, LOC120322215|XP_039233206.1|DYAK, LOC120321202|XP_039229121.1|DYAK, LOC120321245|XP_039229342.1|DYAK, LOC120322219|XP_039233209.1|DYAK, LOC6537287|XP_002097845.1|DYAK, LOC6539220|XP_002086120.1|DYAK, LOC120322213|XP_039233204.1|DYAK, LOC120322214|XP_039233205.1|DYAK, LOC120322218|XP_039233208.1|DYAK
OG0000011	LOC117148149|XP_033171274.1|DMAU	LOC120320450|XP_039227155.1|DYAK
OG0000011	LOC117148158|XP_033171286.1|DMAU	LOC6526687|XP_002087792.2|DYAK
OG0000011	LOC117138313|XP_033156221.1|DMAU	LOC6526837|XP_002087937.1|DYAK
OG0000011	LOC117140362|XP_033159107.1|DMAU	LOC26535503|XP_015045173.2|DYAK
OG0000011	LOC117150358|XP_033173108.1|DMAU	LOC6529533|XP_039228709.1|DYAK
OG0000011	LOC117135201|XP_033151176.1|DMAU	LOC6529527|XP_039228713.1|DYAK
OG0000011	LOC117148130|XP_033171246.1|DMAU, LOC117148131|XP_033171247.1|DMAU	LOC120320662|XP_039226899.1|DYAK
OG0000011	LOC117141063|XP_033160242.1|DMAU	LOC6534062|XP_002094748.1|DYAK
OG0000011	LOC117141062|XP_033160241.1|DMAU	LOC6534063|XP_002094749.1|DYAK
OG0000011	LOC117143493|XP_033164098.1|DMAU	LOC6536394|XP_002096976.1|DYAK
OG0000012	LOC117136761|XP_033153688.1|DMAU	LOC6530957|XP_002091795.1|DYAK
OG0000012	LOC117136760|XP_033153687.1|DMAU	LOC6530958|XP_002091796.1|DYAK
OG0000012	LOC117136898|XP_033153902.1|DMAU	LOC6530959|XP_015051811.1|DYAK
OG0000012	LOC117137864|XP_033155471.1|DMAU	LOC6530956|XP_002091794.1|DYAK
OG0000012	LOC117137455|XP_033154790.1|DMAU	LOC6530954|XP_002091792.1|DYAK
OG0000012	LOC117136643|XP_033153526.1|DMAU	LOC6530955|XP_002091793.1|DYAK
OG0000012	LOC117136387|XP_033153170.1|DMAU	LOC6530135|XP_002091081.1|DYAK
OG0000012	LOC117136474|XP_033153296.1|DMAU	LOC6530133|XP_002091079.2|DYAK
OG0000012	LOC117136403|XP_033153190.1|DMAU	LOC6530132|XP_002091078.1|DYAK
OG0000012	LOC117138497|XP_033156518.1|DMAU	LOC6530131|XP_002091077.2|DYAK
OG0000012	LOC117137795|XP_033155358.1|DMAU	LOC6530130|XP_002091076.1|DYAK
OG0000012	LOC117137796|XP_033155359.1|DMAU	LOC6530129|XP_002091075.1|DYAK
OG0000013	LOC117136473|XP_033153295.1|DMAU	LOC6530359|XP_002091285.1|DYAK
OG0000013	LOC117148236|XP_033171424.1|DMAU	LOC6525539|XP_002101374.1|DYAK
OG0000013	LOC117142434|XP_033162286.1|DMAU	LOC6537221|XP_002097779.1|DYAK
OG0000013	LOC117141743|XP_033161255.1|DMAU	LOC6534055|XP_002094741.1|DYAK
OG0000013	LOC117143333|XP_033163884.1|DMAU	LOC6536907|XP_002097476.1|DYAK
