Orthogroup	DMAU.longest_only	DSER.longest_only
OG0000000	LOC117145817|XP_033167509.1|DMAU, LOC117145797|XP_033167474.1|DMAU	LOC110188492|XP_020813881.1|DSER
OG0000000	LOC117138309|XP_033156204.1|DMAU	LOC110181445|XP_020804849.1|DSER
OG0000000	LOC117139148|XP_033157197.1|DMAU	LOC110190735|XP_020817016.1|DSER
OG0000000	LOC117139149|XP_033157198.1|DMAU	LOC110190738|XP_020817019.1|DSER
OG0000000	LOC117140540|XP_033159421.1|DMAU	LOC110190736|XP_020817017.1|DSER
OG0000000	LOC117138648|XP_033156758.1|DMAU	LOC110184046|XP_020808080.1|DSER
OG0000000	LOC117142327|XP_033162129.1|DMAU	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER
OG0000000	LOC117136304|XP_033153082.1|DMAU, LOC117145451|XP_033167010.1|DMAU	LOC110184021|XP_020808046.1|DSER
OG0000000	LOC117139179|XP_033157239.1|DMAU	LOC110176723|XP_020798824.1|DSER, LOC110178370|XP_020801166.1|DSER
OG0000000	LOC117145744|XP_033167397.1|DMAU	LOC110186290|XP_020811063.1|DSER
OG0000000	LOC117145225|XP_033166688.1|DMAU	LOC110186288|XP_020811061.1|DSER
OG0000000	LOC117145856|XP_033167567.1|DMAU	LOC110187976|XP_020813156.1|DSER
OG0000000	LOC117150929|XP_033173982.1|DMAU	LOC110184825|XP_020809128.1|DSER
OG0000000	LOC117138016|XP_033155711.1|DMAU	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER
OG0000000	LOC117146038|XP_033167862.1|DMAU	LOC110177452|XP_020799845.1|DSER
OG0000000	LOC117145160|XP_033166598.1|DMAU	LOC110187957|XP_020813134.1|DSER
OG0000000	LOC117140539|XP_033159419.1|DMAU	LOC110190733|XP_020817014.1|DSER
OG0000000	LOC117140538|XP_033159418.1|DMAU	LOC110190479|XP_020816650.1|DSER
OG0000002	LOC117138082|XP_033155798.1|DMAU	LOC110191937|XP_020818616.1|DSER
OG0000002	LOC117135907|XP_033152364.1|DMAU	LOC110177829|XP_020800431.1|DSER
OG0000002	LOC117135906|XP_033152363.1|DMAU	LOC110177830|XP_020800433.1|DSER
OG0000002	LOC117149870|XP_033172720.1|DMAU	LOC110189677|XP_020815494.1|DSER
OG0000002	LOC117140283|XP_033159002.1|DMAU	LOC110189091|XP_020814726.1|DSER
OG0000002	LOC117136934|XP_033153971.1|DMAU	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER
OG0000003	LOC117136850|XP_033153839.1|DMAU	LOC110177692|XP_020800174.1|DSER
OG0000003	LOC117137895|XP_033155524.1|DMAU	LOC110177680|XP_020800160.1|DSER
OG0000003	LOC117137897|XP_033155527.1|DMAU	LOC110177747|XP_020800264.1|DSER
OG0000003	LOC117136364|XP_033153130.1|DMAU	LOC110189782|XP_020815670.1|DSER
OG0000003	LOC117138513|XP_033156538.1|DMAU	LOC110177811|XP_020800360.1|DSER
OG0000003	LOC117137674|XP_033155124.1|DMAU	LOC110177698|XP_020800183.1|DSER
OG0000003	LOC117136851|XP_033153841.1|DMAU	LOC110177690|XP_020800172.1|DSER
OG0000003	LOC117137104|XP_033154281.1|DMAU	LOC110188514|XP_020813952.1|DSER
OG0000003	LOC117137102|XP_033154279.1|DMAU	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER
OG0000003	LOC117137103|XP_033154280.1|DMAU	LOC110176203|XP_020798127.1|DSER
OG0000003	LOC117138777|XP_033156858.1|DMAU	LOC110182737|XP_020806498.1|DSER
OG0000007	LOC117142070|XP_033161841.1|DMAU	LOC110184726|XP_020809013.1|DSER
OG0000007	LOC117140666|XP_033159604.1|DMAU	LOC110184729|XP_020809016.1|DSER
OG0000007	LOC117139205|XP_033157267.1|DMAU	LOC110184693|XP_020808964.1|DSER
OG0000007	LOC117150742|XP_033173667.1|DMAU	LOC110182363|XP_020806064.1|DSER
OG0000007	LOC117143375|XP_033163942.1|DMAU, LOC117144956|XP_033166302.1|DMAU	LOC110189366|XP_020815075.1|DSER
OG0000007	LOC117143365|XP_033163930.1|DMAU, LOC117143364|XP_033163929.1|DMAU	LOC110186676|XP_020811602.1|DSER, LOC110186433|XP_020811275.1|DSER
OG0000007	LOC117139714|XP_033158125.1|DMAU	LOC110182364|XP_020806065.1|DSER
OG0000007	LOC117139147|XP_033157196.1|DMAU	LOC110190669|XP_020816933.1|DSER
OG0000007	LOC117139091|XP_033157106.1|DMAU	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER
OG0000007	LOC117142071|XP_033161842.1|DMAU	LOC110184731|XP_020809018.1|DSER
OG0000007	LOC117142072|XP_033161843.1|DMAU	LOC110184732|XP_020809019.1|DSER
OG0000008	LOC117142833|XP_033162955.1|DMAU	LOC110188534|XP_020813940.1|DSER
OG0000008	LOC117140615|XP_033159521.1|DMAU	LOC110183610|XP_020807586.1|DSER
OG0000008	LOC117140614|XP_033159520.1|DMAU	LOC110183609|XP_020807585.1|DSER
OG0000008	LOC117150767|XP_033173694.1|DMAU	LOC110183997|XP_020808013.1|DSER
OG0000008	LOC117140617|XP_033159524.1|DMAU	LOC110183613|XP_020807591.1|DSER
OG0000008	LOC117147420|XP_033170189.1|DMAU	LOC110182844|XP_020806635.1|DSER
OG0000008	LOC117144387|XP_033165412.1|DMAU	LOC110191898|XP_020818543.1|DSER
OG0000008	LOC117143719|XP_033164408.1|DMAU	LOC110191819|XP_020818443.1|DSER
OG0000008	LOC117144386|XP_033165411.1|DMAU	LOC110191899|XP_020818544.1|DSER
OG0000008	LOC117143928|XP_033164736.1|DMAU	LOC110191820|XP_020818444.1|DSER
OG0000009	LOC117145423|XP_033166959.1|DMAU	LOC110188739|XP_020814232.1|DSER
OG0000009	LOC117143759|XP_033164466.1|DMAU	LOC110188430|XP_020813815.1|DSER
OG0000009	LOC117145633|XP_033167244.1|DMAU	LOC110188741|XP_020814234.1|DSER
OG0000009	LOC117145422|XP_033166958.1|DMAU	LOC110188740|XP_020814233.1|DSER
OG0000009	LOC117136735|XP_033153656.1|DMAU	LOC110181065|XP_020804398.1|DSER
OG0000009	LOC117143616|XP_033164265.1|DMAU	LOC110176644|XP_020798730.1|DSER
OG0000009	LOC117135792|XP_033152175.1|DMAU	LOC110178269|XP_020800994.1|DSER
OG0000009	LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU	LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER
OG0000010	LOC117142722|XP_033162774.1|DMAU	LOC110182136|XP_020805805.1|DSER, LOC110180708|XP_020804048.1|DSER, LOC110180685|XP_020804029.1|DSER, LOC110183811|XP_020807822.1|DSER, LOC110182163|XP_020805825.1|DSER, LOC110182420|XP_020806116.1|DSER, LOC110182144|XP_020805814.1|DSER, LOC110182164|XP_020805826.1|DSER, LOC110182441|XP_020806135.1|DSER, LOC110182421|XP_020806117.1|DSER, LOC110180707|XP_020804047.1|DSER, LOC110180709|XP_020804049.1|DSER, LOC110181329|XP_020804707.1|DSER, LOC110182137|XP_020805806.1|DSER, LOC110180684|XP_020804028.1|DSER, LOC110180662|XP_020804012.1|DSER, LOC110183810|XP_020807821.1|DSER
OG0000011	LOC117138313|XP_033156221.1|DMAU	LOC110183280|XP_020807170.1|DSER
OG0000011	LOC117140362|XP_033159107.1|DMAU	LOC110182663|XP_020806400.1|DSER, LOC110187551|XP_020812598.1|DSER, LOC110187412|XP_020812458.1|DSER, LOC110182662|XP_020806399.1|DSER
OG0000011	LOC117142406|XP_033162250.1|DMAU	LOC110185813|XP_020810477.1|DSER
OG0000011	LOC117150358|XP_033173108.1|DMAU, LOC117135201|XP_033151176.1|DMAU, LOC117148130|XP_033171246.1|DMAU, LOC117148131|XP_033171247.1|DMAU	LOC110182278|XP_020805955.1|DSER
OG0000011	LOC117141063|XP_033160242.1|DMAU	LOC110191403|XP_020817919.1|DSER
OG0000011	LOC117143493|XP_033164098.1|DMAU	LOC110185215|XP_020809607.1|DSER
OG0000012	LOC117136761|XP_033153688.1|DMAU	LOC110178863|XP_020801799.1|DSER
OG0000012	LOC117136760|XP_033153687.1|DMAU	LOC110178859|XP_020801786.1|DSER
OG0000012	LOC117136898|XP_033153902.1|DMAU	LOC110190967|XP_020817320.1|DSER
OG0000012	LOC117137864|XP_033155471.1|DMAU	LOC110176037|XP_020797910.1|DSER
OG0000012	LOC117137455|XP_033154790.1|DMAU	LOC110180096|XP_020803382.1|DSER
