Orthogroup	DMAU.longest_only	DSUB.longest_only
OG0000000	LOC117145695|XP_033167327.1|DMAU	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB
OG0000000	LOC117145817|XP_033167509.1|DMAU, LOC117145797|XP_033167474.1|DMAU	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB
OG0000000	LOC117138309|XP_033156204.1|DMAU	LOC117889909|XP_034650326.1|DSUB
OG0000000	LOC117139148|XP_033157197.1|DMAU	LOC117893407|XP_034655897.1|DSUB
OG0000000	LOC117139149|XP_033157198.1|DMAU	LOC117893701|XP_034656280.1|DSUB
OG0000000	LOC117140540|XP_033159421.1|DMAU	LOC117893403|XP_034655894.1|DSUB
OG0000000	LOC117138648|XP_033156758.1|DMAU	LOC117892287|XP_034654298.1|DSUB
OG0000000	LOC117144786|XP_033166045.1|DMAU, LOC117142323|XP_033162125.1|DMAU, LOC117142325|XP_033162128.1|DMAU	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB
OG0000000	LOC117142327|XP_033162129.1|DMAU	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB
OG0000000	LOC117138341|XP_033156269.1|DMAU	LOC117899299|XP_034665108.1|DSUB
OG0000000	LOC117145856|XP_033167567.1|DMAU	LOC117896020|XP_034659918.1|DSUB
OG0000000	LOC117150929|XP_033173982.1|DMAU	LOC117901385|XP_034668002.1|DSUB
OG0000000	LOC117138016|XP_033155711.1|DMAU	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB
OG0000000	LOC117146038|XP_033167862.1|DMAU	LOC117897324|XP_034661985.1|DSUB
OG0000001	LOC117149766|XP_033172711.1|DMAU, LOC117136660|XP_033153552.1|DMAU	LOC117902179|XP_034669231.1|DSUB
OG0000002	LOC117135907|XP_033152364.1|DMAU	LOC117891991|XP_034653760.1|DSUB
OG0000002	LOC117135906|XP_033152363.1|DMAU	LOC117891990|XP_034653758.1|DSUB
OG0000002	LOC117149870|XP_033172720.1|DMAU	LOC117899951|XP_034665996.1|DSUB
OG0000002	LOC117136934|XP_033153971.1|DMAU	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB
