Orthogroup	SLEB.longest_only	DSEC.longest_only
OG0000000	LOC115634489|XP_030388106.1|SLEB	LOC6605054|XP_032575159.1|DSEC
OG0000000	LOC115634408|XP_030387964.1|SLEB	LOC6612593|XP_002037098.2|DSEC, LOC116800509|XP_032571804.1|DSEC, LOC6611330|XP_002035877.1|DSEC, LOC6606995|XP_002031784.1|DSEC, LOC6608865|XP_002033579.1|DSEC
OG0000000	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB	LOC6605884|XP_032575999.1|DSEC, LOC6605885|XP_032575997.1|DSEC, LOC116800964|XP_032573791.1|DSEC, LOC116801306|XP_032575998.1|DSEC
OG0000000	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB	LOC6618886|XP_002043134.2|DSEC
OG0000000	LOC115625399|XP_030376298.1|SLEB	LOC6607083|XP_032579519.1|DSEC
OG0000000	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB	LOC6609904|XP_032570140.1|DSEC, LOC6609905|XP_032572518.1|DSEC, LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC
OG0000000	LOC115632651|XP_030385741.1|SLEB	LOC6612634|XP_002037138.2|DSEC
OG0000001	LOC115629498|XP_030381837.1|SLEB, LOC115629967|XP_030382445.1|SLEB, LOC115626877|XP_030378247.1|SLEB, LOC115624479|XP_030375042.1|SLEB, LOC115627092|XP_030378504.1|SLEB, LOC115621673|XP_030371244.1|SLEB, LOC115628198|XP_030380053.1|SLEB	LOC116801168|XP_032575066.1|DSEC
OG0000002	LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB	LOC6613615|XP_032570344.1|DSEC
OG0000003	LOC115620029|XP_030368994.1|SLEB	LOC6609226|XP_032570279.1|DSEC, LOC6609227|XP_002033918.2|DSEC
OG0000003	LOC115620049|XP_030369030.1|SLEB	LOC6617182|XP_002041509.2|DSEC, LOC6609229|XP_032570278.1|DSEC
OG0000003	LOC115634646|XP_030388364.1|SLEB	LOC6607893|XP_002032647.1|DSEC
OG0000003	LOC115634502|XP_030388126.1|SLEB	LOC6609223|XP_002033914.2|DSEC
OG0000003	LOC115619981|XP_030368881.1|SLEB	LOC6608194|XP_002032939.1|DSEC
OG0000003	LOC115628616|XP_030380660.1|SLEB	LOC6613508|XP_002037976.1|DSEC
OG0000007	LOC115633153|XP_030386422.1|SLEB	LOC116800972|XP_032573823.1|DSEC
OG0000007	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB	LOC6610954|XP_002035511.1|DSEC, LOC6610952|XP_032575303.1|DSEC, LOC6610951|XP_002035508.1|DSEC
OG0000007	LOC115633111|XP_030386356.1|SLEB	LOC6608215|XP_032572281.1|DSEC
OG0000007	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB	LOC6613407|XP_032570241.1|DSEC
OG0000007	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB	LOC6604871|XP_002029716.1|DSEC, LOC6604870|XP_002029715.1|DSEC, LOC6613405|XP_032574637.1|DSEC
OG0000007	LOC115630750|XP_030383265.1|SLEB	LOC6610955|XP_032575304.1|DSEC, LOC6610956|XP_002035513.1|DSEC
OG0000008	LOC115623801|XP_030374203.1|SLEB	LOC6619063|XP_002043304.1|DSEC
OG0000008	LOC115628395|XP_030380343.1|SLEB	LOC6610740|XP_002035306.1|DSEC
OG0000008	LOC115628400|XP_030380349.1|SLEB	LOC6610743|XP_002035309.1|DSEC
OG0000008	LOC115631184|XP_030383735.1|SLEB	LOC6617678|XP_002041991.1|DSEC
OG0000008	LOC115628403|XP_030380351.1|SLEB	LOC6610741|XP_002035307.2|DSEC
OG0000008	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB	LOC6614150|XP_002038603.2|DSEC, LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC
OG0000008	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB	LOC6614148|XP_002038601.1|DSEC, LOC116801716|XP_032578753.1|DSEC
OG0000008	LOC115623587|XP_030373847.1|SLEB	LOC116801478|XP_032577234.1|DSEC
OG0000008	LOC115624340|XP_030374852.1|SLEB	LOC6614149|XP_002038602.2|DSEC
OG0000008	LOC115624344|XP_030374855.1|SLEB	LOC116801482|XP_032577264.1|DSEC
OG0000008	LOC115623612|XP_030373889.1|SLEB	LOC116801721|XP_032578777.1|DSEC
OG0000009	LOC115624173|XP_030374629.1|SLEB	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC
OG0000009	LOC115624028|XP_030374465.1|SLEB	LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC
OG0000009	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB	LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC, LOC6619042|XP_032576485.1|DSEC
OG0000009	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB	LOC6608841|XP_002033555.1|DSEC
OG0000010	LOC115630368|XP_030382761.1|SLEB, LOC115630369|XP_030382762.1|SLEB, LOC115625114|XP_030375880.1|SLEB	LOC6606375|XP_032579311.1|DSEC
OG0000012	LOC115626791|XP_030378121.1|SLEB	LOC6609925|XP_002034575.2|DSEC
OG0000012	LOC115634820|XP_030388598.1|SLEB	LOC6609924|XP_002034574.2|DSEC
OG0000012	LOC115624523|XP_030375106.1|SLEB	LOC6609923|XP_032571611.1|DSEC
OG0000012	LOC115632632|XP_030385725.1|SLEB	LOC6609926|XP_002034576.1|DSEC
