Orthogroup	SLEB.longest_only	ASTE.longest_only
OG0000001	LOC115629498|XP_030381837.1|SLEB, LOC115629967|XP_030382445.1|SLEB, LOC115626877|XP_030378247.1|SLEB, LOC115624479|XP_030375042.1|SLEB, LOC115627092|XP_030378504.1|SLEB, LOC115621673|XP_030371244.1|SLEB, LOC115628198|XP_030380053.1|SLEB	LOC118508413|XP_035904112.1|ASTE, LOC118510932|XP_035909246.1|ASTE
OG0000002	LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE, LOC118511460|XP_035910455.1|ASTE, LOC118509013|XP_035904926.1|ASTE, LOC118509867|XP_035906983.1|ASTE
OG0000006	LOC115630364|XP_030382757.1|SLEB	LOC118517636|XP_035919841.1|ASTE
OG0000006	LOC115630278|XP_030382673.1|SLEB	LOC118508036|XP_035903331.1|ASTE
OG0000008	LOC115623801|XP_030374203.1|SLEB	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE
OG0000008	LOC115628395|XP_030380343.1|SLEB	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE
OG0000008	LOC115631184|XP_030383735.1|SLEB	LOC118509007|XP_035904915.1|ASTE
OG0000008	LOC115628403|XP_030380351.1|SLEB	LOC118506772|XP_035900260.1|ASTE
OG0000009	LOC115624173|XP_030374629.1|SLEB, LOC115634672|XP_030388391.1|SLEB, LOC115624028|XP_030374465.1|SLEB, LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB, LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE
OG0000010	LOC115633544|XP_030386861.1|SLEB	LOC118503730|XP_035893236.1|ASTE
OG0000010	LOC115625114|XP_030375880.1|SLEB	LOC118509785|XP_035906820.1|ASTE
OG0000012	LOC115626791|XP_030378121.1|SLEB, LOC115634820|XP_030388598.1|SLEB, LOC115624523|XP_030375106.1|SLEB, LOC115632632|XP_030385725.1|SLEB, LOC115625784|XP_030376819.1|SLEB, LOC115630730|XP_030383248.1|SLEB, LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE
OG0000013	LOC115634441|XP_030388010.1|SLEB	LOC118507210|XP_035901192.1|ASTE
OG0000013	LOC115626662|XP_030377938.1|SLEB	LOC118503015|XP_035891731.1|ASTE
OG0000013	LOC115625570|XP_030376527.1|SLEB	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE
OG0000013	LOC115624312|XP_030374797.1|SLEB, LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE
OG0000016	LOC115621740|XP_030371332.1|SLEB, LOC115634422|XP_030387989.1|SLEB	LOC118502962|XP_035891619.1|ASTE
OG0000016	LOC115620605|XP_030369779.1|SLEB	LOC118503654|XP_035893068.1|ASTE
OG0000016	LOC115628929|XP_030381051.1|SLEB	LOC118505170|XP_035896494.1|ASTE
OG0000016	LOC115634447|XP_030388017.1|SLEB	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE
OG0000018	LOC115633159|XP_030386430.1|SLEB	LOC118513024|XP_035914194.1|ASTE
OG0000019	LOC115630744|XP_030383257.1|SLEB, LOC115630793|XP_030383311.1|SLEB, LOC115624744|XP_030375433.1|SLEB, LOC115621702|XP_030371269.1|SLEB, LOC115621701|XP_030371268.1|SLEB, LOC115621698|XP_030371264.1|SLEB, LOC115621699|XP_030371266.1|SLEB, LOC115621700|XP_030371267.1|SLEB	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE
OG0000020	LOC115620461|XP_030369552.1|SLEB, LOC115634835|XP_030388616.1|SLEB	LOC118507513|XP_035901949.1|ASTE
OG0000020	LOC115625139|XP_030375917.1|SLEB, LOC115623558|XP_030373816.1|SLEB, LOC115623561|XP_030373817.1|SLEB, LOC115625796|XP_030376833.1|SLEB	LOC118509588|XP_035906253.1|ASTE
OG0000021	LOC115629488|XP_030381818.1|SLEB	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE
OG0000021	LOC115625208|XP_030376037.1|SLEB, LOC115620616|XP_030369796.1|SLEB, LOC115629963|XP_030382440.1|SLEB	LOC118505796|XP_035898023.1|ASTE
OG0000022	LOC115634544|XP_030388214.1|SLEB, LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB, LOC115624802|XP_030375508.1|SLEB, LOC115623680|XP_030374009.1|SLEB, LOC115634199|XP_030387648.1|SLEB	LOC118510588|XP_035908481.1|ASTE
OG0000023	LOC115623327|XP_030373450.1|SLEB, LOC115623328|XP_030373451.1|SLEB, LOC115623320|XP_030373442.1|SLEB, LOC115623826|XP_030374229.1|SLEB, LOC115623325|XP_030373446.1|SLEB, LOC115623824|XP_030374228.1|SLEB, LOC115623322|XP_030373444.1|SLEB, LOC115623324|XP_030373445.1|SLEB, LOC115623321|XP_030373443.1|SLEB, LOC115623326|XP_030373447.1|SLEB	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE
OG0000024	LOC115634516|XP_030388143.1|SLEB, LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB, LOC115626230|XP_030377390.1|SLEB, LOC115633141|XP_030386412.1|SLEB, LOC115630204|XP_030382632.1|SLEB, LOC115633283|XP_030386551.1|SLEB, LOC115633275|XP_030386546.1|SLEB, LOC115633288|XP_030386557.1|SLEB, LOC115629800|XP_030382222.1|SLEB, LOC115629806|XP_030382233.1|SLEB, LOC115632051|XP_030384884.1|SLEB	LOC118507315|XP_035901591.1|ASTE
OG0000025	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB	LOC118514136|XP_035916629.1|ASTE
OG0000025	LOC115630351|XP_030382744.1|SLEB, LOC115630277|XP_030382672.1|SLEB, LOC115630318|XP_030382715.1|SLEB, LOC115633508|XP_030386830.1|SLEB, LOC115630275|XP_030382670.1|SLEB	LOC118509777|XP_035906810.1|ASTE
