Orthogroup	SLEB.longest_only	DYAK.longest_only
OG0000000	LOC115634489|XP_030388106.1|SLEB	LOC6532541|XP_002093287.2|DYAK
OG0000000	LOC115634408|XP_030387964.1|SLEB	LOC120321802|XP_039231662.1|DYAK, LOC26536205|XP_015052957.2|DYAK, LOC6529038|XP_002090069.2|DYAK, LOC6536475|XP_002097056.2|DYAK, LOC6530087|XP_002091033.1|DYAK
OG0000000	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB	LOC6535099|XP_039229818.1|DYAK, LOC6535097|XP_039229817.1|DYAK, LOC6535098|XP_002095761.2|DYAK
OG0000000	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB	LOC6532122|XP_002092898.3|DYAK
OG0000000	LOC115625399|XP_030376298.1|SLEB	LOC6536389|XP_002096971.3|DYAK
OG0000000	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB	LOC6532052|XP_039228287.1|DYAK, LOC6532051|XP_039228285.1|DYAK, LOC6532054|XP_039228543.1|DYAK, LOC6530976|XP_002091814.2|DYAK, LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK
OG0000000	LOC115632651|XP_030385741.1|SLEB	LOC6538114|XP_002098649.1|DYAK
OG0000001	LOC115629498|XP_030381837.1|SLEB, LOC115629967|XP_030382445.1|SLEB, LOC115626877|XP_030378247.1|SLEB, LOC115624479|XP_030375042.1|SLEB, LOC115627092|XP_030378504.1|SLEB, LOC115621673|XP_030371244.1|SLEB, LOC115628198|XP_030380053.1|SLEB	LOC120320711|XP_039227061.1|DYAK, LOC120320699|XP_039227017.1|DYAK
OG0000002	LOC115633967|XP_030387348.1|SLEB	LOC6526775|XP_002087878.2|DYAK
OG0000002	LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB	LOC6527104|XP_002088197.3|DYAK
OG0000003	LOC115620029|XP_030368994.1|SLEB	LOC6530460|XP_002091376.2|DYAK, LOC6530462|XP_002091378.1|DYAK
OG0000003	LOC115620049|XP_030369030.1|SLEB	LOC6538264|XP_002098791.1|DYAK, LOC6530463|XP_002091379.1|DYAK
OG0000003	LOC115634646|XP_030388364.1|SLEB	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK
OG0000003	LOC115619981|XP_030368881.1|SLEB	LOC6528606|XP_002089649.1|DYAK, LOC120320435|XP_002089650.1|DYAK
OG0000003	LOC115628616|XP_030380660.1|SLEB	LOC6528128|XP_002089195.3|DYAK
OG0000004	LOC115630361|XP_030382755.1|SLEB, LOC115630324|XP_030382722.1|SLEB, LOC115630325|XP_030382723.1|SLEB	LOC120322179|XP_039233170.1|DYAK, LOC6529212|XP_002090219.3|DYAK, LOC120322177|XP_039233168.1|DYAK, LOC120322178|XP_039233169.1|DYAK, LOC6539223|XP_002086123.3|DYAK, LOC120322176|XP_039233166.1|DYAK, LOC6540446|XP_002087254.1|DYAK, LOC120322186|XP_039233176.1|DYAK, LOC6539221|XP_002086122.2|DYAK, LOC120322184|XP_039233174.1|DYAK, LOC120322182|XP_039233172.1|DYAK, LOC120322183|XP_039233173.1|DYAK, LOC26535476|XP_015044590.2|DYAK, LOC120322181|XP_039233171.1|DYAK, LOC120321237|XP_039229333.1|DYAK, LOC120322185|XP_039233175.1|DYAK
OG0000004	LOC115633467|XP_030386783.1|SLEB, LOC115633464|XP_030386779.1|SLEB, LOC115633591|XP_030386895.1|SLEB, LOC115630342|XP_030382736.1|SLEB	LOC6540440|XP_039228255.1|DYAK
OG0000005	LOC115630367|XP_030382760.1|SLEB	LOC120321200|XP_039229119.1|DYAK, LOC120321199|XP_039229118.1|DYAK
OG0000006	LOC115630364|XP_030382757.1|SLEB	LOC120322197|XP_039233188.1|DYAK, LOC120322195|XP_039233186.1|DYAK
OG0000006	LOC115630357|XP_030382751.1|SLEB	LOC120322196|XP_039233187.1|DYAK
OG0000006	LOC115630120|XP_030382591.1|SLEB	LOC120321198|XP_039229117.1|DYAK
OG0000006	LOC115630278|XP_030382673.1|SLEB	LOC120322189|XP_039233180.1|DYAK, LOC26535831|XP_015045247.2|DYAK
OG0000006	LOC115630280|XP_030382676.1|SLEB	LOC6540447|XP_002087253.2|DYAK
OG0000007	LOC115633152|XP_030386421.1|SLEB	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK
OG0000007	LOC115633153|XP_030386422.1|SLEB	LOC6533142|XP_002093868.1|DYAK
OG0000007	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB	LOC6533143|XP_002093869.1|DYAK, LOC6533140|XP_002093866.1|DYAK, LOC6533138|XP_002093864.1|DYAK, LOC6533139|XP_002093865.1|DYAK
OG0000007	LOC115633111|XP_030386356.1|SLEB	LOC6528628|XP_002089670.1|DYAK
OG0000007	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB	LOC6527618|XP_002088706.1|DYAK
OG0000007	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB	LOC6532723|XP_002093465.1|DYAK, LOC6532724|XP_002093466.1|DYAK, LOC6527620|XP_002088708.1|DYAK
OG0000007	LOC115630750|XP_030383265.1|SLEB	LOC6533144|XP_002093870.1|DYAK, LOC6533145|XP_002093871.1|DYAK
OG0000008	LOC115623801|XP_030374203.1|SLEB	LOC26536044|XP_039231154.1|DYAK
OG0000008	LOC115628395|XP_030380343.1|SLEB	LOC6532927|XP_002093663.1|DYAK
OG0000008	LOC115628400|XP_030380349.1|SLEB	LOC6532930|XP_002093666.1|DYAK
OG0000008	LOC115631184|XP_030383735.1|SLEB	LOC6527319|XP_002088412.1|DYAK
OG0000008	LOC115628403|XP_030380351.1|SLEB	LOC6532928|XP_002093664.1|DYAK
OG0000008	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB	LOC6536139|XP_015047584.1|DYAK, LOC6536138|XP_039231652.1|DYAK
OG0000008	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB	LOC6536141|XP_039231654.1|DYAK
OG0000008	LOC115623587|XP_030373847.1|SLEB	LOC6536143|XP_002096744.1|DYAK
OG0000008	LOC115624340|XP_030374852.1|SLEB	LOC6536140|XP_002096741.1|DYAK
OG0000008	LOC115624344|XP_030374855.1|SLEB	LOC6536142|XP_002096743.1|DYAK
OG0000008	LOC115623612|XP_030373889.1|SLEB	LOC6536144|XP_002096745.1|DYAK
OG0000009	LOC115624173|XP_030374629.1|SLEB	LOC6535723|XP_002096349.3|DYAK
OG0000009	LOC115624028|XP_030374465.1|SLEB	LOC6535721|XP_002096347.1|DYAK
OG0000009	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB	LOC6535720|XP_002096346.1|DYAK, LOC6535722|XP_002096348.1|DYAK
OG0000009	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB	LOC6530109|XP_002091055.1|DYAK
OG0000010	LOC115633544|XP_030386861.1|SLEB	LOC120321202|XP_039229121.1|DYAK, LOC120321245|XP_039229342.1|DYAK, LOC120322219|XP_039233209.1|DYAK
OG0000010	LOC115630140|XP_030382609.1|SLEB	LOC120322213|XP_039233204.1|DYAK, LOC120322214|XP_039233205.1|DYAK, LOC120322218|XP_039233208.1|DYAK
OG0000010	LOC115625114|XP_030375880.1|SLEB	LOC120322222|XP_039233212.1|DYAK
OG0000012	LOC115626791|XP_030378121.1|SLEB	LOC6530957|XP_002091795.1|DYAK
OG0000012	LOC115634820|XP_030388598.1|SLEB	LOC6530958|XP_002091796.1|DYAK
OG0000012	LOC115624523|XP_030375106.1|SLEB	LOC6530959|XP_015051811.1|DYAK
OG0000012	LOC115632632|XP_030385725.1|SLEB	LOC6530956|XP_002091794.1|DYAK
OG0000012	LOC115630730|XP_030383248.1|SLEB	LOC6530135|XP_002091081.1|DYAK, LOC6530133|XP_002091079.2|DYAK, LOC6530132|XP_002091078.1|DYAK, LOC6530131|XP_002091077.2|DYAK
OG0000012	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB	LOC6530130|XP_002091076.1|DYAK, LOC6530129|XP_002091075.1|DYAK
OG0000013	LOC115634441|XP_030388010.1|SLEB	LOC6530359|XP_002091285.1|DYAK
OG0000013	LOC115626662|XP_030377938.1|SLEB	LOC6525539|XP_002101374.1|DYAK
OG0000013	LOC115625570|XP_030376527.1|SLEB	LOC6537221|XP_002097779.1|DYAK
OG0000013	LOC115623047|XP_030373085.1|SLEB	LOC6534055|XP_002094741.1|DYAK
OG0000013	LOC115621092|XP_030370486.1|SLEB	LOC6536907|XP_002097476.1|DYAK
OG0000013	LOC115624312|XP_030374797.1|SLEB	LOC6538786|XP_002099299.1|DYAK
OG0000013	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB	LOC6536836|XP_039232142.1|DYAK, LOC6536837|XP_039232350.1|DYAK, LOC6536733|XP_039231378.1|DYAK, LOC26536199|XP_039231379.1|DYAK, LOC26535865|XP_039231377.1|DYAK
OG0000015	LOC115626216|XP_030377371.1|SLEB	LOC6529704|XP_002090697.2|DYAK
OG0000015	LOC115628471|XP_030380453.1|SLEB	LOC6530275|XP_002091207.2|DYAK, LOC6538477|XP_002099001.3|DYAK
OG0000016	LOC115621740|XP_030371332.1|SLEB	LOC6536965|XP_002097534.1|DYAK
OG0000016	LOC115634422|XP_030387989.1|SLEB	LOC6530731|XP_002091621.1|DYAK
OG0000016	LOC115620605|XP_030369779.1|SLEB	LOC6536862|XP_002097431.1|DYAK
OG0000016	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB	LOC6531360|XP_002092163.2|DYAK
OG0000016	LOC115628929|XP_030381051.1|SLEB	LOC6525488|XP_002101323.1|DYAK
OG0000016	LOC115634608|XP_030388318.1|SLEB	LOC6529087|XP_002090100.1|DYAK
OG0000016	LOC115621272|XP_030370732.1|SLEB	LOC6537169|XP_002097730.1|DYAK
OG0000016	LOC115634447|XP_030388017.1|SLEB	LOC6535129|XP_039230803.1|DYAK
OG0000017	LOC115627671|XP_030379272.1|SLEB	LOC6525337|XP_002101173.1|DYAK
OG0000017	LOC115619974|XP_030368869.1|SLEB	LOC6528495|XP_002089541.2|DYAK
