Orthogroup	SLEB.longest_only	DSIM.longest_only
OG0000000	LOC115634489|XP_030388106.1|SLEB	LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM
OG0000000	LOC115634408|XP_030387964.1|SLEB	LOC27208741|XP_016036703.2|DSIM, LOC6734181|XP_016027194.1|DSIM, LOC6732391|XP_002079512.1|DSIM, LOC6728685|XP_002104021.1|DSIM, LOC6728686|XP_016035358.1|DSIM, LOC6734183|XP_002081212.2|DSIM
OG0000000	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB	LOC6738254|XP_039150029.1|DSIM, LOC6738257|XP_016032137.1|DSIM, LOC6738255|XP_016032135.1|DSIM, LOC6738256|XP_002085068.1|DSIM
OG0000000	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB	LOC6736137|XP_002083037.1|DSIM
OG0000000	LOC115625399|XP_030376298.1|SLEB	LOC6728763|XP_002104098.1|DSIM, LOC6730296|XP_039151807.1|DSIM
OG0000000	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB	LOC6735227|XP_002082200.1|DSIM, LOC6735228|XP_002082201.1|DSIM, LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM, LOC6736070|XP_039148852.1|DSIM
OG0000000	LOC115632651|XP_030385741.1|SLEB	LOC6729989|XP_002105283.1|DSIM
OG0000001	LOC115633656|XP_030386961.1|SLEB	LOC120284706|XP_039149044.1|DSIM
OG0000002	LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB	LOC6731201|XP_002078360.1|DSIM
OG0000003	LOC115620029|XP_030368994.1|SLEB	LOC6734558|XP_002081567.1|DSIM, LOC6734560|XP_016027665.1|DSIM
OG0000003	LOC115620049|XP_030369030.1|SLEB	LOC6729847|XP_016036585.1|DSIM, LOC6734561|XP_002081570.1|DSIM
OG0000003	LOC115634646|XP_030388364.1|SLEB	LOC6733269|XP_002080332.1|DSIM
OG0000003	LOC115634502|XP_030388126.1|SLEB	LOC6734556|XP_016027664.2|DSIM
OG0000003	LOC115619981|XP_030368881.1|SLEB	LOC6733555|XP_039148197.1|DSIM
OG0000003	LOC115628616|XP_030380660.1|SLEB	LOC6731100|XP_002078257.3|DSIM
OG0000004	LOC115630361|XP_030382755.1|SLEB, LOC115630324|XP_030382722.1|SLEB, LOC115630325|XP_030382723.1|SLEB	LOC27206793|XP_016022768.2|DSIM, LOC120285540|XP_039154131.1|DSIM, LOC120285538|XP_039154129.1|DSIM, LOC120285535|XP_039154126.1|DSIM, LOC120285537|XP_039154128.1|DSIM, LOC120285539|XP_039154130.1|DSIM, LOC120285536|XP_039154127.1|DSIM, LOC120285792|XP_039154341.1|DSIM, LOC120285796|XP_039154345.1|DSIM, LOC120285257|XP_039152608.1|DSIM, LOC120285256|XP_039152600.1|DSIM, LOC120285795|XP_039154344.1|DSIM, LOC120285791|XP_039154340.1|DSIM, LOC6733079|XP_002080156.3|DSIM, LOC120285793|XP_039154342.1|DSIM, LOC120285794|XP_039154343.1|DSIM, LOC6740700|XP_002077499.3|DSIM
