Orthogroup	SLEB.longest_only	DNOV.longest_only
OG0000000	LOC115634489|XP_030388106.1|SLEB	LOC115769480|XP_030570157.1|DNOV
OG0000000	LOC115634408|XP_030387964.1|SLEB	LOC115758064|XP_030554438.1|DNOV, LOC115760506|XP_030557727.1|DNOV, LOC115769481|XP_030570158.1|DNOV
OG0000000	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB	LOC115762880|XP_030561115.1|DNOV
OG0000000	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB, LOC115632651|XP_030385741.1|SLEB	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000000	LOC115623741|XP_030374114.1|SLEB	LOC115764637|XP_030563666.1|DNOV, LOC115764832|XP_030563940.1|DNOV
OG0000001	LOC115629498|XP_030381837.1|SLEB, LOC115629967|XP_030382445.1|SLEB, LOC115626877|XP_030378247.1|SLEB, LOC115624479|XP_030375042.1|SLEB, LOC115627092|XP_030378504.1|SLEB, LOC115621673|XP_030371244.1|SLEB, LOC115628198|XP_030380053.1|SLEB	LOC115768652|XP_030569188.1|DNOV
OG0000002	LOC115631932|XP_030384643.1|SLEB	LOC115766569|XP_030566411.1|DNOV, LOC115766589|XP_030566435.1|DNOV, LOC115766551|XP_030566386.1|DNOV, LOC115766590|XP_030566436.1|DNOV
OG0000002	LOC115633967|XP_030387348.1|SLEB	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV
OG0000002	LOC115624495|XP_030375058.1|SLEB	LOC115759342|XP_030556121.1|DNOV
OG0000003	LOC115620029|XP_030368994.1|SLEB	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC115634502|XP_030388126.1|SLEB	LOC115762126|XP_030560095.1|DNOV
OG0000003	LOC115625548|XP_030376490.1|SLEB, LOC115625503|XP_030376424.1|SLEB	LOC115763094|XP_030561396.1|DNOV
OG0000003	LOC115619981|XP_030368881.1|SLEB	LOC115771912|XP_030573666.1|DNOV
OG0000003	LOC115628616|XP_030380660.1|SLEB	LOC115758743|XP_030555359.1|DNOV
OG0000004	LOC115630273|XP_030382667.1|SLEB, LOC115630322|XP_030382721.1|SLEB, LOC115633522|XP_030386841.1|SLEB, LOC115633597|XP_030386900.1|SLEB, LOC115633488|XP_030386812.1|SLEB, LOC115633502|XP_030386824.1|SLEB, LOC115633531|XP_030386849.1|SLEB, LOC115633478|XP_030386800.1|SLEB, LOC115633483|XP_030386806.1|SLEB, LOC115633585|XP_030386889.1|SLEB, LOC115633596|XP_030386899.1|SLEB, LOC115633484|XP_030386807.1|SLEB, LOC115633506|XP_030386827.1|SLEB, LOC115633477|XP_030386799.1|SLEB, LOC115633503|XP_030386825.1|SLEB, LOC115633505|XP_030386826.1|SLEB, LOC115630271|XP_030382665.1|SLEB, LOC115630300|XP_030382698.1|SLEB, LOC115630309|XP_030382707.1|SLEB, LOC115630301|XP_030382699.1|SLEB, LOC115633532|XP_030386850.1|SLEB, LOC115630286|XP_030382682.1|SLEB, LOC115630272|XP_030382666.1|SLEB, LOC115633521|XP_030386840.1|SLEB, LOC115630310|XP_030382708.1|SLEB, LOC115630117|XP_030382589.1|SLEB, LOC115630132|XP_030382600.1|SLEB, LOC115630122|XP_030382594.1|SLEB	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV, LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV, LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV
OG0000005	LOC115630367|XP_030382760.1|SLEB, LOC115630139|XP_030382607.1|SLEB, LOC115633501|XP_030386823.1|SLEB	LOC115761952|XP_030559851.1|DNOV
OG0000005	LOC115630365|XP_030382758.1|SLEB	LOC115770819|XP_030572101.1|DNOV
OG0000005	LOC115630358|XP_030382752.1|SLEB	LOC115770817|XP_030572099.1|DNOV
OG0000006	LOC115630279|XP_030382674.1|SLEB	LOC115761951|XP_030559850.1|DNOV
