Orthogroup	SLEB.longest_only	DKIK.longest_only
OG0000000	LOC115634489|XP_030388106.1|SLEB	LOC108078585|XP_017027994.1|DKIK
OG0000000	LOC115634408|XP_030387964.1|SLEB	LOC108077905|XP_017026932.1|DKIK, LOC108084016|XP_017035518.1|DKIK, LOC108085530|XP_017037652.1|DKIK, LOC108077933|XP_017026960.1|DKIK
OG0000000	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB	LOC108078602|XP_017028011.1|DKIK, LOC108078603|XP_017028013.1|DKIK
OG0000000	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB	LOC108072234|XP_017018785.1|DKIK
OG0000000	LOC115625399|XP_030376298.1|SLEB	LOC108080866|XP_017031258.1|DKIK
OG0000000	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB	LOC108070814|XP_017016902.1|DKIK
OG0000000	LOC115632651|XP_030385741.1|SLEB	LOC108070634|XP_017016690.1|DKIK
OG0000002	LOC115634390|XP_030387939.1|SLEB	LOC108078189|XP_017027346.1|DKIK
OG0000002	LOC115626572|XP_030377811.1|SLEB	LOC108082094|XP_017032879.1|DKIK
OG0000002	LOC115633967|XP_030387348.1|SLEB	LOC108077339|XP_017026117.1|DKIK, LOC108086114|XP_017038438.1|DKIK, LOC108086113|XP_017038437.1|DKIK, LOC108086115|XP_017038439.1|DKIK, LOC108086110|XP_017038435.1|DKIK, LOC108086111|XP_017038436.1|DKIK, LOC108076940|XP_017025477.1|DKIK, LOC108076949|XP_017025488.1|DKIK
OG0000002	LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB	LOC108082669|XP_017033655.1|DKIK
OG0000003	LOC115620029|XP_030368994.1|SLEB	LOC108072418|XP_017019012.1|DKIK
OG0000003	LOC115620049|XP_030369030.1|SLEB	LOC108072446|XP_017019063.1|DKIK, LOC108072408|XP_017018999.1|DKIK
OG0000003	LOC115634646|XP_030388364.1|SLEB	LOC108070524|XP_017016527.1|DKIK
OG0000003	LOC115634502|XP_030388126.1|SLEB	LOC108072406|XP_017018997.1|DKIK, LOC108072404|XP_017018996.1|DKIK
OG0000003	LOC115619981|XP_030368881.1|SLEB	LOC108070791|XP_017016879.1|DKIK, LOC108070793|XP_017016882.1|DKIK, LOC108070792|XP_017016880.1|DKIK
OG0000003	LOC115628616|XP_030380660.1|SLEB	LOC108073603|XP_017020784.1|DKIK
OG0000004	LOC115630361|XP_030382755.1|SLEB, LOC115630324|XP_030382722.1|SLEB, LOC115630325|XP_030382723.1|SLEB	LOC108083332|XP_017034568.1|DKIK
OG0000004	LOC115630273|XP_030382667.1|SLEB, LOC115630322|XP_030382721.1|SLEB, LOC115633522|XP_030386841.1|SLEB, LOC115633597|XP_030386900.1|SLEB, LOC115633488|XP_030386812.1|SLEB, LOC115633502|XP_030386824.1|SLEB, LOC115633531|XP_030386849.1|SLEB, LOC115633478|XP_030386800.1|SLEB, LOC115633483|XP_030386806.1|SLEB, LOC115633585|XP_030386889.1|SLEB, LOC115633596|XP_030386899.1|SLEB, LOC115633484|XP_030386807.1|SLEB, LOC115633506|XP_030386827.1|SLEB, LOC115633477|XP_030386799.1|SLEB, LOC115633503|XP_030386825.1|SLEB, LOC115633505|XP_030386826.1|SLEB, LOC115630271|XP_030382665.1|SLEB, LOC115630300|XP_030382698.1|SLEB, LOC115630309|XP_030382707.1|SLEB, LOC115630301|XP_030382699.1|SLEB, LOC115633532|XP_030386850.1|SLEB, LOC115630286|XP_030382682.1|SLEB, LOC115630272|XP_030382666.1|SLEB, LOC115633521|XP_030386840.1|SLEB, LOC115630310|XP_030382708.1|SLEB, LOC115630117|XP_030382589.1|SLEB, LOC115630132|XP_030382600.1|SLEB, LOC115630122|XP_030382594.1|SLEB	LOC108073963|XP_017021295.1|DKIK
OG0000005	LOC115630367|XP_030382760.1|SLEB, LOC115630139|XP_030382607.1|SLEB, LOC115633501|XP_030386823.1|SLEB	LOC108085749|XP_017037978.1|DKIK
OG0000006	LOC115630306|XP_030382703.1|SLEB, LOC115630279|XP_030382674.1|SLEB, LOC115630115|XP_030382588.1|SLEB, LOC115630354|XP_030382747.1|SLEB, LOC115630353|XP_030382746.1|SLEB, LOC115630281|XP_030382677.1|SLEB, LOC115630364|XP_030382757.1|SLEB, LOC115630328|XP_030382725.1|SLEB, LOC115630357|XP_030382751.1|SLEB, LOC115630130|XP_030382598.1|SLEB, LOC115630345|XP_030382738.1|SLEB, LOC115630120|XP_030382591.1|SLEB, LOC115630327|XP_030382724.1|SLEB, LOC115630264|XP_030382657.1|SLEB	LOC108072846|XP_017019650.1|DKIK
OG0000006	LOC115630278|XP_030382673.1|SLEB	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK
OG0000007	LOC115633152|XP_030386421.1|SLEB	LOC108071918|XP_017018366.1|DKIK
OG0000007	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB	LOC108071584|XP_017017854.1|DKIK, LOC108071623|XP_017017894.1|DKIK, LOC108071566|XP_017017836.1|DKIK
OG0000007	LOC115633111|XP_030386356.1|SLEB	LOC108078491|XP_017027862.1|DKIK
OG0000007	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB	LOC108086266|XP_017038642.1|DKIK
OG0000007	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB	LOC108078726|XP_017028216.1|DKIK, LOC108078727|XP_017028217.1|DKIK, LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK
OG0000007	LOC115630750|XP_030383265.1|SLEB	LOC108071626|XP_017017898.1|DKIK, LOC108071627|XP_017017899.1|DKIK
OG0000008	LOC115623801|XP_030374203.1|SLEB	LOC108081759|XP_017032449.1|DKIK
OG0000008	LOC115628400|XP_030380349.1|SLEB	LOC108072724|XP_017019474.1|DKIK
OG0000008	LOC115631184|XP_030383735.1|SLEB	LOC108075890|XP_017023993.1|DKIK
OG0000008	LOC115628403|XP_030380351.1|SLEB	LOC108072727|XP_017019476.1|DKIK
OG0000008	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK
OG0000008	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB	LOC108080451|XP_017030677.1|DKIK
OG0000008	LOC115623587|XP_030373847.1|SLEB	LOC108080456|XP_017030682.1|DKIK
OG0000008	LOC115624344|XP_030374855.1|SLEB	LOC108080419|XP_017030641.1|DKIK
OG0000008	LOC115623612|XP_030373889.1|SLEB	LOC108080455|XP_017030681.1|DKIK
OG0000009	LOC115624173|XP_030374629.1|SLEB	LOC108076150|XP_017024404.1|DKIK
OG0000009	LOC115624028|XP_030374465.1|SLEB	LOC108076246|XP_017024517.1|DKIK
OG0000009	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK, LOC108075985|XP_017024164.1|DKIK
OG0000009	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB	LOC108082335|XP_017033154.1|DKIK
OG0000010	LOC115630140|XP_030382609.1|SLEB	LOC108076493|XP_017024885.1|DKIK, LOC108081051|XP_017031512.1|DKIK, LOC108072854|XP_017019661.1|DKIK
OG0000012	LOC115626791|XP_030378121.1|SLEB	LOC108076784|XP_017025279.1|DKIK
OG0000012	LOC115634820|XP_030388598.1|SLEB	LOC108076783|XP_017025278.1|DKIK
OG0000012	LOC115624523|XP_030375106.1|SLEB	LOC108076799|XP_017025312.1|DKIK
OG0000012	LOC115632632|XP_030385725.1|SLEB	LOC108076590|XP_017024991.1|DKIK
OG0000012	LOC115630730|XP_030383248.1|SLEB	LOC108082430|XP_017033289.1|DKIK, LOC108082433|XP_017033293.1|DKIK, LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK, LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK
OG0000012	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB	LOC108082347|XP_017033172.1|DKIK, LOC108082320|XP_017033139.1|DKIK, LOC108082319|XP_017033138.1|DKIK
OG0000013	LOC115634441|XP_030388010.1|SLEB	LOC108074734|XP_017022389.1|DKIK
OG0000013	LOC115626662|XP_030377938.1|SLEB	LOC108079326|XP_017029113.1|DKIK
OG0000013	LOC115625570|XP_030376527.1|SLEB	LOC108084190|XP_017035777.1|DKIK
OG0000013	LOC115623047|XP_030373085.1|SLEB	LOC108075225|XP_017023059.1|DKIK
OG0000013	LOC115621092|XP_030370486.1|SLEB	LOC108080801|XP_017031181.1|DKIK
OG0000013	LOC115624312|XP_030374797.1|SLEB	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK
OG0000013	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB	LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK
OG0000015	LOC115628471|XP_030380453.1|SLEB	LOC108073116|XP_017020100.1|DKIK, LOC108073474|XP_017020616.1|DKIK, LOC108073502|XP_017020662.1|DKIK, LOC108073482|XP_017020629.1|DKIK, LOC108074488|XP_017022050.1|DKIK
OG0000016	LOC115621740|XP_030371332.1|SLEB	LOC108074071|XP_017021434.1|DKIK
OG0000016	LOC115634422|XP_030387989.1|SLEB	LOC108078132|XP_017027246.1|DKIK
OG0000016	LOC115620605|XP_030369779.1|SLEB	LOC108085727|XP_017037944.1|DKIK
OG0000016	LOC115628929|XP_030381051.1|SLEB	LOC108084467|XP_017036167.1|DKIK
OG0000016	LOC115634608|XP_030388318.1|SLEB	LOC108071378|XP_017017603.1|DKIK
OG0000016	LOC115621272|XP_030370732.1|SLEB	LOC108081075|XP_017031544.1|DKIK
OG0000016	LOC115634447|XP_030388017.1|SLEB	LOC108075195|XP_017023019.1|DKIK
OG0000017	LOC115627671|XP_030379272.1|SLEB	LOC108083777|XP_017035189.1|DKIK
OG0000017	LOC115619974|XP_030368869.1|SLEB	LOC108076702|XP_017025149.1|DKIK
OG0000017	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB	LOC108074963|XP_017022684.1|DKIK
OG0000017	LOC115630526|XP_030382993.1|SLEB	LOC108076532|XP_017024932.1|DKIK
OG0000017	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB	LOC108070625|XP_017016677.1|DKIK
OG0000017	LOC115620280|XP_030369314.1|SLEB	LOC108074314|XP_017021803.1|DKIK, LOC108074298|XP_017021778.1|DKIK, LOC108074287|XP_017021766.1|DKIK
OG0000018	LOC115633159|XP_030386430.1|SLEB	LOC108071595|XP_017017864.1|DKIK
OG0000018	LOC115633160|XP_030386431.1|SLEB	LOC108071573|XP_017017843.1|DKIK
OG0000019	LOC115621701|XP_030371268.1|SLEB	LOC108084990|XP_017036905.1|DKIK
OG0000019	LOC115621698|XP_030371264.1|SLEB	LOC108084902|XP_017036785.1|DKIK
OG0000019	LOC115621699|XP_030371266.1|SLEB	LOC108084991|XP_017036906.1|DKIK
OG0000019	LOC115621700|XP_030371267.1|SLEB	LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK
OG0000020	LOC115620461|XP_030369552.1|SLEB	LOC108075744|XP_017023787.1|DKIK
OG0000020	LOC115634835|XP_030388616.1|SLEB	LOC108082576|XP_017033522.1|DKIK
OG0000020	LOC115625139|XP_030375917.1|SLEB	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK, LOC108074835|XP_017022525.1|DKIK
OG0000020	LOC115623558|XP_030373816.1|SLEB	LOC108077930|XP_017026994.1|DKIK
OG0000020	LOC115623561|XP_030373817.1|SLEB	LOC108072156|XP_017018689.1|DKIK
OG0000020	LOC115625796|XP_030376833.1|SLEB	LOC108074862|XP_017022564.1|DKIK, LOC108074823|XP_017022510.1|DKIK
OG0000021	LOC115624992|XP_030375724.1|SLEB, LOC115624826|XP_030375532.1|SLEB	LOC108072937|XP_017019783.1|DKIK
