Orthogroup	SLEB.longest_only	DBUS.longest_only
OG0000000	LOC115634489|XP_030388106.1|SLEB	LOC108598118|XP_017840224.1|DBUS
OG0000000	LOC115634408|XP_030387964.1|SLEB	LOC108601266|XP_017844655.2|DBUS
OG0000000	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB	LOC108594849|XP_017835476.1|DBUS
OG0000000	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB	LOC108604182|XP_017849014.1|DBUS
OG0000000	LOC115632651|XP_030385741.1|SLEB	LOC108601273|XP_017844662.1|DBUS
OG0000000	LOC115623741|XP_030374114.1|SLEB	LOC108594727|XP_017835355.1|DBUS
OG0000002	LOC115631932|XP_030384643.1|SLEB	LOC108594750|XP_017835378.1|DBUS
OG0000002	LOC115626572|XP_030377811.1|SLEB	LOC108598887|XP_017841137.1|DBUS
OG0000002	LOC115633967|XP_030387348.1|SLEB	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS
OG0000002	LOC115624495|XP_030375058.1|SLEB	LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS
OG0000003	LOC115620029|XP_030368994.1|SLEB	LOC108597513|XP_017838772.1|DBUS
OG0000003	LOC115634646|XP_030388364.1|SLEB	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS
OG0000003	LOC115634502|XP_030388126.1|SLEB	LOC108595075|XP_017835712.2|DBUS
OG0000003	LOC115634507|XP_030388133.1|SLEB	LOC117134628|XP_033150902.1|DBUS
OG0000003	LOC115625548|XP_030376490.1|SLEB, LOC115625503|XP_030376424.1|SLEB	LOC108595008|XP_017835631.1|DBUS
OG0000003	LOC115619981|XP_030368881.1|SLEB	LOC108597142|XP_017839023.1|DBUS
OG0000003	LOC115628616|XP_030380660.1|SLEB	LOC108608148|XP_017854884.1|DBUS
OG0000004	LOC115630273|XP_030382667.1|SLEB, LOC115630322|XP_030382721.1|SLEB, LOC115633522|XP_030386841.1|SLEB, LOC115633597|XP_030386900.1|SLEB, LOC115633488|XP_030386812.1|SLEB, LOC115633502|XP_030386824.1|SLEB, LOC115633531|XP_030386849.1|SLEB, LOC115633478|XP_030386800.1|SLEB, LOC115633483|XP_030386806.1|SLEB, LOC115633585|XP_030386889.1|SLEB, LOC115633596|XP_030386899.1|SLEB, LOC115633484|XP_030386807.1|SLEB, LOC115633506|XP_030386827.1|SLEB, LOC115633477|XP_030386799.1|SLEB, LOC115633503|XP_030386825.1|SLEB, LOC115633505|XP_030386826.1|SLEB, LOC115630271|XP_030382665.1|SLEB, LOC115630300|XP_030382698.1|SLEB, LOC115630309|XP_030382707.1|SLEB, LOC115630301|XP_030382699.1|SLEB, LOC115633532|XP_030386850.1|SLEB, LOC115630286|XP_030382682.1|SLEB, LOC115630272|XP_030382666.1|SLEB, LOC115633521|XP_030386840.1|SLEB, LOC115630310|XP_030382708.1|SLEB, LOC115630117|XP_030382589.1|SLEB, LOC115630132|XP_030382600.1|SLEB, LOC115630122|XP_030382594.1|SLEB	LOC117134690|XP_033149085.1|DBUS
OG0000007	LOC115633153|XP_030386422.1|SLEB	LOC108598463|XP_017840596.2|DBUS
OG0000007	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS
OG0000007	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB	LOC117134784|XP_033149441.1|DBUS
OG0000008	LOC115623801|XP_030374203.1|SLEB	LOC108602201|XP_017845739.1|DBUS
OG0000008	LOC115628400|XP_030380349.1|SLEB	LOC108599783|XP_017842330.1|DBUS
OG0000008	LOC115631184|XP_030383735.1|SLEB	LOC108597994|XP_017840102.1|DBUS
OG0000008	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS
OG0000008	LOC115623587|XP_030373847.1|SLEB	LOC108601548|XP_017844935.1|DBUS
OG0000008	LOC115624340|XP_030374852.1|SLEB	LOC108604418|XP_033150077.1|DBUS
OG0000008	LOC115624344|XP_030374855.1|SLEB	LOC108602531|XP_017846153.1|DBUS
OG0000008	LOC115623612|XP_030373889.1|SLEB	LOC108602012|XP_017845504.1|DBUS
OG0000009	LOC115624173|XP_030374629.1|SLEB	LOC108604020|XP_017848755.1|DBUS
OG0000009	LOC115624028|XP_030374465.1|SLEB	LOC108601959|XP_017845435.1|DBUS
