Orthogroup	SLEB.longest_only	DEUG.longest_only
OG0000000	LOC115634489|XP_030388106.1|SLEB	LOC108114097|XP_017080345.1|DEUG
OG0000000	LOC115634408|XP_030387964.1|SLEB	LOC108105829|XP_017068062.1|DEUG, LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG, LOC108108401|XP_017071943.1|DEUG, LOC108108403|XP_017071945.1|DEUG, LOC108112762|XP_017078510.1|DEUG
OG0000000	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB	LOC108113889|XP_017080083.1|DEUG, LOC108114143|XP_017080414.1|DEUG, LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG
OG0000000	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB	LOC108107246|XP_017070153.1|DEUG
OG0000000	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG, LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG
OG0000000	LOC115632651|XP_030385741.1|SLEB	LOC108115960|XP_017083085.1|DEUG
OG0000002	LOC115633967|XP_030387348.1|SLEB	LOC108113287|XP_017079326.1|DEUG, LOC108110800|XP_017075517.1|DEUG
OG0000003	LOC115620029|XP_030368994.1|SLEB	LOC108106604|XP_017069284.1|DEUG, LOC108106709|XP_017069429.1|DEUG
OG0000003	LOC115620049|XP_030369030.1|SLEB	LOC108115764|XP_017082821.1|DEUG, LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG
OG0000003	LOC115634646|XP_030388364.1|SLEB	LOC108106562|XP_017069219.1|DEUG
OG0000003	LOC115634507|XP_030388133.1|SLEB	LOC108106224|XP_017068639.1|DEUG
OG0000003	LOC115619981|XP_030368881.1|SLEB	LOC108104523|XP_017066143.1|DEUG, LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG
OG0000004	LOC115630273|XP_030382667.1|SLEB, LOC115630322|XP_030382721.1|SLEB, LOC115633522|XP_030386841.1|SLEB, LOC115633597|XP_030386900.1|SLEB, LOC115633488|XP_030386812.1|SLEB, LOC115633502|XP_030386824.1|SLEB, LOC115633531|XP_030386849.1|SLEB, LOC115633478|XP_030386800.1|SLEB, LOC115633483|XP_030386806.1|SLEB, LOC115633585|XP_030386889.1|SLEB, LOC115633596|XP_030386899.1|SLEB, LOC115633484|XP_030386807.1|SLEB, LOC115633506|XP_030386827.1|SLEB, LOC115633477|XP_030386799.1|SLEB, LOC115633503|XP_030386825.1|SLEB, LOC115633505|XP_030386826.1|SLEB, LOC115630271|XP_030382665.1|SLEB, LOC115630300|XP_030382698.1|SLEB, LOC115630309|XP_030382707.1|SLEB, LOC115630301|XP_030382699.1|SLEB, LOC115633532|XP_030386850.1|SLEB, LOC115630286|XP_030382682.1|SLEB, LOC115630272|XP_030382666.1|SLEB, LOC115633521|XP_030386840.1|SLEB, LOC115630310|XP_030382708.1|SLEB, LOC115630117|XP_030382589.1|SLEB, LOC115630132|XP_030382600.1|SLEB, LOC115630122|XP_030382594.1|SLEB	LOC108113823|XP_017080058.1|DEUG
OG0000006	LOC115630115|XP_030382588.1|SLEB, LOC115630354|XP_030382747.1|SLEB, LOC115630353|XP_030382746.1|SLEB, LOC115630281|XP_030382677.1|SLEB, LOC115630364|XP_030382757.1|SLEB, LOC115630328|XP_030382725.1|SLEB, LOC115630357|XP_030382751.1|SLEB, LOC115630130|XP_030382598.1|SLEB	LOC108103399|XP_017064345.1|DEUG
OG0000007	LOC115633153|XP_030386422.1|SLEB	LOC108107881|XP_017071156.1|DEUG
OG0000007	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB	LOC108107527|XP_017070556.1|DEUG, LOC108107526|XP_017070555.1|DEUG, LOC108107882|XP_017071157.1|DEUG, LOC108107883|XP_017071158.1|DEUG
OG0000007	LOC115633111|XP_030386356.1|SLEB	LOC108104447|XP_017065997.1|DEUG
OG0000007	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB	LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG
OG0000007	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG, LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG
OG0000007	LOC115630750|XP_030383265.1|SLEB	LOC108107529|XP_017070559.1|DEUG, LOC108107925|XP_017071238.1|DEUG
