Orthogroup	SLEB.longest_only	DSUZ.longest_only
OG0000000	LOC115634489|XP_030388106.1|SLEB	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ
OG0000000	LOC115634408|XP_030387964.1|SLEB	LOC108019552|XP_036669814.1|DSUZ, LOC108013696|XP_016935107.1|DSUZ, LOC108013925|XP_016935418.2|DSUZ, LOC108011771|XP_036670496.1|DSUZ, LOC118877506|XP_036672430.1|DSUZ, LOC108019563|XP_016942889.1|DSUZ
OG0000000	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB	LOC118877230|XP_036670644.1|DSUZ, LOC108007474|XP_036670349.1|DSUZ, LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ, LOC108007475|XP_016926645.1|DSUZ
OG0000000	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB	LOC108008220|XP_016927499.2|DSUZ
OG0000000	LOC115625399|XP_030376298.1|SLEB	LOC108021133|XP_036668720.1|DSUZ
OG0000000	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB	LOC118877061|XP_036669823.1|DSUZ, LOC108017737|XP_016940334.1|DSUZ, LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ
OG0000000	LOC115632651|XP_030385741.1|SLEB	LOC108020157|XP_036673587.1|DSUZ
OG0000001	LOC115624586|XP_030375184.1|SLEB, LOC115630185|XP_030382615.1|SLEB, LOC115626197|XP_030377337.1|SLEB	LOC118878276|XP_036676059.1|DSUZ, LOC118878557|XP_036677467.1|DSUZ, LOC118879675|XP_036678469.1|DSUZ, LOC118879224|XP_036678009.1|DSUZ, LOC118879307|XP_036678060.1|DSUZ, LOC118878659|XP_036677594.1|DSUZ, LOC118878942|XP_036677819.1|DSUZ, LOC118879471|XP_036678240.1|DSUZ, LOC118878546|XP_036677455.1|DSUZ, LOC118878858|XP_036677778.1|DSUZ, LOC118877840|XP_036673943.1|DSUZ
OG0000001	LOC115629498|XP_030381837.1|SLEB, LOC115629967|XP_030382445.1|SLEB, LOC115626877|XP_030378247.1|SLEB, LOC115624479|XP_030375042.1|SLEB, LOC115627092|XP_030378504.1|SLEB, LOC115621673|XP_030371244.1|SLEB, LOC115628198|XP_030380053.1|SLEB	LOC118879529|XP_036678279.1|DSUZ, LOC118879060|XP_036677938.1|DSUZ, LOC118878459|XP_036677349.1|DSUZ
OG0000002	LOC115634390|XP_030387939.1|SLEB	LOC108009933|XP_016930164.1|DSUZ
OG0000002	LOC115633967|XP_030387348.1|SLEB	LOC108009013|XP_016928477.1|DSUZ, LOC108009683|XP_016929720.1|DSUZ, LOC108009469|XP_016929341.1|DSUZ, LOC118876801|XP_036668620.1|DSUZ, LOC108021294|XP_016945474.2|DSUZ
OG0000003	LOC115620029|XP_030368994.1|SLEB	LOC108008945|XP_016928345.1|DSUZ, LOC108008944|XP_016928343.1|DSUZ
OG0000003	LOC115620049|XP_030369030.1|SLEB	LOC118877697|XP_036673424.1|DSUZ, LOC108008943|XP_016928342.1|DSUZ
OG0000003	LOC115634646|XP_030388364.1|SLEB	LOC108018006|XP_016940848.1|DSUZ
OG0000003	LOC115634502|XP_030388126.1|SLEB	LOC108008947|XP_016928347.2|DSUZ
OG0000003	LOC115619981|XP_030368881.1|SLEB	LOC108019592|XP_016942921.1|DSUZ, LOC108019594|XP_016942924.1|DSUZ
OG0000003	LOC115628616|XP_030380660.1|SLEB	LOC108007096|XP_016926191.1|DSUZ
OG0000005	LOC115630367|XP_030382760.1|SLEB	LOC118879641|XP_036678429.1|DSUZ
OG0000005	LOC115633501|XP_030386823.1|SLEB	LOC118879752|XP_036678579.1|DSUZ, LOC108016497|XP_016938653.1|DSUZ
OG0000006	LOC115630279|XP_030382674.1|SLEB	LOC118879268|XP_036678045.1|DSUZ
OG0000006	LOC115630364|XP_030382757.1|SLEB	LOC118879646|XP_036678433.1|DSUZ
OG0000006	LOC115630120|XP_030382591.1|SLEB	LOC108016327|XP_016938453.2|DSUZ
OG0000006	LOC115630278|XP_030382673.1|SLEB	LOC118879645|XP_036678432.1|DSUZ, LOC118877312|XP_036671383.1|DSUZ
