Orthogroup	SLEB.longest_only	DPER.longest_only
OG0000000	LOC115634408|XP_030387964.1|SLEB	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER, LOC6603458|XP_002028438.2|DPER, LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER, LOC6598745|XP_026840088.1|DPER, LOC6603462|XP_002028442.1|DPER
OG0000000	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB	LOC6599796|XP_002024966.2|DPER
OG0000000	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB	LOC6592293|XP_002018412.1|DPER
OG0000000	LOC115625399|XP_030376298.1|SLEB	LOC6594745|XP_002020397.2|DPER
OG0000000	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER, LOC6595014|XP_026839995.1|DPER
OG0000000	LOC115632651|XP_030385741.1|SLEB	LOC6587480|XP_002013644.2|DPER
OG0000001	LOC115624586|XP_030375184.1|SLEB, LOC115630185|XP_030382615.1|SLEB, LOC115626197|XP_030377337.1|SLEB	LOC113566438|XP_026847737.1|DPER
OG0000002	LOC115633967|XP_030387348.1|SLEB	LOC6596381|XP_002021534.2|DPER
OG0000002	LOC115624495|XP_030375058.1|SLEB	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER
OG0000003	LOC115620029|XP_030368994.1|SLEB	LOC6591231|XP_002016677.1|DPER
OG0000003	LOC115620049|XP_030369030.1|SLEB	LOC6590819|XP_026841177.1|DPER
OG0000003	LOC115634646|XP_030388364.1|SLEB	LOC6590049|XP_002015522.1|DPER
OG0000003	LOC115619981|XP_030368881.1|SLEB	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER
OG0000003	LOC115628616|XP_030380660.1|SLEB	LOC6596552|XP_002021689.1|DPER
OG0000004	LOC115630273|XP_030382667.1|SLEB, LOC115630322|XP_030382721.1|SLEB, LOC115633522|XP_030386841.1|SLEB, LOC115633597|XP_030386900.1|SLEB, LOC115633488|XP_030386812.1|SLEB, LOC115633502|XP_030386824.1|SLEB, LOC115633531|XP_030386849.1|SLEB, LOC115633478|XP_030386800.1|SLEB, LOC115633483|XP_030386806.1|SLEB, LOC115633585|XP_030386889.1|SLEB, LOC115633596|XP_030386899.1|SLEB, LOC115633484|XP_030386807.1|SLEB, LOC115633506|XP_030386827.1|SLEB, LOC115633477|XP_030386799.1|SLEB, LOC115633503|XP_030386825.1|SLEB, LOC115633505|XP_030386826.1|SLEB, LOC115630271|XP_030382665.1|SLEB, LOC115630300|XP_030382698.1|SLEB, LOC115630309|XP_030382707.1|SLEB, LOC115630301|XP_030382699.1|SLEB, LOC115633532|XP_030386850.1|SLEB, LOC115630286|XP_030382682.1|SLEB, LOC115630272|XP_030382666.1|SLEB, LOC115633521|XP_030386840.1|SLEB, LOC115630310|XP_030382708.1|SLEB, LOC115630117|XP_030382589.1|SLEB, LOC115630132|XP_030382600.1|SLEB, LOC115630122|XP_030382594.1|SLEB	LOC6587537|XP_002013115.1|DPER
OG0000005	LOC115630317|XP_030382714.1|SLEB	LOC113567029|XP_026850041.1|DPER
OG0000005	LOC115630321|XP_030382720.1|SLEB	LOC6587310|XP_002013132.1|DPER
OG0000005	LOC115630285|XP_030382681.1|SLEB	LOC6587387|XP_002013127.1|DPER
OG0000005	LOC115630139|XP_030382607.1|SLEB, LOC115633501|XP_030386823.1|SLEB	LOC113566308|XP_026847198.1|DPER, LOC6599391|XP_002024443.1|DPER
OG0000005	LOC115630283|XP_030382679.1|SLEB	LOC6604167|XP_026842916.1|DPER
OG0000005	LOC115630365|XP_030382758.1|SLEB	LOC113567403|XP_026850931.1|DPER
OG0000005	LOC115630137|XP_030382605.1|SLEB	LOC113567420|XP_026850959.1|DPER
OG0000006	LOC115630364|XP_030382757.1|SLEB	LOC113565364|XP_026842915.1|DPER, LOC113567237|XP_026850207.1|DPER, LOC113567385|XP_026850890.1|DPER, LOC113567411|XP_026850946.1|DPER
OG0000006	LOC115630328|XP_030382725.1|SLEB	LOC6604168|XP_002029102.2|DPER
OG0000006	LOC115630327|XP_030382724.1|SLEB	LOC113567394|XP_026850911.1|DPER
OG0000006	LOC115630278|XP_030382673.1|SLEB, LOC115633465|XP_030386780.1|SLEB	LOC113567402|XP_026850930.1|DPER
OG0000006	LOC115630135|XP_030382603.1|SLEB	LOC113567395|XP_026850912.1|DPER
OG0000007	LOC115633152|XP_030386421.1|SLEB	LOC6595910|XP_002021056.1|DPER
OG0000007	LOC115633153|XP_030386422.1|SLEB	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER
