Orthogroup	AAEG.longest_only	DALB.longest_only
OG0000002	LOC5568253|XP_001657952.2|AAEG, LOC5566117|XP_021695405.1|AAEG, LOC110677651|XP_021704240.1|AAEG, LOC5571893|XP_001653803.1|AAEG, LOC5572899|XP_001660638.2|AAEG, LOC5570871|XP_001659383.2|AAEG, LOC5575089|XP_001661797.2|AAEG, LOC5575073|XP_001661796.2|AAEG, LOC5572884|XP_021705045.1|AAEG, LOC110678182|XP_021706497.1|AAEG, LOC110680512|XP_021712002.1|AAEG, LOC5570143|XP_001653125.1|AAEG, LOC5572055|XP_001653820.1|AAEG, LOC110681444|XP_021712898.1|AAEG	LOC117565641|XP_034100743.1|DALB
OG0000002	LOC5574240|XP_001661293.1|AAEG, LOC5569832|XP_001658732.2|AAEG, LOC110677006|XP_021703013.1|AAEG, LOC5574239|XP_001661294.1|AAEG, LOC5577410|XP_021711700.1|AAEG	LOC117563399|XP_034097624.1|DALB, LOC117563790|XP_034098211.1|DALB
OG0000004	LOC110678209|XP_021706524.1|AAEG	LOC117566082|XP_034101454.1|DALB, LOC117566081|XP_034101452.1|DALB, LOC117565593|XP_034100683.1|DALB, LOC117566015|XP_034101336.1|DALB, LOC117564273|XP_034098866.1|DALB, LOC117566148|XP_034101526.1|DALB, LOC117564274|XP_034098867.1|DALB
OG0000005	LOC110680974|XP_021712439.1|AAEG, LOC110678228|XP_021706538.1|AAEG, LOC5578778|XP_001657148.1|AAEG, LOC5578788|XP_001657158.1|AAEG, LOC110676734|XP_021701441.1|AAEG, LOC110678246|XP_021706557.1|AAEG	LOC117564270|XP_034098864.1|DALB
OG0000006	LOC110678836|XP_021708006.1|AAEG	LOC117564284|XP_034098874.1|DALB, LOC117563579|XP_034097856.1|DALB
OG0000006	LOC5578787|XP_001657157.1|AAEG, LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB
OG0000006	LOC110679774|XP_021711197.1|AAEG	LOC117566088|XP_034101456.1|DALB
OG0000006	LOC110679787|XP_021711211.1|AAEG	LOC117564286|XP_034098876.1|DALB
OG0000007	LOC5577572|XP_001663444.2|AAEG	LOC117570587|XP_034108222.1|DALB, LOC117572105|XP_034110613.1|DALB, LOC117571630|XP_034109745.1|DALB, LOC117571629|XP_034109744.1|DALB, LOC117571628|XP_034109743.1|DALB, LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB, LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB, LOC117571197|XP_034109131.1|DALB, LOC117569240|XP_034106204.1|DALB, LOC117569239|XP_034106203.1|DALB, LOC117569233|XP_034106198.1|DALB, LOC117568549|XP_034105159.1|DALB, LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG	LOC117570995|XP_034108835.1|DALB
OG0000008	LOC5578716|XP_001664018.2|AAEG	LOC117565304|XP_034100233.1|DALB
OG0000008	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG	LOC117571003|XP_034108844.1|DALB
OG0000009	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG, LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG, LOC5578292|XP_001663820.1|AAEG, LOC5576604|XP_001656167.2|AAEG, LOC5576588|XP_001656165.1|AAEG, LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG	LOC117574725|XP_034114546.1|DALB, LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB, LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB, LOC117565287|XP_034100206.1|DALB, LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB, LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB, LOC117565994|XP_034101304.1|DALB
OG0000010	LOC110679751|XP_021711173.1|AAEG	LOC117564301|XP_034098889.1|DALB
OG0000010	LOC110679801|XP_021711224.1|AAEG, LOC110679806|XP_021711230.1|AAEG	LOC117564299|XP_034098888.1|DALB
OG0000012	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG	LOC117568055|XP_034104297.1|DALB, LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB, LOC117569585|XP_034106704.1|DALB, LOC117568054|XP_034104292.1|DALB, LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB, LOC117571184|XP_034109105.1|DALB, LOC117568519|XP_034105112.1|DALB
OG0000013	LOC110679353|XP_021709456.1|AAEG	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC110678734|XP_021707697.1|AAEG	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC110676139|XP_021698547.1|AAEG	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC110679299|XP_021709332.1|AAEG	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000016	LOC5565155|XP_001649530.1|AAEG	LOC117573987|XP_034113425.1|DALB, LOC117567642|XP_034103639.1|DALB
OG0000016	LOC5577991|XP_001656729.1|AAEG	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC5574526|XP_001655175.1|AAEG	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG	LOC117568261|XP_034104638.1|DALB
OG0000018	LOC5577643|XP_001656641.1|AAEG	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB
OG0000020	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG	LOC117576477|XP_034117138.1|DALB, LOC117568572|XP_034105192.1|DALB
OG0000020	LOC5578230|XP_021697387.1|AAEG	LOC117565600|XP_034100691.1|DALB, LOC117576162|XP_034116628.1|DALB, LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB, LOC117565601|XP_034100693.1|DALB
OG0000021	LOC5577439|XP_021709141.1|AAEG	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC5571745|XP_021708635.1|AAEG	LOC117574572|XP_034114338.1|DALB, LOC117576017|XP_034116416.1|DALB, LOC117575314|XP_034115363.1|DALB
OG0000023	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG	LOC117576456|XP_034117119.1|DALB, LOC117565137|XP_034099998.1|DALB, LOC117568013|XP_034104228.1|DALB, LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB, LOC117576455|XP_034117118.1|DALB, LOC117576451|XP_034117113.1|DALB, LOC117576915|XP_034117947.1|DALB
OG0000024	LOC5574946|XP_001655419.1|AAEG	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB, LOC117569381|XP_034106402.1|DALB, LOC117566757|XP_034102189.1|DALB, LOC117569374|XP_034106395.1|DALB, LOC117575969|XP_034116339.1|DALB, LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB, LOC117571483|XP_034109539.1|DALB
OG0000025	LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG	LOC117570342|XP_034107792.1|DALB
OG0000025	LOC110678303|XP_021706666.1|AAEG, LOC110679736|XP_021711157.1|AAEG, LOC110679744|XP_021711165.1|AAEG, LOC110679739|XP_021711160.1|AAEG, LOC5578783|XP_021701440.1|AAEG, LOC110678738|XP_021707704.1|AAEG	LOC117566085|XP_034101455.1|DALB
OG0000025	LOC110679738|XP_021711159.1|AAEG	LOC117563559|XP_034097830.1|DALB
OG0000026	LOC23687599|XP_011493633.2|AAEG, LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG, LOC5573680|XP_001661002.2|AAEG, LOC5573679|XP_001661001.2|AAEG, LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG	LOC117577677|XP_034118462.1|DALB, LOC117575842|XP_034116143.1|DALB, LOC117574329|XP_034114029.1|DALB, LOC117575260|XP_034115286.1|DALB, LOC117577711|XP_034118506.1|DALB, LOC117573365|XP_034112385.1|DALB
OG0000027	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG	LOC117566241|XP_034101678.1|DALB, LOC117564244|XP_034098829.1|DALB, LOC117565445|XP_034100427.1|DALB
OG0000028	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG	LOC117568836|XP_034105602.1|DALB, LOC117568837|XP_034105603.1|DALB, LOC117568843|XP_034105610.1|DALB, LOC117566512|XP_034101943.1|DALB, LOC117568838|XP_034105604.1|DALB, LOC117568840|XP_034105607.1|DALB, LOC117568839|XP_034105606.1|DALB, LOC117568844|XP_034105611.1|DALB, LOC117568834|XP_034105601.1|DALB, LOC117568841|XP_034105608.1|DALB, LOC117568833|XP_034105600.1|DALB, LOC117568842|XP_034105609.1|DALB, LOC117568831|XP_034105597.1|DALB, LOC117568832|XP_034105599.1|DALB, LOC117566511|XP_034101942.1|DALB
OG0000029	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB, LOC117569056|XP_034105958.1|DALB
OG0000031	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB
OG0000032	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG	LOC117574198|XP_034113792.1|DALB, LOC117574485|XP_034114214.1|DALB, LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000034	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG	LOC117565378|XP_034100343.1|DALB, LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB, LOC117563632|XP_034097930.1|DALB, LOC117563748|XP_034098120.1|DALB, LOC117563746|XP_034098117.1|DALB, LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000036	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC5565959|XP_001650301.1|AAEG	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC5563617|XP_021704443.1|AAEG, LOC5563616|XP_001647865.1|AAEG, LOC5563663|XP_001647870.2|AAEG, LOC5563550|XP_001647864.2|AAEG, LOC5566508|XP_001650899.2|AAEG, LOC5563566|XP_001647872.2|AAEG, LOC5563662|XP_001647873.3|AAEG, LOC5568137|XP_001652078.2|AAEG, LOC5568136|XP_001652079.1|AAEG, LOC5568133|XP_001652075.2|AAEG	LOC117565385|XP_034100358.1|DALB
OG0000037	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG	LOC117568663|XP_034105356.1|DALB, LOC117575741|XP_034115985.1|DALB, LOC117573867|XP_034113235.1|DALB, LOC117575410|XP_034115481.1|DALB, LOC117574878|XP_034114799.1|DALB, LOC117569403|XP_034106430.1|DALB
OG0000038	LOC5571376|XP_001659658.1|AAEG	LOC117570082|XP_034107414.1|DALB
OG0000039	LOC5575658|XP_001662117.1|AAEG, LOC5568094|XP_021703967.1|AAEG, LOC5575657|XP_001662120.1|AAEG, LOC5574822|XP_021705274.1|AAEG, LOC5566624|XP_001651000.1|AAEG, LOC5571707|XP_001659852.1|AAEG, LOC5575399|XP_001661919.1|AAEG, LOC5575393|XP_001661917.1|AAEG, LOC5575400|XP_001661920.1|AAEG, LOC5575401|XP_001661921.1|AAEG	LOC117575707|XP_034115928.1|DALB
OG0000041	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG	LOC117575844|XP_034116145.1|DALB, LOC117574557|XP_034114320.1|DALB, LOC117576156|XP_034116620.1|DALB, LOC117576178|XP_034116653.1|DALB, LOC117576081|XP_034116519.1|DALB, LOC117575845|XP_034116146.1|DALB, LOC117573341|XP_034112342.1|DALB, LOC117575360|XP_034115416.1|DALB, LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000043	LOC5573284|XP_021699050.1|AAEG, LOC5577070|XP_001663167.2|AAEG, LOC5571298|XP_001653602.1|AAEG	LOC117574637|XP_034114425.1|DALB, LOC117574639|XP_034114428.1|DALB, LOC117574208|XP_034113803.1|DALB, LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
