Orthogroup	AAEG.longest_only	DYAK.longest_only
OG0000002	LOC5574240|XP_001661293.1|AAEG, LOC5569832|XP_001658732.2|AAEG, LOC110677006|XP_021703013.1|AAEG, LOC5574239|XP_001661294.1|AAEG, LOC5577410|XP_021711700.1|AAEG	LOC6527104|XP_002088197.3|DYAK
OG0000004	LOC110675140|XP_021695214.1|AAEG, LOC110678203|XP_021706521.1|AAEG, LOC110680841|XP_021712324.1|AAEG, LOC110681232|XP_021712695.1|AAEG	LOC6540440|XP_039228255.1|DYAK
OG0000005	LOC110678306|XP_021706669.1|AAEG, LOC110679756|XP_021711178.1|AAEG, LOC110679765|XP_021711187.1|AAEG, LOC110679758|XP_021711180.1|AAEG, LOC110679757|XP_021711179.1|AAEG, LOC110678835|XP_021708005.1|AAEG, LOC110678355|XP_021706809.1|AAEG, LOC110679763|XP_021711185.1|AAEG, LOC110679761|XP_021711183.1|AAEG, LOC110679762|XP_021711184.1|AAEG, LOC110678305|XP_021706668.1|AAEG, LOC110679759|XP_021711181.1|AAEG, LOC110679792|XP_021711215.1|AAEG, LOC110678354|XP_021706808.1|AAEG, LOC110679766|XP_021711188.1|AAEG, LOC110679755|XP_021711177.1|AAEG, LOC110679770|XP_021711192.1|AAEG, LOC5579087|XP_001657281.1|AAEG, LOC110679769|XP_021711191.1|AAEG, LOC110679768|XP_021711190.1|AAEG, LOC110679767|XP_021711189.1|AAEG, LOC110679771|XP_021711193.1|AAEG, LOC110679753|XP_021711174.1|AAEG, LOC110679788|XP_021711212.1|AAEG, LOC110679760|XP_021711182.1|AAEG	LOC6540448|XP_002087255.2|DYAK
OG0000006	LOC110678836|XP_021708006.1|AAEG	LOC120322197|XP_039233188.1|DYAK, LOC120322195|XP_039233186.1|DYAK
OG0000006	LOC110679784|XP_021711208.1|AAEG	LOC120321198|XP_039229117.1|DYAK
OG0000006	LOC5578787|XP_001657157.1|AAEG, LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG	LOC26535831|XP_015045247.2|DYAK
OG0000006	LOC110679785|XP_021711209.1|AAEG	LOC120322193|XP_039233184.1|DYAK
OG0000007	LOC5577572|XP_001663444.2|AAEG	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK, LOC6533142|XP_002093868.1|DYAK, LOC6533143|XP_002093869.1|DYAK, LOC6533140|XP_002093866.1|DYAK, LOC6533138|XP_002093864.1|DYAK, LOC6533139|XP_002093865.1|DYAK, LOC6527619|XP_002088707.1|DYAK, LOC6528628|XP_002089670.1|DYAK, LOC6538895|XP_002099399.1|DYAK, LOC6538894|XP_002099398.2|DYAK, LOC26535513|XP_015044938.2|DYAK, LOC26535290|XP_015044714.2|DYAK, LOC6527618|XP_002088706.1|DYAK, LOC6532723|XP_002093465.1|DYAK, LOC6532724|XP_002093466.1|DYAK, LOC6527620|XP_002088708.1|DYAK, LOC6533144|XP_002093870.1|DYAK, LOC6533145|XP_002093871.1|DYAK
OG0000008	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG	LOC26536044|XP_039231154.1|DYAK
OG0000008	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG	LOC6532927|XP_002093663.1|DYAK
