Orthogroup	AAEG.longest_only	AEAL.longest_only
OG0000002	LOC5568253|XP_001657952.2|AAEG	LOC115267447|XP_029730304.1|AEAL
OG0000002	LOC5570871|XP_001659383.2|AAEG	LOC109408162|XP_019536944.2|AEAL, LOC109411104|XP_019540095.2|AEAL
OG0000002	LOC5575089|XP_001661797.2|AAEG, LOC5575073|XP_001661796.2|AAEG	LOC115260605|XP_029717480.1|AEAL, LOC109423035|XP_029717489.1|AEAL, LOC109400931|XP_019528968.1|AEAL, LOC109400921|XP_019553236.2|AEAL, LOC115260619|XP_029717519.1|AEAL, LOC115260618|XP_029717518.1|AEAL, LOC109400889|XP_029717517.1|AEAL, LOC115260641|XP_029717583.1|AEAL, LOC109400932|XP_019528970.2|AEAL, LOC115260609|XP_029717488.1|AEAL, LOC109422815|XP_019553244.2|AEAL, LOC109413005|XP_019542224.2|AEAL, LOC109430155|XP_019561733.2|AEAL, LOC109413124|XP_019542389.2|AEAL
OG0000002	LOC5572884|XP_021705045.1|AAEG	LOC109424669|XP_019555383.2|AEAL
OG0000002	LOC110678182|XP_021706497.1|AAEG, LOC110680512|XP_021712002.1|AAEG	LOC115262564|XP_029720824.1|AEAL, LOC109424713|XP_029721106.1|AEAL
OG0000002	LOC5570143|XP_001653125.1|AAEG	LOC109421668|XP_029732765.1|AEAL, LOC109427771|XP_019558940.2|AEAL, LOC109421763|XP_019551842.2|AEAL, LOC109425501|XP_019556332.2|AEAL, LOC109421764|XP_019551843.2|AEAL
OG0000002	LOC5572055|XP_001653820.1|AAEG, LOC110681444|XP_021712898.1|AAEG	LOC109415861|XP_029719818.1|AEAL, LOC109402720|XP_029717961.1|AEAL
OG0000002	LOC5574240|XP_001661293.1|AAEG	LOC115263125|XP_029721902.1|AEAL, LOC109430246|XP_019561842.2|AEAL, LOC109416944|XP_019546605.2|AEAL
OG0000002	LOC5569832|XP_001658732.2|AAEG	LOC115265443|XP_029726462.1|AEAL, LOC109426996|XP_019558100.2|AEAL, LOC109411377|XP_019540446.2|AEAL, LOC115266493|XP_029728592.1|AEAL
OG0000002	LOC5574239|XP_001661294.1|AAEG	LOC109403760|XP_019532176.2|AEAL, LOC109416948|XP_019546608.2|AEAL
OG0000002	LOC5577410|XP_021711700.1|AAEG	LOC109400072|XP_019528089.2|AEAL, LOC109621611|XP_019931245.2|AEAL
OG0000003	LOC5571532|XP_001653677.1|AAEG	LOC109409211|XP_019538182.2|AEAL
OG0000003	LOC5571524|XP_001653676.1|AAEG	LOC109421551|XP_019551616.2|AEAL
OG0000003	LOC5571533|XP_001653678.1|AAEG	LOC109409210|XP_019538181.2|AEAL
OG0000003	LOC5572939|XP_021702543.1|AAEG, LOC5572936|XP_021702544.1|AAEG	LOC115255001|XP_029708566.1|AEAL, LOC109398259|XP_019526126.2|AEAL
OG0000003	LOC5571526|XP_001653672.1|AAEG	LOC109421477|XP_019551518.2|AEAL
OG0000003	LOC23687976|XP_021703143.1|AAEG	LOC109421555|XP_019551619.2|AEAL
OG0000003	LOC5571529|XP_001653674.1|AAEG	LOC109409164|XP_019538127.2|AEAL
OG0000003	LOC5571528|XP_001653673.1|AAEG	LOC109421553|XP_019551618.2|AEAL
OG0000003	LOC5571549|XP_001653671.1|AAEG	LOC109421549|XP_019551614.2|AEAL, LOC109409160|XP_019538123.2|AEAL
OG0000003	LOC5571536|XP_021703140.1|AAEG	LOC109421556|XP_019551620.2|AEAL
OG0000003	LOC23687959|XP_011493176.1|AAEG	LOC109425972|XP_029731864.1|AEAL
OG0000003	LOC5571540|XP_001653687.3|AAEG	LOC109421559|XP_019551624.2|AEAL
OG0000003	LOC5571537|XP_001653682.1|AAEG	LOC109409168|XP_029727109.1|AEAL
OG0000003	LOC5571531|XP_001653675.1|AAEG	LOC109421550|XP_019551615.2|AEAL
OG0000003	LOC5565578|XP_001649932.1|AAEG	LOC115269310|XP_029733775.1|AEAL
OG0000003	LOC110674119|XP_021693512.1|AAEG	LOC109623204|XP_019933243.2|AEAL
OG0000003	LOC23687481|XP_021693513.1|AAEG	LOC109415289|XP_019544713.2|AEAL, LOC109623205|XP_019933244.2|AEAL
OG0000004	LOC110681222|XP_021712685.1|AAEG	LOC109413299|XP_019542561.2|AEAL, LOC115270066|XP_029734897.1|AEAL
OG0000004	LOC110680855|XP_021712340.1|AAEG, LOC110680854|XP_021712339.1|AAEG, LOC110680831|XP_021712313.1|AAEG, LOC110680845|XP_021712330.1|AAEG, LOC110680736|XP_021712218.1|AAEG, LOC110681344|XP_021712784.1|AAEG, LOC110680832|XP_021712314.1|AAEG, LOC110680844|XP_021712329.1|AAEG, LOC110681342|XP_021712783.1|AAEG, LOC110680739|XP_021712221.1|AAEG, LOC110680723|XP_021712206.1|AAEG, LOC110678125|XP_021706421.1|AAEG	LOC109407180|XP_019535709.1|AEAL, LOC109397477|XP_029709004.1|AEAL, LOC115255221|XP_029709025.1|AEAL
OG0000004	LOC110680672|XP_021712155.1|AAEG	LOC115270070|XP_029734902.1|AEAL, LOC109397473|XP_029708972.1|AEAL
OG0000004	LOC110681229|XP_021712692.1|AAEG	LOC115255201|XP_029709003.1|AEAL, LOC109397491|XP_029709023.1|AEAL
OG0000004	LOC110677796|XP_021705014.1|AAEG	LOC109397475|XP_019525313.1|AEAL, LOC115255206|XP_029709009.1|AEAL
OG0000004	LOC110680718|XP_021712199.1|AAEG	LOC115266976|XP_029729559.1|AEAL, LOC115270056|XP_029734885.1|AEAL
OG0000004	LOC110680710|XP_021712190.1|AAEG	LOC115270082|XP_029734908.1|AEAL, LOC109407175|XP_019535705.2|AEAL
