Orthogroup	AAEG.longest_only	DPER.longest_only
OG0000002	LOC5574240|XP_001661293.1|AAEG, LOC5569832|XP_001658732.2|AAEG, LOC110677006|XP_021703013.1|AAEG, LOC5574239|XP_001661294.1|AAEG, LOC5577410|XP_021711700.1|AAEG	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER
OG0000005	LOC110680974|XP_021712439.1|AAEG, LOC110678228|XP_021706538.1|AAEG, LOC5578778|XP_001657148.1|AAEG, LOC5578788|XP_001657158.1|AAEG, LOC110676734|XP_021701441.1|AAEG	LOC113566308|XP_026847198.1|DPER, LOC6599391|XP_002024443.1|DPER
OG0000006	LOC110679778|XP_021711201.1|AAEG	LOC113565363|XP_026842914.1|DPER
OG0000006	LOC110678836|XP_021708006.1|AAEG	LOC113565364|XP_026842915.1|DPER, LOC113567237|XP_026850207.1|DPER, LOC113567385|XP_026850890.1|DPER, LOC113567411|XP_026850946.1|DPER
OG0000006	LOC110679779|XP_021711202.1|AAEG	LOC6604168|XP_002029102.2|DPER
OG0000006	LOC110679777|XP_021711200.1|AAEG	LOC6604120|XP_002029058.1|DPER
OG0000006	LOC110679780|XP_021711203.1|AAEG, LOC5578787|XP_001657157.1|AAEG, LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG, LOC110679774|XP_021711197.1|AAEG	LOC113567402|XP_026850930.1|DPER
OG0000007	LOC5577572|XP_001663444.2|AAEG	LOC6595910|XP_002021056.1|DPER, LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER, LOC6601482|XP_002026422.2|DPER, LOC6596309|XP_002021479.1|DPER, LOC6592462|XP_002017797.1|DPER, LOC6595007|XP_002020464.1|DPER, LOC6595006|XP_002020463.1|DPER, LOC6595005|XP_002020462.1|DPER, LOC6596310|XP_002021480.2|DPER, LOC6601214|XP_002026310.2|DPER, LOC6589529|XP_002015017.1|DPER, LOC6601483|XP_026847920.1|DPER, LOC6601458|XP_026847765.1|DPER
OG0000008	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG	LOC6594328|XP_026850351.1|DPER
OG0000008	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG	LOC6601897|XP_026849381.1|DPER
OG0000008	LOC110677732|XP_021704637.1|AAEG	LOC6601898|XP_002026947.1|DPER
OG0000008	LOC5578716|XP_001664018.2|AAEG	LOC6595506|XP_002020611.1|DPER
OG0000008	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG	LOC113566715|XP_026849382.1|DPER
