Orthogroup	AAEG.longest_only	AALB.longest_only
OG0000002	LOC5570871|XP_001659383.2|AAEG	LOC118465266|XP_035789187.1|AALB
OG0000002	LOC5575089|XP_001661797.2|AAEG, LOC5575073|XP_001661796.2|AAEG	LOC118457044|XP_035774185.1|AALB, LOC118458856|XP_035777671.1|AALB, LOC118456430|XP_035773079.1|AALB, LOC118468507|XP_035795235.1|AALB, LOC118458857|XP_035777672.1|AALB
OG0000002	LOC110678182|XP_021706497.1|AAEG, LOC110680512|XP_021712002.1|AAEG, LOC5570143|XP_001653125.1|AAEG	LOC118469029|XP_035796369.1|AALB, LOC118468365|XP_035795017.1|AALB, LOC118461873|XP_035783598.1|AALB, LOC118457751|XP_035775460.1|AALB, LOC118468382|XP_035795035.1|AALB, LOC118456529|XP_035773265.1|AALB, LOC118456164|XP_035772583.1|AALB, LOC118456192|XP_035772645.1|AALB, LOC118458235|XP_035776397.1|AALB, LOC118459223|XP_035778298.1|AALB, LOC118456846|XP_035773835.1|AALB, LOC118458234|XP_035776396.1|AALB, LOC118457157|XP_035774376.1|AALB, LOC118457285|XP_035774639.1|AALB, LOC118457478|XP_035774995.1|AALB, LOC118457030|XP_035774156.1|AALB, LOC118459170|XP_035778205.1|AALB, LOC118461972|XP_035783782.1|AALB, LOC118456933|XP_035773971.1|AALB, LOC118460861|XP_035781470.1|AALB, LOC118469051|XP_035796410.1|AALB
OG0000002	LOC5574240|XP_001661293.1|AAEG	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB
OG0000002	LOC5569832|XP_001658732.2|AAEG, LOC110677006|XP_021703013.1|AAEG, LOC5574239|XP_001661294.1|AAEG, LOC5577410|XP_021711700.1|AAEG	LOC118464651|XP_035788010.1|AALB
OG0000003	LOC5571532|XP_001653677.1|AAEG, LOC5571524|XP_001653676.1|AAEG, LOC5571533|XP_001653678.1|AAEG, LOC5572939|XP_021702543.1|AAEG, LOC5572936|XP_021702544.1|AAEG	LOC118460891|XP_035781527.1|AALB, LOC118460889|XP_035781525.1|AALB
OG0000003	LOC5571526|XP_001653672.1|AAEG, LOC23687976|XP_021703143.1|AAEG, LOC5571529|XP_001653674.1|AAEG, LOC5571528|XP_001653673.1|AAEG, LOC5571549|XP_001653671.1|AAEG	LOC118460897|XP_035781532.1|AALB
OG0000003	LOC5571536|XP_021703140.1|AAEG	LOC118460890|XP_035781526.1|AALB
OG0000003	LOC23687959|XP_011493176.1|AAEG	LOC118464960|XP_035788648.1|AALB
OG0000003	LOC5571540|XP_001653687.3|AAEG	LOC118460892|XP_035781528.1|AALB, LOC118460896|XP_035781530.1|AALB
OG0000003	LOC5571538|XP_001653683.1|AAEG, LOC23687717|XP_021703138.1|AAEG, LOC5571539|XP_021703135.1|AAEG, LOC5571537|XP_001653682.1|AAEG	LOC118460894|XP_035781529.1|AALB
OG0000003	LOC5571531|XP_001653675.1|AAEG	LOC118468410|XP_035795067.1|AALB
OG0000003	LOC5576391|XP_021694388.1|AAEG	LOC118457116|XP_035774311.1|AALB
OG0000003	LOC110674119|XP_021693512.1|AAEG, LOC23687481|XP_021693513.1|AAEG	LOC118457004|XP_035774122.1|AALB, LOC118457009|XP_035774130.1|AALB
