Orthogroup	AAEG.longest_only	ASTE.longest_only
OG0000002	LOC5570871|XP_001659383.2|AAEG	LOC118508220|XP_035903701.1|ASTE
OG0000002	LOC5575089|XP_001661797.2|AAEG, LOC5575073|XP_001661796.2|AAEG	LOC118508185|XP_035903637.1|ASTE
OG0000002	LOC5574240|XP_001661293.1|AAEG	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE
OG0000002	LOC5569832|XP_001658732.2|AAEG, LOC110677006|XP_021703013.1|AAEG, LOC5574239|XP_001661294.1|AAEG, LOC5577410|XP_021711700.1|AAEG	LOC118511460|XP_035910455.1|ASTE
OG0000003	LOC5571532|XP_001653677.1|AAEG, LOC5571524|XP_001653676.1|AAEG, LOC5571533|XP_001653678.1|AAEG, LOC5572939|XP_021702543.1|AAEG, LOC5572936|XP_021702544.1|AAEG	LOC118510054|XP_035907336.1|ASTE, LOC118517143|XP_035918894.1|ASTE
OG0000003	LOC5571526|XP_001653672.1|AAEG, LOC23687976|XP_021703143.1|AAEG, LOC5571529|XP_001653674.1|AAEG, LOC5571528|XP_001653673.1|AAEG, LOC5571549|XP_001653671.1|AAEG	LOC118513635|XP_035915594.1|ASTE, LOC118517142|XP_035918893.1|ASTE
OG0000003	LOC5571536|XP_021703140.1|AAEG	LOC118513634|XP_035915592.1|ASTE
OG0000003	LOC23687959|XP_011493176.1|AAEG	LOC118503800|XP_035893388.1|ASTE
OG0000003	LOC5571540|XP_001653687.3|AAEG	LOC118513637|XP_035915596.1|ASTE, LOC118517132|XP_035918884.1|ASTE, LOC118513636|XP_035915595.1|ASTE, LOC118517131|XP_035918883.1|ASTE
OG0000003	LOC5571538|XP_001653683.1|AAEG, LOC23687717|XP_021703138.1|AAEG, LOC5571539|XP_021703135.1|AAEG, LOC5571537|XP_001653682.1|AAEG	LOC118513639|XP_035915598.1|ASTE, LOC118517134|XP_035918886.1|ASTE
OG0000003	LOC5571531|XP_001653675.1|AAEG	LOC118517145|XP_035918898.1|ASTE, LOC118513633|XP_035915591.1|ASTE, LOC118513638|XP_035915597.1|ASTE, LOC118517133|XP_035918885.1|ASTE
OG0000003	LOC5576391|XP_021694388.1|AAEG	LOC118504411|XP_035894737.1|ASTE, LOC118504408|XP_035894733.1|ASTE
OG0000003	LOC110674119|XP_021693512.1|AAEG, LOC23687481|XP_021693513.1|AAEG	LOC118504412|XP_035894738.1|ASTE
OG0000004	LOC110679722|XP_021711141.1|AAEG, LOC110680682|XP_021712166.1|AAEG, LOC110679728|XP_021711147.1|AAEG, LOC110679724|XP_021711143.1|AAEG, LOC110678241|XP_021706552.1|AAEG, LOC110679725|XP_021711144.1|AAEG, LOC110678238|XP_021706549.1|AAEG, LOC110679726|XP_021711145.1|AAEG, LOC110679729|XP_021711149.1|AAEG, LOC110680540|XP_021712027.1|AAEG, LOC110679730|XP_021711150.1|AAEG, LOC110678233|XP_021706544.1|AAEG, LOC110678204|XP_021706522.1|AAEG, LOC110680681|XP_021712165.1|AAEG, LOC110678243|XP_021706554.1|AAEG, LOC110679036|XP_021708656.1|AAEG, LOC110679032|XP_021708651.1|AAEG, LOC110679117|XP_021708807.1|AAEG, LOC110677863|XP_021705288.1|AAEG, LOC110679102|XP_021708754.1|AAEG, LOC110680706|XP_021712187.1|AAEG, LOC110677797|XP_021705015.1|AAEG, LOC110678650|XP_021707481.1|AAEG, LOC110680705|XP_021712186.1|AAEG, LOC110677806|XP_021705025.1|AAEG, LOC110677964|XP_021705824.1|AAEG, LOC110678252|XP_021706563.1|AAEG, LOC110678165|XP_021706478.1|AAEG, LOC110680603|XP_021712095.1|AAEG, LOC110680711|XP_021712191.1|AAEG, LOC110679727|XP_021711146.1|AAEG, LOC110679031|XP_021708646.1|AAEG, LOC110679035|XP_021708655.1|AAEG, LOC110678234|XP_021706545.1|AAEG, LOC110679731|XP_021711151.1|AAEG, LOC110678242|XP_021706553.1|AAEG, LOC110678235|XP_021706546.1|AAEG, LOC110677805|XP_021705024.1|AAEG, LOC110679723|XP_021711142.1|AAEG, LOC110679732|XP_021711152.1|AAEG, LOC110681401|XP_021712835.1|AAEG, LOC110678249|XP_021706560.1|AAEG, LOC5579411|XP_021711139.1|AAEG, LOC110681222|XP_021712685.1|AAEG, LOC110680855|XP_021712340.1|AAEG, LOC110680854|XP_021712339.1|AAEG, LOC110680831|XP_021712313.1|AAEG, LOC110680845|XP_021712330.1|AAEG, LOC110680736|XP_021712218.1|AAEG, LOC110681344|XP_021712784.1|AAEG, LOC110680832|XP_021712314.1|AAEG, LOC110680844|XP_021712329.1|AAEG, LOC110681342|XP_021712783.1|AAEG, LOC110680739|XP_021712221.1|AAEG, LOC110680723|XP_021712206.1|AAEG, LOC110678125|XP_021706421.1|AAEG, LOC110680672|XP_021712155.1|AAEG, LOC110681229|XP_021712692.1|AAEG, LOC110677796|XP_021705014.1|AAEG, LOC110680718|XP_021712199.1|AAEG, LOC110680710|XP_021712190.1|AAEG, LOC110680693|XP_021712175.1|AAEG, LOC110678232|XP_021706543.1|AAEG, LOC110678258|XP_021706569.1|AAEG, LOC110680606|XP_021712097.1|AAEG, LOC110678239|XP_021706550.1|AAEG, LOC110681405|XP_021712839.1|AAEG, LOC110680541|XP_021712028.1|AAEG, LOC110680535|XP_021712022.1|AAEG	LOC118508090|XP_035903462.1|ASTE, LOC118508092|XP_035903464.1|ASTE, LOC118508091|XP_035903463.1|ASTE
OG0000004	LOC110678225|XP_021706535.1|AAEG	LOC118508233|XP_035903731.1|ASTE, LOC118508227|XP_035903726.1|ASTE, LOC118508232|XP_035903730.1|ASTE, LOC118508230|XP_035903728.1|ASTE, LOC118508231|XP_035903729.1|ASTE, LOC118508228|XP_035903727.1|ASTE
OG0000006	LOC110678836|XP_021708006.1|AAEG	LOC118517636|XP_035919841.1|ASTE
OG0000006	LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG	LOC118508036|XP_035903331.1|ASTE
OG0000008	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE
OG0000008	LOC5573609|XP_001654720.1|AAEG	LOC118506770|XP_035900259.1|ASTE
OG0000008	LOC5578716|XP_001664018.2|AAEG	LOC118509007|XP_035904915.1|ASTE
OG0000008	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG	LOC118506772|XP_035900260.1|ASTE
OG0000009	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG	LOC118514549|XP_035917433.1|ASTE
OG0000009	LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG	LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE
OG0000009	LOC5578292|XP_001663820.1|AAEG	LOC118513525|XP_035915292.1|ASTE
OG0000009	LOC5576588|XP_001656165.1|AAEG	LOC118510358|XP_035907960.1|ASTE
OG0000009	LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG	LOC118503659|XP_035893081.1|ASTE
OG0000010	LOC110679799|XP_021711222.1|AAEG, LOC110677925|XP_021705635.1|AAEG, LOC110678359|XP_021706812.1|AAEG	LOC118503730|XP_035893236.1|ASTE
OG0000010	LOC110679801|XP_021711224.1|AAEG, LOC110679806|XP_021711230.1|AAEG	LOC118509785|XP_035906820.1|ASTE
OG0000011	LOC110678451|XP_021707047.1|AAEG	LOC118513952|XP_035916240.1|ASTE
OG0000012	LOC5575907|XP_021696041.1|AAEG	LOC118508901|XP_035904653.1|ASTE
OG0000012	LOC5575913|XP_001662283.2|AAEG	LOC118508903|XP_035904655.1|ASTE
OG0000013	LOC110679353|XP_021709456.1|AAEG	LOC118507210|XP_035901192.1|ASTE
OG0000013	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG	LOC118503015|XP_035891731.1|ASTE
OG0000013	LOC110678734|XP_021707697.1|AAEG	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE
OG0000013	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE
OG0000016	LOC5565155|XP_001649530.1|AAEG	LOC118502962|XP_035891619.1|ASTE
OG0000016	LOC5571832|XP_001659963.1|AAEG	LOC118509720|XP_035906702.1|ASTE
OG0000016	LOC5577991|XP_001656729.1|AAEG	LOC118503654|XP_035893068.1|ASTE
OG0000016	LOC5574526|XP_001655175.1|AAEG	LOC118505170|XP_035896494.1|ASTE
OG0000016	LOC5565156|XP_001649531.1|AAEG	LOC118502963|XP_035891620.1|ASTE
OG0000016	LOC5571971|XP_001660073.1|AAEG	LOC118505225|XP_035896646.1|ASTE
OG0000016	LOC5572985|XP_021710979.1|AAEG	LOC118503559|XP_035892861.1|ASTE
OG0000016	LOC5567309|XP_001651744.2|AAEG	LOC118503557|XP_035892858.1|ASTE
OG0000016	LOC5567310|XP_001651745.1|AAEG	LOC118503558|XP_035892859.1|ASTE
OG0000016	LOC5572986|XP_001654313.1|AAEG	LOC118503560|XP_035892862.1|ASTE
OG0000018	LOC5578131|XP_001663702.2|AAEG	LOC118513024|XP_035914194.1|ASTE
OG0000018	LOC5574853|XP_001661677.2|AAEG	LOC118513028|XP_035914198.1|ASTE
OG0000018	LOC5578698|XP_001657098.2|AAEG	LOC118513023|XP_035914193.1|ASTE
OG0000018	LOC5578135|XP_001663705.1|AAEG, LOC5578130|XP_001663703.1|AAEG, LOC5568889|XP_001658209.1|AAEG, LOC5568885|XP_001658210.1|AAEG, LOC5578136|XP_001663706.1|AAEG	LOC118513026|XP_035914196.1|ASTE
OG0000019	LOC23687711|XP_021707253.1|AAEG	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE
OG0000019	LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG	LOC118505911|XP_035898263.1|ASTE
OG0000019	LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG	LOC118507102|XP_035900997.1|ASTE
OG0000019	LOC5568697|XP_001652520.1|AAEG	LOC118505907|XP_035898258.1|ASTE
OG0000019	LOC5570298|XP_021708318.1|AAEG	LOC118506335|XP_035899208.1|ASTE
OG0000019	LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG	LOC118506986|XP_035900751.1|ASTE
OG0000020	LOC5578721|XP_021693724.1|AAEG, LOC5578720|XP_021693720.1|AAEG	LOC118502378|XP_035890492.1|ASTE
OG0000020	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG	LOC118507513|XP_035901949.1|ASTE
OG0000020	LOC5578230|XP_021697387.1|AAEG	LOC118509588|XP_035906253.1|ASTE
OG0000020	LOC5567254|XP_021706785.1|AAEG	LOC118507693|XP_035902420.1|ASTE
