Orthogroup	AAEG.longest_only	HILL.longest_only
OG0000003	LOC5571532|XP_001653677.1|AAEG, LOC5571524|XP_001653676.1|AAEG, LOC5571533|XP_001653678.1|AAEG, LOC5572939|XP_021702543.1|AAEG, LOC5572936|XP_021702544.1|AAEG	LOC119652775|XP_037913011.1|HILL
OG0000003	LOC5571536|XP_021703140.1|AAEG, LOC23687959|XP_011493176.1|AAEG	LOC119659352|XP_037923328.1|HILL
OG0000003	LOC5571531|XP_001653675.1|AAEG	LOC119650643|XP_037909500.1|HILL
OG0000003	LOC5576391|XP_021694388.1|AAEG, LOC5565578|XP_001649932.1|AAEG, LOC110674119|XP_021693512.1|AAEG, LOC23687481|XP_021693513.1|AAEG	LOC119646885|XP_037903446.1|HILL, LOC119646723|XP_037903233.1|HILL, LOC119660833|XP_037925635.1|HILL, LOC119646759|XP_037903266.1|HILL, LOC119646698|XP_037903192.1|HILL, LOC119646557|XP_037902962.1|HILL, LOC119661111|XP_037926234.1|HILL, LOC119646760|XP_037903267.1|HILL, LOC119646334|XP_037902688.1|HILL, LOC119661489|XP_037926782.1|HILL, LOC119661229|XP_037926382.1|HILL, LOC119646530|XP_037902923.1|HILL, LOC119646755|XP_037903262.1|HILL, LOC119646754|XP_037903261.1|HILL, LOC119651369|XP_037910874.1|HILL, LOC119647078|XP_037903763.1|HILL, LOC119646756|XP_037903263.1|HILL, LOC119646752|XP_037903258.1|HILL, LOC119646529|XP_037902921.1|HILL, LOC119646751|XP_037903257.1|HILL, LOC119647124|XP_037903838.1|HILL, LOC119646420|XP_037902794.1|HILL, LOC119646733|XP_037903242.1|HILL, LOC119646750|XP_037903256.1|HILL, LOC119661403|XP_037926660.1|HILL, LOC119646757|XP_037903265.1|HILL, LOC119646850|XP_037903399.1|HILL, LOC119646628|XP_037903064.1|HILL, LOC119661009|XP_037926085.1|HILL, LOC119661683|XP_037927054.1|HILL, LOC119646442|XP_037902820.1|HILL, LOC119646753|XP_037903264.1|HILL
OG0000004	LOC110678209|XP_021706524.1|AAEG	LOC119655289|XP_037917033.1|HILL, LOC119655294|XP_037917042.1|HILL, LOC119655352|XP_037917132.1|HILL, LOC119655385|XP_037917184.1|HILL, LOC119655384|XP_037917183.1|HILL, LOC119655334|XP_037917106.1|HILL, LOC119655976|XP_037918138.1|HILL, LOC119655977|XP_037918139.1|HILL, LOC119655668|XP_037917584.1|HILL, LOC119655298|XP_037917051.1|HILL, LOC119655206|XP_037916906.1|HILL, LOC119655430|XP_037917248.1|HILL, LOC119655427|XP_037917246.1|HILL, LOC119653477|XP_037914027.1|HILL, LOC119654828|XP_037916324.1|HILL, LOC119655484|XP_037917314.1|HILL, LOC119653469|XP_037914014.1|HILL, LOC119654937|XP_037916518.1|HILL, LOC119655324|XP_037917091.1|HILL, LOC119655296|XP_037917049.1|HILL
OG0000004	LOC110679722|XP_021711141.1|AAEG, LOC110680682|XP_021712166.1|AAEG, LOC110679728|XP_021711147.1|AAEG, LOC110679724|XP_021711143.1|AAEG, LOC110678241|XP_021706552.1|AAEG, LOC110679725|XP_021711144.1|AAEG, LOC110678238|XP_021706549.1|AAEG, LOC110679726|XP_021711145.1|AAEG, LOC110679729|XP_021711149.1|AAEG, LOC110680540|XP_021712027.1|AAEG, LOC110679730|XP_021711150.1|AAEG, LOC110678233|XP_021706544.1|AAEG, LOC110678204|XP_021706522.1|AAEG, LOC110680681|XP_021712165.1|AAEG, LOC110678243|XP_021706554.1|AAEG, LOC110679036|XP_021708656.1|AAEG, LOC110679032|XP_021708651.1|AAEG, LOC110679117|XP_021708807.1|AAEG, LOC110677863|XP_021705288.1|AAEG, LOC110679102|XP_021708754.1|AAEG, LOC110680706|XP_021712187.1|AAEG, LOC110677797|XP_021705015.1|AAEG, LOC110678650|XP_021707481.1|AAEG, LOC110680705|XP_021712186.1|AAEG, LOC110677806|XP_021705025.1|AAEG, LOC110677964|XP_021705824.1|AAEG, LOC110678252|XP_021706563.1|AAEG, LOC110678165|XP_021706478.1|AAEG, LOC110680603|XP_021712095.1|AAEG, LOC110680711|XP_021712191.1|AAEG, LOC110679727|XP_021711146.1|AAEG, LOC110679031|XP_021708646.1|AAEG, LOC110679035|XP_021708655.1|AAEG, LOC110678234|XP_021706545.1|AAEG, LOC110679731|XP_021711151.1|AAEG, LOC110678242|XP_021706553.1|AAEG, LOC110678235|XP_021706546.1|AAEG, LOC110677805|XP_021705024.1|AAEG, LOC110679723|XP_021711142.1|AAEG, LOC110679732|XP_021711152.1|AAEG, LOC110681401|XP_021712835.1|AAEG, LOC110678249|XP_021706560.1|AAEG, LOC5579411|XP_021711139.1|AAEG, LOC110681222|XP_021712685.1|AAEG, LOC110680855|XP_021712340.1|AAEG, LOC110680854|XP_021712339.1|AAEG, LOC110680831|XP_021712313.1|AAEG, LOC110680845|XP_021712330.1|AAEG, LOC110680736|XP_021712218.1|AAEG, LOC110681344|XP_021712784.1|AAEG, LOC110680832|XP_021712314.1|AAEG, LOC110680844|XP_021712329.1|AAEG, LOC110681342|XP_021712783.1|AAEG, LOC110680739|XP_021712221.1|AAEG, LOC110680723|XP_021712206.1|AAEG, LOC110678125|XP_021706421.1|AAEG, LOC110680672|XP_021712155.1|AAEG, LOC110681229|XP_021712692.1|AAEG, LOC110677796|XP_021705014.1|AAEG, LOC110680718|XP_021712199.1|AAEG, LOC110680710|XP_021712190.1|AAEG, LOC110680693|XP_021712175.1|AAEG, LOC110678232|XP_021706543.1|AAEG, LOC110678258|XP_021706569.1|AAEG, LOC110680606|XP_021712097.1|AAEG, LOC110678239|XP_021706550.1|AAEG, LOC110681405|XP_021712839.1|AAEG, LOC110680541|XP_021712028.1|AAEG, LOC110680535|XP_021712022.1|AAEG, LOC110678225|XP_021706535.1|AAEG, LOC110680607|XP_021712098.1|AAEG, LOC110679469|XP_021709828.1|AAEG, LOC110680733|XP_021712216.1|AAEG, LOC110675140|XP_021695214.1|AAEG, LOC110678203|XP_021706521.1|AAEG, LOC110680841|XP_021712324.1|AAEG, LOC110681232|XP_021712695.1|AAEG	LOC119648056|XP_037905449.1|HILL
OG0000005	LOC110680720|XP_021712202.1|AAEG	LOC119656770|XP_037919279.1|HILL, LOC119657008|XP_037919678.1|HILL, LOC119656842|XP_037919419.1|HILL, LOC119656773|XP_037919281.1|HILL, LOC119656841|XP_037919418.1|HILL, LOC119656840|XP_037919417.1|HILL, LOC119657049|XP_037919731.1|HILL, LOC119656774|XP_037919282.1|HILL, LOC119657048|XP_037919730.1|HILL, LOC119656844|XP_037919420.1|HILL, LOC119656772|XP_037919280.1|HILL, LOC119657239|XP_037919982.1|HILL, LOC119657872|XP_037920928.1|HILL
OG0000005	LOC110680974|XP_021712439.1|AAEG, LOC110678228|XP_021706538.1|AAEG, LOC5578778|XP_001657148.1|AAEG, LOC5578788|XP_001657158.1|AAEG, LOC110676734|XP_021701441.1|AAEG	LOC119651767|XP_037911435.1|HILL
OG0000006	LOC110678836|XP_021708006.1|AAEG	LOC119657871|XP_037920927.1|HILL, LOC119656837|XP_037919414.1|HILL, LOC119657991|XP_037921137.1|HILL, LOC119657007|XP_037919677.1|HILL, LOC119656838|XP_037919415.1|HILL, LOC119656769|XP_037919278.1|HILL, LOC119657047|XP_037919729.1|HILL, LOC119656780|XP_037919291.1|HILL, LOC119658074|XP_037921262.1|HILL, LOC119656839|XP_037919416.1|HILL, LOC119656767|XP_037919276.1|HILL, LOC119656768|XP_037919277.1|HILL, LOC119657238|XP_037919981.1|HILL
OG0000007	LOC5577572|XP_001663444.2|AAEG	LOC119649696|XP_037907891.1|HILL, LOC119649694|XP_037907889.1|HILL, LOC119649695|XP_037907890.1|HILL, LOC119649697|XP_037907893.1|HILL, LOC119648942|XP_037906785.1|HILL, LOC119648943|XP_037906787.1|HILL, LOC119648554|XP_037906252.1|HILL, LOC119650121|XP_037908575.1|HILL, LOC119648538|XP_037906233.1|HILL, LOC119648172|XP_037905680.1|HILL, LOC119657608|XP_037920535.1|HILL, LOC119653460|XP_037913999.1|HILL
